"ligand","target","weight","receiver"
"Tgfb1","Angptl4",0.297701173273008,"C1qb"
"Tgfb1","Col4a1",0.241174495725842,"C1qb"
"Tgfb1","Id3",0.294196206227319,"C1qb"
"Tgfb1","Junb",0.285819351595779,"C1qb"
"Tgfb1","Serpine2",0.259618397421638,"C1qb"
"Tgfb1","Sox4",0.275958048745279,"C1qb"
"Tgfb1","Sparc",0.214352599823673,"C1qb"
"Tgfb1","Spry1",0.237852985023765,"C1qb"
"Il4","Ccl6",0.185163694538153,"C1qb"
"Il4","Ctsc",0.183269779641762,"C1qb"
"Il4","Cybb",0.17693593485503,"C1qb"
"Il4","Fcer1g",0.192101769827047,"C1qb"
"Il4","Fcgr2b",0.182646046843374,"C1qb"
"Il4","Gas6",0.197512720165144,"C1qb"
"Il4","Il1rn",0.222303268674748,"C1qb"
"Il4","Rgs2",0.182827168886988,"C1qb"
"Il4","Trem2",0.206612625370039,"C1qb"
"Tnf","Bcl2a1b",0.205414073897895,"C1qb"
"Tnf","Junb",0.233988509123887,"C1qb"
"Bmp7","Angptl4",0.0736714407999016,"C1qb"
"Bmp7","Cp",0.0728351876353743,"C1qb"
"Bmp7","Cxcl12",0.129798490442828,"C1qb"
"Bmp7","Emp1",0.0711870096477691,"C1qb"
"Bmp7","Id3",0.135486443178918,"C1qb"
"Bmp7","Spp1",0.0749366021986123,"C1qb"
"Sparc","Bcl2",0.066939126760582,"C1qb"
"Sparc","Fstl1",0.0448708208163945,"C1qb"
"B2m","Bcl2",0.013042073819272,"C1qb"
"B2m","Fst",0.0662427561472558,"C1qb"
"B2m","Ibsp",0.0674862501772172,"C1qb"
"B2m","Id3",0.00940848085763497,"C1qb"
"B2m","Junb",0.00931204002688119,"C1qb"
"Nrp1","Bcl2",0.0713233107990821,"C1qb"
"Nrp1","Id3",0.0100493107575512,"C1qb"
"Nrp1","Junb",0.00964953739329636,"C1qb"
"Nrp1","Mcl1",0.0637829465107314,"C1qb"
"Csf1","Csf1r",0.103393820830495,"C1qb"
"Csf1","Junb",0.14151636432674,"C1qb"
"Csf1","Pclaf",0.125995281830494,"C1qb"
"Csf1","Plpp3",0.138218023710104,"C1qb"
"Csf1","Rgs2",0.140622022747176,"C1qb"
"Ang","Bcl2",0.0158449851829028,"C1qb"
"Ang","Fst",0.0117872758908472,"C1qb"
"Ang","Id3",0.0122163833006162,"C1qb"
"Bgn","Asah1",0.0223908173177326,"C1qb"
"Bgn","Bcl2",0.0134685481272253,"C1qb"
"Bgn","Cd52",0.0230001001841514,"C1qb"
"Bgn","Junb",0.00945614321482776,"C1qb"
"Ccl25","Adamts5",0.0211228032304517,"C1qb"
"Ccl25","Bcl2",0.00830807720864796,"C1qb"
"Ccl25","Ccl6",0.0215367618116925,"C1qb"
"Pf4","Ccl24",0.0688523014270839,"C1qb"
"Pf4","Hp",0.0690918840736113,"C1qb"
"Pf4","Tmsb4x",0.0707363344815827,"C1qb"
"Hp","Bcl2",0.0136736631736938,"C1qb"
"Hp","Fst",0.00987728032693308,"C1qb"
"Hp","Id3",0.00884493098391453,"C1qb"
"Hp","Junb",0.00881084421392578,"C1qb"
"Ccl3","Bcl2",0.0162393487651135,"C1qb"
"Ccl3","Id3",0.0109959908377507,"C1qb"
"Ccl3","Junb",0.00970905177559109,"C1qb"
"Adam17","Alox5ap",0.068483527472891,"C1qb"
"Adam17","Bcl2",0.074132999114972,"C1qb"
"Adam17","Cd34",0.0662237912036173,"C1qb"
"Adam17","Lpl",0.0672027514990211,"C1qb"
"Adam17","Mpo",0.0660158832229476,"C1qb"
"Adam17","Pappa",0.0665331977403382,"C1qb"
"Cd33","Bcl2",0.0130549286072733,"C1qb"
"Cd33","Cybb",0.0645025751413201,"C1qb"
"Cd33","Id3",0.0110342354116839,"C1qb"
"Cd33","Spp1",0.00992822987836584,"C1qb"
"Nrg3","Bcl2",0.00999007841997435,"C1qb"
"Nrg3","Id3",0.00701445917194777,"C1qb"
"Nrg3","Junb",0.00746487255944354,"C1qb"
"Angptl3","Bcl2",0.011096827243699,"C1qb"
"Angptl3","C3",0.00807457080972526,"C1qb"
"Angptl3","Spp1",0.00987211671813437,"C1qb"
"Mag","Bcl2",0.0170018101706882,"C1qb"
"Mag","Id3",0.0120435580022061,"C1qb"
"Mag","Junb",0.0104631001932529,"C1qb"
"C1qb","Adipoq",0.0216575636723425,"C1qb"
"C1qb","Bcl2",0.00920585573461448,"C1qb"
"C1qb","Id3",0.00606270970803094,"C1qb"
"C1qb","Junb",0.00659750316363426,"C1qb"
"Vegfa","Emp1",0.184113071272965,"C1qb"
"Vegfa","Id3",0.136755070596832,"C1qb"
"Vegfa","Junb",0.232962038648072,"C1qb"
"Vegfa","Mcl1",0.196974246472433,"C1qb"
"Vegfa","Mgp",0.189439208697523,"C1qb"
"Vegfa","Rgs2",0.160926902363579,"C1qb"
"Vegfa","Spry1",0.143990484301121,"C1qb"
"Anxa2","Bcl2",0.0133775620533966,"C1qb"
"Anxa2","Cdh11",0.0248063099047499,"C1qb"
"Anxa2","Fabp4",0.0247445183137767,"C1qb"
"Anxa2","Id3",0.00971092954064336,"C1qb"
"Anxa2","Junb",0.00946849740184036,"C1qb"
"Cd300c2","Bcl2",0.0106675278545257,"C1qb"
"Cd300c2","Col1a2",0.00689830705515186,"C1qb"
"Cd300c2","Junb",0.00691643114612572,"C1qb"
"Cd300c","Bcl2",0.0105652303554936,"C1qb"
"Cd300c","Col1a2",0.00690790146149234,"C1qb"
"Cd300c","Id3",0.00646075707351677,"C1qb"
"Cd300c","Junb",0.00688913179056264,"C1qb"
"Mpdz","Bcl2",0.010851390063446,"C1qb"
"Mpdz","Id3",0.00747407749504978,"C1qb"
"Mpdz","Junb",0.00713708062579882,"C1qb"
"Mpdz","Lox",0.00717853480207393,"C1qb"
"Ltbp1","Bcl2",0.0162826038156736,"C1qb"
"Ltbp1","Fst",0.0136963758901664,"C1qb"
"Ltbp1","Gja1",0.0674108743414906,"C1qb"
"Ltbp1","Id3",0.0126013721926395,"C1qb"
"Ltbp1","Junb",0.0125935204695724,"C1qb"
"Ltbp1","Mcl1",0.011489673275996,"C1qb"
"Nrg2","Bcl2",0.0101005462869287,"C1qb"
"Nrg2","Junb",0.00703711271777038,"C1qb"
"Nrg2","Trem2",0.023007234554165,"C1qb"
"Saraf","Bcl2",0.010548890981597,"C1qb"
"Saraf","Dut",0.0215360836895678,"C1qb"
"Saraf","Junb",0.00799362025961083,"C1qb"
"Qrfp","Bcl2",0.00718427945057311,"C1qb"
"Qrfp","Col1a2",0.00439140203696802,"C1qb"
"Qrfp","Junb",0.00428265529717917,"C1qb"
"Cd55","Bcl2",0.0107134174050783,"C1qb"
"Cd55","C3",0.0410219446209811,"C1qb"
"Cd55","Fst",0.00648999786821168,"C1qb"
"Cd55","Id3",0.00643471128009267,"C1qb"
"Cd55","Junb",0.00708669279655947,"C1qb"
