"ligand","target","weight","receiver"
"Tgfb1","Bhlhe40",0.233019107993909,"CD34"
"Tgfb1","Col4a1",0.241174495725842,"CD34"
"Tgfb1","Col4a2",0.222755318962549,"CD34"
"Tgfb1","Id1",0.221721178031276,"CD34"
"Tgfb1","Palld",0.230366525650117,"CD34"
"Tgfb1","Sema7a",0.273710188240557,"CD34"
"Tgfb1","Thbs1",0.279996157581908,"CD34"
"Tgfb1","Vdr",0.28245967252993,"CD34"
"Il4","Ccl17",0.215421819667781,"CD34"
"Il4","Ccl2",0.178936750308943,"CD34"
"Il4","Maoa",0.285105510156019,"CD34"
"Il4","Palld",0.19111021634053,"CD34"
"Il4","Plscr2",0.197199204405021,"CD34"
"Il4","Ptgs1",0.200540589933357,"CD34"
"Bmp7","Cxcl12",0.129798490442828,"CD34"
"Bmp7","Id1",0.168569499888307,"CD34"
"Bmp7","Pcdh7",0.0724635778545239,"CD34"
"Bmp7","Rasl11b",0.0733750854437998,"CD34"
"Inhba","Adamts9",0.145397317288794,"CD34"
"Inhba","Arhgap29",0.13930617932145,"CD34"
"Inhba","Bhlhe40",0.145973182718217,"CD34"
"Inhba","Cxcl12",0.143758215459587,"CD34"
"Inhba","Id1",0.154186050595281,"CD34"
"Inhba","Itga6",0.145297327981575,"CD34"
"Inhba","Mgst2",0.143325404146773,"CD34"
"Inhba","Pcdh7",0.144773732997366,"CD34"
"Inhba","Pros1",0.144347026409644,"CD34"
"Inhba","Ptprm",0.147052225913062,"CD34"
"Inhba","Thbs2",0.15111816418062,"CD34"
"Mpdz","Bhlhe40",0.00696424001771232,"CD34"
"Mpdz","Ccnd1",0.014539462400712,"CD34"
"Mpdz","Esr1",0.00824995402689515,"CD34"
"Mpdz","Id1",0.00798571791896117,"CD34"
"Mpdz","Socs3",0.00730905021765299,"CD34"
"Mpdz","Thbs1",0.00795374737439951,"CD34"
"Gdf11","Gadd45g",0.143026812596384,"CD34"
"Gdf11","Id1",0.161493285701362,"CD34"
"Gdf11","Mn1",0.145572625232299,"CD34"
"Gdf11","Ptk7",0.145613036284864,"CD34"
"Gdf11","Tmem158",0.14266960031614,"CD34"
"Gdf11","Vdr",0.140658661129429,"CD34"
"Pf4","Ccl2",0.069132266399529,"CD34"
"Pf4","Cyp11a1",0.0685586437565954,"CD34"
"Mcam","Bhlhe40",0.00573612672009434,"CD34"
"Mcam","Ccnd1",0.0125057774943591,"CD34"
"Mcam","Cox6a2",0.021492606579819,"CD34"
"Mcam","Id1",0.00676381536697547,"CD34"
"Mcam","Kdr",0.0633673542877611,"CD34"
"Mcam","Sema7a",0.0220653157798118,"CD34"
"Mcam","Thbs1",0.00605468373328333,"CD34"
"Angptl3","App",0.00856154823983115,"CD34"
"Angptl3","Bhlhe40",0.00862257451961907,"CD34"
"Angptl3","Ccnd1",0.0145900016257835,"CD34"
"Angptl3","Nupr1",0.00938245444895981,"CD34"
"Zdhhc5","Bhlhe40",0.00892015315478255,"CD34"
"Zdhhc5","Ccnd1",0.0183372724711171,"CD34"
"Zdhhc5","Esr1",0.0091852597090694,"CD34"
"Zdhhc5","Gadd45g",0.00921703347366284,"CD34"
"Zdhhc5","Id1",0.00872413314882471,"CD34"
"Zdhhc5","Thbs1",0.00908612754278233,"CD34"
"Mmp14","App",0.00883805904627724,"CD34"
"Mmp14","Bhlhe40",0.00883540005902381,"CD34"
"Mmp14","Ccnd1",0.0183826535550156,"CD34"
"Mmp14","Col4a1",0.0397530632337385,"CD34"
"Mmp14","Esr1",0.00873310951967544,"CD34"
"Mmp14","Id1",0.010992812315924,"CD34"
"Mmp14","Thbs1",0.00997740640546381,"CD34"
"Ltbp1","Bhlhe40",0.0128234808895434,"CD34"
"Ltbp1","Ccl2",0.0668600986971879,"CD34"
"Ltbp1","Ccnd1",0.0207331081513398,"CD34"
"Ltbp1","Gadd45g",0.0112126735960586,"CD34"
"Ltbp1","Gja1",0.0674108743414906,"CD34"
"Ltbp1","Id1",0.0159394423500309,"CD34"
"Ltbp1","Lmna",0.0117564941407523,"CD34"
"Ltbp1","Thbs1",0.0148209744789317,"CD34"
"Matn1","Bhlhe40",0.00663707688506336,"CD34"
"Matn1","Ccnd1",0.0177864357411985,"CD34"
"Matn1","Esr1",0.0066849180816913,"CD34"
"Matn1","Id1",0.00809531499132885,"CD34"
"Matn1","Itga6",0.0114396499091953,"CD34"
"Matn1","Socs2",0.00680672047529239,"CD34"
"Matn1","Thbs1",0.00789698760537244,"CD34"
"Cd33","Alcam",0.0234645573925542,"CD34"
"Cd33","Ccnd1",0.019207254872438,"CD34"
"Cd33","Id1",0.0102796555546902,"CD34"
"Podxl","Bhlhe40",0.00803250956346993,"CD34"
"Podxl","Ccnd1",0.0176926102022977,"CD34"
"Podxl","Gadd45g",0.00810594857948948,"CD34"
"Podxl","Id1",0.0102874372716753,"CD34"
"Podxl","Socs2",0.00881198152306134,"CD34"
"Podxl","Thbs1",0.00981672319620083,"CD34"
"Hp","App",0.00945924424586522,"CD34"
"Hp","Bhlhe40",0.00894693822521887,"CD34"
"Hp","Ccnd1",0.0173400295048281,"CD34"
"Hp","Id1",0.011241196871869,"CD34"
"Hp","Thbs1",0.010771920381485,"CD34"
"Tgm2","Bcl3",0.0500878804747041,"CD34"
"Tgm2","Gja1",0.0499587043096098,"CD34"
"Tgm2","Thbs1",0.0525637876902469,"CD34"
"Sema4c","Ccnd1",0.0154069276835153,"CD34"
"Sema4c","Id1",0.00930755376116775,"CD34"
"Sema4c","Thbs1",0.00981067662732729,"CD34"
"Ccl3","Bhlhe40",0.00967443949337212,"CD34"
"Ccl3","Ccnd1",0.0184778027883651,"CD34"
"Ccl3","Esr1",0.011413625420649,"CD34"
"Ccl3","Gadd45g",0.0100054719964507,"CD34"
"Ccl3","Id1",0.0108592425161665,"CD34"
"Ccl3","Socs3",0.0105541969249621,"CD34"
"Ccl3","Thbs1",0.0109784899535186,"CD34"
"Ifitm6","Ccnd1",0.0279671721689673,"CD34"
"Ifitm6","Esr1",0.0231474908123411,"CD34"
"Ifitm6","Oas2",0.0209758006064812,"CD34"
"Ifitm6","Oas3",0.0204430493583785,"CD34"
"Ifitm6","Thbs1",0.0205462227025928,"CD34"
"Cd44","Bhlhe40",0.0119763233078391,"CD34"
"Cd44","Ccnd1",0.078924209823555,"CD34"
"Cd44","Esr1",0.0126734376703248,"CD34"
"Cd44","Id1",0.0146861195475969,"CD34"
"Cd44","Socs3",0.012462744809056,"CD34"
"Cd44","Thbs1",0.0130427224295192,"CD34"
"Cfh","App",0.00936639908015053,"CD34"
"Cfh","Bcl3",0.00947504822216223,"CD34"
"Cfh","Bhlhe40",0.00976648526905707,"CD34"
"Cfh","Ccnd1",0.0173912993262981,"CD34"
"Cfh","Esr1",0.0106740806697594,"CD34"
"Cfh","Id1",0.0116641798382113,"CD34"
"Cfh","Socs2",0.00900262724282717,"CD34"
"Cfh","Thbs1",0.0120772409807924,"CD34"
"Csf1","Cd59a",0.139226956445082,"CD34"
"Csf1","Dpp4",0.145039916537006,"CD34"
"Csf1","Nupr1",0.145664560073593,"CD34"
"Csf1","Ptprm",0.145855780191915,"CD34"
"Ncam1","App",0.0083856996884546,"CD34"
"Ncam1","Bhlhe40",0.00903455369360405,"CD34"
"Ncam1","Ccnd1",0.0186541580724704,"CD34"
"Ncam1","Esr1",0.0087572526514212,"CD34"
"Ncam1","Id1",0.00982617414906974,"CD34"
"Ncam1","Socs3",0.00827318905586182,"CD34"
"Ncam1","Thbs1",0.00904149631716516,"CD34"
"Alox5ap","Bhlhe40",0.00803561939375063,"CD34"
"Alox5ap","Ccnd1",0.017219213251405,"CD34"
"Alox5ap","Esr1",0.00806695242601027,"CD34"
"Alox5ap","Id1",0.00970202939067417,"CD34"
"Alox5ap","Thbs1",0.0097191385021334,"CD34"
"Ang","Ccnd1",0.0208621810094817,"CD34"
"Ang","Esr1",0.012837680099278,"CD34"
"Ang","Gadd45g",0.0110336855775416,"CD34"
"Ang","Id1",0.0109599981030406,"CD34"
"Ang","Thbs1",0.0126251000235885,"CD34"
"Tnf","Bcl3",0.211696631348933,"CD34"
"Tnf","Serpina3g",0.17910442148294,"CD34"
"Reck","Ccnd1",0.0214313873482705,"CD34"
"Reck","Id1",0.0110202703701415,"CD34"
"Psen1","Bace1",0.0644095625977901,"CD34"
"Psen1","Ccnd1",0.0209960176441312,"CD34"
"Psen1","Dlk1",0.0263783497612924,"CD34"
"Psen1","Esr1",0.0101209641995154,"CD34"
"Psen1","Id1",0.0124268490494125,"CD34"
"Tcn2","Ccnd1",0.0329072352214808,"CD34"
"Tcn2","Cdkn2a",0.0165674008627318,"CD34"
"Tcn2","Id1",0.0162583935695802,"CD34"
"Tcn2","Kdr",0.0165959937446727,"CD34"
"Tcn2","Thbs1",0.0160895445998016,"CD34"
