"ligand","target","weight","receiver"
"Tgfb1","Amigo2",0.216802387701065,"Car1"
"Tgfb1","Cdkn2b",0.22805407688403,"Car1"
"Tgfb1","Cited2",0.233430459955057,"Car1"
"Tgfb1","Col4a1",0.241174495725842,"Car1"
"Tgfb1","Col4a2",0.222755318962549,"Car1"
"Tgfb1","Hmox1",0.272684906562995,"Car1"
"Tgfb1","Id1",0.221721178031276,"Car1"
"Tgfb1","Lmcd1",0.236281380343655,"Car1"
"Tgfb1","Palld",0.230366525650117,"Car1"
"Tgfb1","Sema7a",0.273710188240557,"Car1"
"Tgfb1","Sparc",0.214352599823673,"Car1"
"Tgfb1","Tgfbi",0.280401429911583,"Car1"
"Tgfb1","Thbs1",0.279996157581908,"Car1"
"Il4","Aldh1a1",0.172807696562244,"Car1"
"Il4","Aldh1a7",0.172807696562244,"Car1"
"Il4","Ccl2",0.178936750308943,"Car1"
"Il4","Ccl6",0.185163694538153,"Car1"
"Il4","Ccl9",0.185163694538153,"Car1"
"Il4","Cdkn2b",0.188275268220953,"Car1"
"Il4","Cxcl10",0.187155455985616,"Car1"
"Il4","Cxcr4",0.184764864179242,"Car1"
"Il4","Dusp10",0.18109471013029,"Car1"
"Il4","Fcgr2b",0.182646046843374,"Car1"
"Il4","Hbegf",0.183635236359263,"Car1"
"Il4","Maoa",0.285105510156019,"Car1"
"Il4","Palld",0.19111021634053,"Car1"
"Il4","Pdcd1lg2",0.220875858964755,"Car1"
"Il4","Pim1",0.1933949278503,"Car1"
"Il4","Plscr2",0.197199204405021,"Car1"
"Il4","Ptgs1",0.200540589933357,"Car1"
"Il4","Trem2",0.206612625370039,"Car1"
"Pf4","Ccl2",0.069132266399529,"Car1"
"Pf4","Cyp11a1",0.0685586437565954,"Car1"
"Pf4","Mip",0.0687765555844067,"Car1"
"Gdf11","Amigo2",0.140578534116305,"Car1"
"Gdf11","Arl4d",0.141960319047573,"Car1"
"Gdf11","Cdcp1",0.143473880138887,"Car1"
"Gdf11","Cdkn2b",0.14580431307158,"Car1"
"Gdf11","Ckb",0.140486748580376,"Car1"
"Gdf11","Clu",0.144662866522915,"Car1"
"Gdf11","Cxcr4",0.143025551336995,"Car1"
"Gdf11","Gadd45g",0.143026812596384,"Car1"
"Gdf11","Hbegf",0.141275077080761,"Car1"
"Gdf11","Id1",0.161493285701362,"Car1"
"Gdf11","Lmcd1",0.140467000864641,"Car1"
"Gdf11","Mn1",0.145572625232299,"Car1"
"Gdf11","Ptk7",0.145613036284864,"Car1"
"Gdf11","Tmem158",0.14266960031614,"Car1"
"Tnf","Bcl3",0.211696631348933,"Car1"
"Tnf","Cxcl10",0.206085923051442,"Car1"
"Tnf","Ets1",0.239254350907204,"Car1"
"Tnf","Hbegf",0.189271999113235,"Car1"
"Tnf","Il7r",0.213036446334565,"Car1"
"Tnf","Serpina3b",0.17910442148294,"Car1"
"Tnf","Serpina3g",0.17910442148294,"Car1"
"Tnf","Serpina3i",0.17910442148294,"Car1"
"Tnf","Traf1",0.205678848550973,"Car1"
"Mpdz","Ccnd1",0.014539462400712,"Car1"
"Mpdz","Cited2",0.00705528072416011,"Car1"
"Mpdz","Cxcr4",0.0070886401928868,"Car1"
"Mpdz","Hes1",0.00746701514983274,"Car1"
"Mpdz","Hmox1",0.00956513176231546,"Car1"
"Mpdz","Id1",0.00798571791896117,"Car1"
"Mpdz","Ifit1bl1",0.0071634910157725,"Car1"
"Mpdz","Socs3",0.00730905021765299,"Car1"
"Mpdz","Thbs1",0.00795374737439951,"Car1"
"Tgm2","Anxa1",0.0489819654814307,"Car1"
"Tgm2","Asns",0.0486342682587198,"Car1"
"Tgm2","Bcl3",0.0500878804747041,"Car1"
"Tgm2","Clu",0.0496571175962193,"Car1"
"Tgm2","Cxcl10",0.0493964278721913,"Car1"
"Tgm2","Gata3",0.0499497086621628,"Car1"
"Tgm2","Gja1",0.0499587043096098,"Car1"
"Tgm2","Ifit1bl1",0.0504836741855669,"Car1"
"Tgm2","Ptpn13",0.0500101079009392,"Car1"
"Tgm2","Thbs1",0.0525637876902469,"Car1"
"Hbegf","Gypa",0.0702717220648579,"Car1"
"Hbegf","Htr2a",0.0699376042979946,"Car1"
"Hbegf","Trat1",0.0710902625381182,"Car1"
"Zdhhc5","Ccnd1",0.0183372724711171,"Car1"
"Zdhhc5","Cxcr4",0.00926338660968327,"Car1"
"Zdhhc5","Gadd45g",0.00921703347366284,"Car1"
"Zdhhc5","Gata3",0.00844603683872061,"Car1"
"Zdhhc5","Hmox1",0.00963811426519083,"Car1"
"Zdhhc5","Id1",0.00872413314882471,"Car1"
"Zdhhc5","Ifit1bl1",0.00874179570474341,"Car1"
"Zdhhc5","Thbs1",0.00908612754278233,"Car1"
"Ccl3","Ccnd1",0.0184778027883651,"Car1"
"Ccl3","Cited2",0.0095045590962229,"Car1"
"Ccl3","Cxcr4",0.0112386298673092,"Car1"
"Ccl3","Gadd45g",0.0100054719964507,"Car1"
"Ccl3","Hmox1",0.012641496028556,"Car1"
"Ccl3","Id1",0.0108592425161665,"Car1"
"Ccl3","Socs3",0.0105541969249621,"Car1"
"Ccl3","Thbs1",0.0109784899535186,"Car1"
"Bmp7","Gata3",0.0726342724930084,"Car1"
"Bmp7","Hes1",0.074104166697558,"Car1"
"Bmp7","Hey1",0.0714596657990081,"Car1"
"Bmp7","Id1",0.168569499888307,"Car1"
"Bmp7","Il7r",0.0717569044580065,"Car1"
"Bmp7","Pcdh7",0.0724635778545239,"Car1"
"Bmp7","Rasl11b",0.0733750854437998,"Car1"
"Bmp7","Rgs1",0.0709579448836929,"Car1"
"Bmp7","Tgfa",0.0715582900899954,"Car1"
"Bmp7","Tgfbi",0.075280385291626,"Car1"
"Inhba","Anxa1",0.148978612718506,"Car1"
"Inhba","Arhgap29",0.13930617932145,"Car1"
"Inhba","Arl4d",0.145289002413922,"Car1"
"Inhba","Clu",0.155168362718537,"Car1"
"Inhba","Dusp10",0.140805305479048,"Car1"
"Inhba","Epha4",0.146483715501428,"Car1"
"Inhba","Id1",0.154186050595281,"Car1"
"Inhba","Mgst2",0.143325404146773,"Car1"
"Inhba","Pcdh7",0.144773732997366,"Car1"
"Inhba","Plxna2",0.142260412807565,"Car1"
"Inhba","Pros1",0.144347026409644,"Car1"
"Inhba","Ptprm",0.147052225913062,"Car1"
"Inhba","Thbs2",0.15111816418062,"Car1"
"Ifitm6","Ccnd1",0.0279671721689673,"Car1"
"Ifitm6","Cxcl10",0.0213046346932298,"Car1"
"Ifitm6","Cxcr4",0.0207156562412896,"Car1"
"Ifitm6","Hmox1",0.0252568915066469,"Car1"
"Ifitm6","Ifit1bl1",0.0256258656474266,"Car1"
"Ifitm6","Isg15",0.021189526976727,"Car1"
"Ifitm6","Oas2",0.0209758006064812,"Car1"
"Ifitm6","Oas3",0.0204430493583785,"Car1"
"Ifitm6","Pdgfrb",0.018830790445653,"Car1"
"Ifitm6","Thbs1",0.0205462227025928,"Car1"
"Angptl3","Ccnd1",0.0145900016257835,"Car1"
"Angptl3","Cited2",0.00914151142785271,"Car1"
"Angptl3","Cxcl10",0.00922553364710295,"Car1"
"Angptl3","Hmox1",0.0110681171394738,"Car1"
"Angptl3","Ifit1bl1",0.00934331067322623,"Car1"
"Angptl3","Mgll",0.00836467047810968,"Car1"
"Csf1","Ccl7",0.131420190973861,"Car1"
"Csf1","Dpp4",0.145039916537006,"Car1"
"Csf1","Hbegf",0.141669131334066,"Car1"
"Csf1","Mgll",0.146302338321347,"Car1"
"Csf1","Ptprm",0.145855780191915,"Car1"
"Csf1","Tgfbi",0.145560433825237,"Car1"
"Cd33","Ccnd1",0.019207254872438,"Car1"
"Cd33","Entpd3",0.0242494361467063,"Car1"
"Cd33","Hmox1",0.0102176710201353,"Car1"
"Cd33","Id1",0.0102796555546902,"Car1"
"Cd33","Ifit1bl1",0.0102329906644067,"Car1"
"Cd33","Kcnj15",0.0247784460142363,"Car1"
"Il1rn","Bcl3",0.0157476365434979,"Car1"
"Il1rn","Ccnd1",0.0248746016736516,"Car1"
"Il1rn","Cxcl10",0.0164902287687465,"Car1"
"Il1rn","Hmox1",0.0166058666397916,"Car1"
"Il1rn","Id1",0.0155245833104408,"Car1"
"Il1rn","Ifit1bl1",0.0150943978570533,"Car1"
"Il1rn","Pim1",0.0153710091642317,"Car1"
"Il1rn","Socs3",0.0184327769343691,"Car1"
"Il1rn","Thbs1",0.0153664026989208,"Car1"
"Wnt4","Cd74",0.0253785709352497,"Car1"
"Wnt4","Cyp11a1",0.0663188414075848,"Car1"
"Wnt4","Hey1",0.0259457933688451,"Car1"
"Wnt4","Pcdh7",0.0257485314147269,"Car1"
"Wnt4","Sema3a",0.0635048990194022,"Car1"
"Wnt4","Serpina3b",0.025306025863554,"Car1"
"Wnt4","Serpina3g",0.025306025863554,"Car1"
"Wnt4","Serpina3i",0.025306025863554,"Car1"
"Ang","Ccnd1",0.0208621810094817,"Car1"
"Ang","Gadd45g",0.0110336855775416,"Car1"
"Ang","Hmox1",0.01257674599156,"Car1"
"Ang","Id1",0.0109599981030406,"Car1"
"Ang","Thbs1",0.0126251000235885,"Car1"
"Il1b","Ets1",0.185994384674276,"Car1"
"Il1b","Hbegf",0.183263624118694,"Car1"
"Il1b","Socs3",0.208604630020749,"Car1"
"Orm1","Ccnd1",0.0191324108257284,"Car1"
"Orm1","Cited2",0.0155192474867085,"Car1"
"Orm1","Ephx2",0.0138277293421636,"Car1"
"Orm1","Hmox1",0.0142233570762191,"Car1"
"Orm1","Id1",0.0162566121265603,"Car1"
"Orm1","Nfia",0.0126957933352514,"Car1"
"Bgn","Ccnd1",0.0169910828483296,"Car1"
"Bgn","Cxcr4",0.00935678274049549,"Car1"
"Bgn","Fosl2",0.0245052809972361,"Car1"
"Bgn","Hmox1",0.0107792118750677,"Car1"
"Bgn","Id1",0.00921535546952271,"Car1"
"Bgn","Ifit1bl1",0.00866993625212494,"Car1"
"Bgn","Myo1d",0.0232330425352667,"Car1"
"Bgn","Thbs1",0.00973544872083666,"Car1"
"Hp","Ccnd1",0.0173400295048281,"Car1"
"Hp","Cited2",0.00900254705641681,"Car1"
"Hp","Cxcr4",0.00888679621360861,"Car1"
"Hp","Hes1",0.0088101125856219,"Car1"
"Hp","Hmox1",0.0134828556130122,"Car1"
"Hp","Id1",0.011241196871869,"Car1"
"Hp","Thbs1",0.010771920381485,"Car1"
"Mag","Ccnd1",0.01983990521964,"Car1"
"Mag","Cxcr4",0.0105433941885683,"Car1"
"Mag","Hmox1",0.0123231727173904,"Car1"
"Mag","Id1",0.0124091560522339,"Car1"
"Mag","Ifit1bl1",0.0105177669036835,"Car1"
"Mag","Thbs1",0.0113776202331489,"Car1"
"Mcam","Ccnd1",0.0125057774943591,"Car1"
"Mcam","Cited2",0.00617613447834457,"Car1"
"Mcam","Cox6a2",0.021492606579819,"Car1"
"Mcam","Cxcr4",0.00611550324959648,"Car1"
"Mcam","Hes1",0.00601204261130147,"Car1"
"Mcam","Hmox1",0.00731949852465574,"Car1"
"Mcam","Id1",0.00676381536697547,"Car1"
"Mcam","Ifit1bl1",0.00597791314669455,"Car1"
"Mcam","Kdr",0.0633673542877611,"Car1"
"Mcam","Pim1",0.00574779441811448,"Car1"
"Mcam","Ptprf",0.0221672918645238,"Car1"
"Mcam","Sema7a",0.0220653157798118,"Car1"
"Mcam","Thbs1",0.00605468373328333,"Car1"
"Egf","Ccnd1",0.154983433503829,"Car1"
"Egf","Ets1",0.174620175420737,"Car1"
"Egf","Hbegf",0.281398592465138,"Car1"
"Egf","Hes1",0.142383059389026,"Car1"
"Egf","Id1",0.182228020779192,"Car1"
"Egf","Phlda1",0.186935297619764,"Car1"
"Egf","Phlda2",0.140299983481146,"Car1"
"Egf","Spry4",0.180188181676679,"Car1"
"Egf","Thbs1",0.238869690897603,"Car1"
"Cd44","Ccnd1",0.078924209823555,"Car1"
"Cd44","Cited2",0.0119048091031278,"Car1"
"Cd44","Cxcr4",0.0130076614172411,"Car1"
"Cd44","Hes1",0.0117605400786175,"Car1"
"Cd44","Hmox1",0.0140619051512739,"Car1"
"Cd44","Id1",0.0146861195475969,"Car1"
"Cd44","Ifit1bl1",0.0127786838089887,"Car1"
