"ligand","target","weight","receiver"
"Cd33","Cybb",0.0645025751413201,"Cd74"
"Jaml","Cyp4f18",0.0364300403468947,"Cd74"
"Wnt4","Ly6a",0.0785671655555373,"Cd74"
"Clec2i","Igkc",0.0238409432905869,"Cd74"
"Gm1123","Cyp4f18",0.0653261769147907,"Cd74"
"Clec2d","Igkc",0.0238457080075089,"Cd74"
"Pltp","Trps1",0.0226304824121465,"Cd74"
"Il4","Ccl9",0.185163694538153,"Cd74"
"Il4","Cybb",0.17693593485503,"Cd74"
"Ltf","Bcl2a1b",0.0567885393500856,"Cd74"
"Ltf","Igha",0.0714813587739923,"Cd74"
"Csf1","Csf1r",0.103393820830495,"Cd74"
"Csf1","Lgmn",0.142246388429464,"Cd74"
"Csf1","Tgfbi",0.145560433825237,"Cd74"
"Tnfsf9","Apoe",0.0701741178373484,"Cd74"
"Tnfsf9","Bcl2a1b",0.0716358612288005,"Cd74"
"Tnfsf9","Cebpb",0.0719154684449144,"Cd74"
"Tnfsf9","Il4i1",0.0723420826389068,"Cd74"
"Tnfsf9","Lyz2",0.0715161771412859,"Cd74"
"Furin","Camp",0.0473182464126564,"Cd74"
"Furin","S100a8",0.0476875922481035,"Cd74"
"Tnf","Bcl2a1b",0.205414073897895,"Cd74"
"Cdh1","Zeb2",0.0630989031640772,"Cd74"
"Apoa1","Apoe",0.0387548422739145,"Cd74"
"Bmp7","Tgfbi",0.075280385291626,"Cd74"
"Bmp7","Zeb2",0.0738984508719761,"Cd74"
"Camp","Cebpb",0.0394055559073099,"Cd74"
"Camp","Tgfbi",0.0267625472318373,"Cd74"
"Pomc","Cebpb",0.0643152960926357,"Cd74"
"Pomc","Cyp4f18",0.0642118460436936,"Cd74"
"Calr","Tgfbi",0.0455629711500191,"Cd74"
"Ccl25","Ccl9",0.0215367618116925,"Cd74"
"Tgfb1","Tgfbi",0.280401429911583,"Cd74"
"Angptl4","Ltf",0.0740368528926158,"Cd74"
"Angptl4","Ube2c",0.0739512721624452,"Cd74"
"Btla","Cebpb",0.00812317190442125,"Cd74"
"Tnfsf13b","Ltf",0.0738260509625119,"Cd74"
"Cd24a","Cebpb",0.0485930294088851,"Cd74"
"Cd24a","Ltf",0.0481296996103656,"Cd74"
"Cd24a","Ube2c",0.0481070174934422,"Cd74"
"S100a9","S100a8",0.0697447800308456,"Cd74"
