"ligand","target","weight","receiver"
"Psap","Jun",0.013254247722179,"Fcnb"
"Psap","Thbs1",0.066761822792807,"Fcnb"
"Cd59a","Atp1b1",0.0229695310301531,"Fcnb"
"Cd59a","Jun",0.00896185574001433,"Fcnb"
"Cd59b","Atp1b1",0.0229692759243263,"Fcnb"
"Cd59b","Jun",0.00896092390667872,"Fcnb"
"Cxcl12","Jun",0.186914840366779,"Fcnb"
"Cxcl12","Thbs1",0.133409733041887,"Fcnb"
"Sema4c","Jun",0.0107497462117641,"Fcnb"
"Sema4c","Thbs1",0.00981067662732729,"Fcnb"
"Egf","Jun",0.271910214759447,"Fcnb"
"Egf","Thbs1",0.238869690897603,"Fcnb"
"Psen1","Jun",0.0140102092074576,"Fcnb"
"Psen1","Ncam1",0.0635835370967491,"Fcnb"
"Npnt","Atp1b1",0.00834093940448006,"Fcnb"
"Npnt","Jun",0.0123088314114936,"Fcnb"
"Spp1","Jun",0.0704122149090368,"Fcnb"
"Spp1","Thbs1",0.0124754083710944,"Fcnb"
"Tgm2","Thbs1",0.0525637876902469,"Fcnb"
"Lgals3bp","Car1",0.0219091283496282,"Fcnb"
"Lgals3bp","Jun",0.0111037873519124,"Fcnb"
"Lgals3bp","Thbs1",0.0089644839483249,"Fcnb"
"Tgfb1","Jun",0.21729730424658,"Fcnb"
"Tgfb1","Thbs1",0.279996157581908,"Fcnb"
"Alox5ap","Jun",0.0118823926141704,"Fcnb"
"Alox5ap","Thbs1",0.0097191385021334,"Fcnb"
"Cfh","Jun",0.012264521360168,"Fcnb"
"Cfh","Thbs1",0.0120772409807924,"Fcnb"
"Hp","Jun",0.0140270112904735,"Fcnb"
"Hp","Thbs1",0.010771920381485,"Fcnb"
"Gdf3","Jun",0.0195579432060288,"Fcnb"
"Gdf3","Thbs1",0.0189789209520742,"Fcnb"
"Angptl6","Jun",0.00943911686046157,"Fcnb"
"Angptl6","Thbs1",0.0144391227340358,"Fcnb"
"Mmp9","Jun",0.058785420815367,"Fcnb"
"Mmp9","Thbs1",0.0129875453673439,"Fcnb"
"Gpc3","Jun",0.0135863521236156,"Fcnb"
"Gpc3","Thbs1",0.00929514518535723,"Fcnb"
"Col18a1","Jun",0.0139883485719776,"Fcnb"
"Col18a1","Thbs1",0.0108894245745182,"Fcnb"
"Nlgn2","Jun",0.00830838788058266,"Fcnb"
"Nlgn2","Thbs1",0.00689329496534068,"Fcnb"
"Nucb2","Jun",0.0098323726755377,"Fcnb"
"Nucb2","Thbs1",0.00828827506403787,"Fcnb"
"Ibsp","Jun",0.0117647177918178,"Fcnb"
"Ibsp","Thbs1",0.0080416009873835,"Fcnb"
"Cdh1","Jun",0.0140412169298019,"Fcnb"
"Cdh1","Thbs1",0.0436964164969112,"Fcnb"
"Gm1123","Jun",0.0101173320211111,"Fcnb"
"Gm1123","Thbs1",0.00981391171967555,"Fcnb"
"Ctsg","Jun",0.0135162359831485,"Fcnb"
"Ctsg","Thbs1",0.0113621326143538,"Fcnb"
"Ncam1","Jun",0.0123039046025846,"Fcnb"
"Ncam1","Thbs1",0.00904149631716516,"Fcnb"
"Siglec1","Jun",0.0124127333199191,"Fcnb"
"Siglec1","Sorl1",0.0120423010113724,"Fcnb"
"Siglec1","Thbs1",0.0130617874302749,"Fcnb"
"Mfge8","Jun",0.0143056978014499,"Fcnb"
"Mfge8","Thbs1",0.0107352141671684,"Fcnb"
"Car12","Jun",0.00969026352683436,"Fcnb"
"Car12","Thbs1",0.00847762206907383,"Fcnb"
