"ligand","target","weight","receiver"
"Pf4","Ccl2",0.069132266399529,"Gstm1_CD63"
"Pf4","Cd14",0.127591772148589,"Gstm1_CD63"
"Pf4","Cyp11a1",0.0685586437565954,"Gstm1_CD63"
"Ccl9","Cdh1",0.00488882473441255,"Gstm1_CD63"
"Ccl9","Epx",0.0637980837917894,"Gstm1_CD63"
"Ccl9","Id1",0.00506235715431233,"Gstm1_CD63"
"Ccl9","Kdr",0.0625917632453137,"Gstm1_CD63"
"Ccl9","Pim1",0.00499839904637417,"Gstm1_CD63"
"Ccl9","Socs3",0.00508940562557524,"Gstm1_CD63"
"Ccl9","Thbs1",0.00495104332871784,"Gstm1_CD63"
"Ccl6","Cdh1",0.00487820832135969,"Gstm1_CD63"
"Ccl6","Epx",0.0637815260328176,"Gstm1_CD63"
"Ccl6","Id1",0.00506044046147672,"Gstm1_CD63"
"Ccl6","Kdr",0.0625787485059569,"Gstm1_CD63"
"Ccl6","Pim1",0.00496221521333243,"Gstm1_CD63"
"Ccl6","Socs3",0.00498773007862024,"Gstm1_CD63"
"Ccl6","Thbs1",0.00497663899733758,"Gstm1_CD63"
"Tgfb1","Col4a1",0.241174495725842,"Gstm1_CD63"
"Tgfb1","Col4a2",0.222755318962549,"Gstm1_CD63"
"Tgfb1","Id1",0.221721178031276,"Gstm1_CD63"
"Tgfb1","Palld",0.230366525650117,"Gstm1_CD63"
"Tgfb1","Serpine2",0.259618397421638,"Gstm1_CD63"
"Tgfb1","Thbs1",0.279996157581908,"Gstm1_CD63"
"Gdf11","Gadd45g",0.143026812596384,"Gstm1_CD63"
"Gdf11","Id1",0.161493285701362,"Gstm1_CD63"
"Gdf11","Ptk7",0.145613036284864,"Gstm1_CD63"
"Gdf11","Tmem158",0.14266960031614,"Gstm1_CD63"
"Mcam","Cox6a2",0.021492606579819,"Gstm1_CD63"
"Mcam","Id1",0.00676381536697547,"Gstm1_CD63"
"Mcam","Kdr",0.0633673542877611,"Gstm1_CD63"
"Mcam","Pim1",0.00574779441811448,"Gstm1_CD63"
"Mcam","Thbs1",0.00605468373328333,"Gstm1_CD63"
