"ligand","target","weight","receiver"
"Il2","Pim1",0.232208591835371,"Gstm1_Ly86"
"Il2","Socs3",0.292866588376904,"Gstm1_Ly86"
"Clec2i","Dlk1",0.02368248006869,"Gstm1_Ly86"
"Clec2i","Id1",0.0257800135999792,"Gstm1_Ly86"
"Sema5a","Id1",0.00765380563398077,"Gstm1_Ly86"
"Sema5a","Lcn2",0.0229408378733344,"Gstm1_Ly86"
"Sema5a","Pim1",0.00657964956772341,"Gstm1_Ly86"
"Sema5a","Thbs1",0.00744005527671765,"Gstm1_Ly86"
"Clec2d","Dlk1",0.0237881098240492,"Gstm1_Ly86"
"Clec2d","Id1",0.0259531162197441,"Gstm1_Ly86"
"Il12a","Gadd45g",0.189455781454192,"Gstm1_Ly86"
"Il12a","Pim1",0.167369498831626,"Gstm1_Ly86"
"Icam1","Ccl5",0.074209117675662,"Gstm1_Ly86"
"Icam1","Id1",0.0125899853682388,"Gstm1_Ly86"
"Icam1","Socs3",0.0141893833140175,"Gstm1_Ly86"
"Bmp7","Id1",0.168569499888307,"Gstm1_Ly86"
"Bmp7","Pcdh7",0.0724635778545239,"Gstm1_Ly86"
"Psap","Id1",0.0121100416114188,"Gstm1_Ly86"
"Psap","Thbs1",0.066761822792807,"Gstm1_Ly86"
"Gdf11","Gadd45g",0.143026812596384,"Gstm1_Ly86"
"Gdf11","Id1",0.161493285701362,"Gstm1_Ly86"
"Apoa1","Apoe",0.0387548422739145,"Gstm1_Ly86"
"Apoa1","Id1",0.00802014434008494,"Gstm1_Ly86"
"Apoa1","Socs3",0.00680198084309242,"Gstm1_Ly86"
"Apoa1","Thbs1",0.00753716219182165,"Gstm1_Ly86"
"Ccl3","Ccl5",0.0685840614503632,"Gstm1_Ly86"
"Ccl3","Gadd45g",0.0100054719964507,"Gstm1_Ly86"
"Ccl3","Id1",0.0108592425161665,"Gstm1_Ly86"
"Ccl3","Socs3",0.0105541969249621,"Gstm1_Ly86"
"Ccl3","Thbs1",0.0109784899535186,"Gstm1_Ly86"
"Apoe","Ache",0.0391619444531266,"Gstm1_Ly86"
"Apoe","Id1",0.0105160215732525,"Gstm1_Ly86"
"Apoe","Pim1",0.00845838681468129,"Gstm1_Ly86"
"Apoe","Socs3",0.00871465464397857,"Gstm1_Ly86"
"Apoe","Thbs1",0.00897465036908949,"Gstm1_Ly86"
"Il4","Ccl5",0.220277671711044,"Gstm1_Ly86"
"Il4","Pim1",0.1933949278503,"Gstm1_Ly86"
"Il4","Ptgs1",0.200540589933357,"Gstm1_Ly86"
"Ccl2","Ccl5",0.0126536949711837,"Gstm1_Ly86"
"Ccl2","Id1",0.00936336629081296,"Gstm1_Ly86"
"Ccl2","Pim1",0.00830206364895664,"Gstm1_Ly86"
"Ccl2","Selp",0.0652587746993818,"Gstm1_Ly86"
"Ccl2","Socs3",0.0101727931829382,"Gstm1_Ly86"
"Plxna1","Id1",0.00988577295510589,"Gstm1_Ly86"
"Plxna1","Pim1",0.00800396558182726,"Gstm1_Ly86"
"Plxna1","Serpinf1",0.0239202429102096,"Gstm1_Ly86"
"Plxna1","Thbs1",0.00794512095554562,"Gstm1_Ly86"
"Cfh","Id1",0.0116641798382113,"Gstm1_Ly86"
"Cfh","Pim1",0.0091805687132942,"Gstm1_Ly86"
"Cfh","Thbs1",0.0120772409807924,"Gstm1_Ly86"
"Gp1ba","Id1",0.0119015112694579,"Gstm1_Ly86"
"Gp1ba","Itga2b",0.0158173707730029,"Gstm1_Ly86"
"Gp1ba","Pim1",0.00911533001306074,"Gstm1_Ly86"
"Gp1ba","Thbs1",0.00998514045812376,"Gstm1_Ly86"
"Ltbp1","Gadd45g",0.0112126735960586,"Gstm1_Ly86"
"Ltbp1","Id1",0.0159394423500309,"Gstm1_Ly86"
"Ltbp1","Lmna",0.0117564941407523,"Gstm1_Ly86"
"Ltbp1","Pim1",0.0120589179237794,"Gstm1_Ly86"
"Ltbp1","Thbs1",0.0148209744789317,"Gstm1_Ly86"
"Col6a2","Ccl5",0.00691324431018985,"Gstm1_Ly86"
"Col6a2","Id1",0.00871303231546646,"Gstm1_Ly86"
"Col6a2","Pim1",0.00723599145955379,"Gstm1_Ly86"
"Col6a2","Socs3",0.00687299102716604,"Gstm1_Ly86"
"Col6a2","Thbs1",0.00800784901717157,"Gstm1_Ly86"
"Wnt10b","Pcdh7",0.0251000131117698,"Gstm1_Ly86"
"Wnt10b","Serpina3g",0.0247128169488342,"Gstm1_Ly86"
"Pvr","Id1",0.00839594768830236,"Gstm1_Ly86"
"Pvr","Pim1",0.00688668368740127,"Gstm1_Ly86"
"Pvr","Socs3",0.00637344954426304,"Gstm1_Ly86"
"Pvr","Thbs1",0.00727888414455664,"Gstm1_Ly86"
"Traf2","Ccl5",0.0707679949722019,"Gstm1_Ly86"
"Traf2","Id1",0.0115808584652193,"Gstm1_Ly86"
"Traf2","Pim1",0.010724471326497,"Gstm1_Ly86"
"Traf2","Socs3",0.0104034542825164,"Gstm1_Ly86"
"Traf2","Thbs1",0.0108781197599176,"Gstm1_Ly86"
"Apoc1","Id1",0.00764994357190939,"Gstm1_Ly86"
"Apoc1","Thbs1",0.00714507915713963,"Gstm1_Ly86"
"Kitl","Id1",0.0142035740647857,"Gstm1_Ly86"
"Kitl","Pim1",0.0728543895355078,"Gstm1_Ly86"
"Kitl","Ptgs1",0.0676362292935181,"Gstm1_Ly86"
"Kitl","Socs3",0.0172619800968416,"Gstm1_Ly86"
"Kitl","Thbs1",0.0138874016570502,"Gstm1_Ly86"
"Hp","Ccl5",0.00863097588418596,"Gstm1_Ly86"
"Hp","Id1",0.011241196871869,"Gstm1_Ly86"
"Hp","Thbs1",0.010771920381485,"Gstm1_Ly86"
"Il1rn","Ccl5",0.0174305467272968,"Gstm1_Ly86"
"Il1rn","Id1",0.0155245833104408,"Gstm1_Ly86"
"Il1rn","Pim1",0.0153710091642317,"Gstm1_Ly86"
"Il1rn","Socs3",0.0184327769343691,"Gstm1_Ly86"
"Il1rn","Thbs1",0.0153664026989208,"Gstm1_Ly86"
"Zdhhc5","Gadd45g",0.00921703347366284,"Gstm1_Ly86"
"Zdhhc5","Id1",0.00872413314882471,"Gstm1_Ly86"
"Zdhhc5","Thbs1",0.00908612754278233,"Gstm1_Ly86"
"S100a8","Ccl5",0.0161915006748154,"Gstm1_Ly86"
"S100a8","Id1",0.0163137880335896,"Gstm1_Ly86"
"S100a8","Socs3",0.0150549204859773,"Gstm1_Ly86"
"S100a8","Thbs1",0.0162268811595187,"Gstm1_Ly86"
"Retn","Ccl5",0.0212811559523876,"Gstm1_Ly86"
"Retn","Cd55",0.0251665527318236,"Gstm1_Ly86"
"Retn","Id1",0.0258688896923627,"Gstm1_Ly86"
"Retn","Pim1",0.0212767010966889,"Gstm1_Ly86"
"Retn","Thbs1",0.0256716130120092,"Gstm1_Ly86"
"Efna1","Id1",0.00769138436850975,"Gstm1_Ly86"
"Efna1","Pim1",0.00699812412486765,"Gstm1_Ly86"
"Efna1","Socs3",0.00731439724846634,"Gstm1_Ly86"
"Efna1","Thbs1",0.0076763546114264,"Gstm1_Ly86"
