"ligand","target","weight","receiver"
"Il4","Ccl2",0.178936750308943,"Ly86"
"Il4","Ccl6",0.185163694538153,"Ly86"
"Il4","Cd209a",0.176971193001483,"Ly86"
"Il4","Ctsc",0.183269779641762,"Ly86"
"Il4","Cxcl10",0.187155455985616,"Ly86"
"Il4","Cybb",0.17693593485503,"Ly86"
"Il4","Dusp6",0.185165962948777,"Ly86"
"Il4","Fn1",0.187840664415271,"Ly86"
"Il4","Ifit3",0.197410524898866,"Ly86"
"Il4","Mmp9",0.174481978588149,"Ly86"
"Il4","Mrc1",0.187053067467203,"Ly86"
"Il4","Pim1",0.1933949278503,"Ly86"
"Il4","Ptgs1",0.200540589933357,"Ly86"
"Il4","Tgm2",0.219745869738409,"Ly86"
"Il4","Trem2",0.206612625370039,"Ly86"
"Ifitm6","Bcl2",0.0232105428552259,"Ly86"
"Ifitm6","Cryba4",0.0255882439724863,"Ly86"
"Ifitm6","Cxcl10",0.0213046346932298,"Ly86"
"Ifitm6","Fas",0.0252946775210724,"Ly86"
"Ifitm6","Hmox1",0.0252568915066469,"Ly86"
"Ifitm6","Ifi204",0.0185809667539729,"Ly86"
"Ifitm6","Ifit3",0.0322263529037237,"Ly86"
"Ifitm6","Irf7",0.0272560899835497,"Ly86"
"Ifitm6","Lilra6",0.0186579033255287,"Ly86"
"Ifitm6","Mmp9",0.0688655436365652,"Ly86"
"Ifitm6","Oas3",0.0204430493583785,"Ly86"
"Ifitm6","Pdgfrb",0.018830790445653,"Ly86"
"Ifitm6","Thbs1",0.0205462227025928,"Ly86"
"Ifitm6","Vcan",0.0195314510426595,"Ly86"
"Ccl25","Bcl2",0.00830807720864796,"Ly86"
"Ccl25","Bhlhe40",0.00523266882351354,"Ly86"
"Ccl25","Ccl6",0.0215367618116925,"Ly86"
"Ccl25","Ccnd2",0.00544854591118902,"Ly86"
"Ccl25","Fas",0.0050875136647328,"Ly86"
"Ccl25","Hmox1",0.00630862082215982,"Ly86"
"Ccl25","Id1",0.00513673783924144,"Ly86"
"Ccl25","Il1b",0.00821922284402882,"Ly86"
"Ccl25","Lrp1",0.0612142304596537,"Ly86"
"Ccl25","Mmp9",0.0621715388765505,"Ly86"
"Ccl25","Msr1",0.065491071607657,"Ly86"
"Ccl25","Rbfox2",0.0207877337185097,"Ly86"
"Ccl25","Thbs1",0.00531470945692728,"Ly86"
"Cd59b","Atp1b1",0.0229692759243263,"Ly86"
"Cd59b","Bcl2",0.0107434335422014,"Ly86"
"Cd59b","Cryba4",0.0214494076696873,"Ly86"
"Cd59b","Hmox1",0.00722648677070016,"Ly86"
"Cd59b","Id1",0.00739247177102783,"Ly86"
"Cd59b","Stfa2",0.0234533160788241,"Ly86"
"Cd59b","Stfa2l1",0.0234533160788241,"Ly86"
