"ligand","target","weight","receiver"
"Tgfb1","Col4a1",0.241174495725842,"Pf4"
"Tgfb1","Col4a2",0.222755318962549,"Pf4"
"Tgfb1","Hmox1",0.272684906562995,"Pf4"
"Tgfb1","Tgfbi",0.280401429911583,"Pf4"
"Tgfb1","Thbs1",0.279996157581908,"Pf4"
"Ltbp1","Ccl2",0.0668600986971879,"Pf4"
"Ltbp1","Ccnd1",0.0207331081513398,"Pf4"
"Ltbp1","Gadd45g",0.0112126735960586,"Pf4"
"Ltbp1","Gja1",0.0674108743414906,"Pf4"
"Ltbp1","Hmox1",0.0141924138674511,"Pf4"
"Ltbp1","Il1b",0.0133189051005491,"Pf4"
"Ltbp1","Lmna",0.0117564941407523,"Pf4"
"Ltbp1","Thbs1",0.0148209744789317,"Pf4"
"S100a9","Bcl3",0.0146741491743635,"Pf4"
"S100a9","Ccnd1",0.0266752378227418,"Pf4"
"S100a9","Cdkn2a",0.0674318890143313,"Pf4"
"S100a9","Hmox1",0.0183253646656223,"Pf4"
"S100a9","Il1b",0.0750851720859834,"Pf4"
"S100a9","S100a8",0.0697447800308456,"Pf4"
"S100a9","Socs3",0.017322877079254,"Pf4"
"S100a9","Thbs1",0.0158787529507662,"Pf4"
"Cd14","Ccnd1",0.020178513553012,"Pf4"
"Cd14","Cxcr2",0.0664006402118638,"Pf4"
"Cd14","Hmox1",0.0139531066048162,"Pf4"
"Cd14","Il1b",0.0750570036782408,"Pf4"
"Cd14","Thbs1",0.0140289630349166,"Pf4"
"Kng1","Ccnd1",0.0133363691947674,"Pf4"
"Kng1","Cxcr2",0.0641819988782143,"Pf4"
"Kng1","Hmox1",0.00765724597566168,"Pf4"
"Kng1","Il1b",0.0655215070354049,"Pf4"
"Kng1","Thbs1",0.00659266718383439,"Pf4"
"Il4","Aldh1a1",0.172807696562244,"Pf4"
"Il4","Ccl2",0.178936750308943,"Pf4"
"Il4","Dusp10",0.18109471013029,"Pf4"
"Il4","Fcgr2b",0.182646046843374,"Pf4"
"Il4","Maoa",0.285105510156019,"Pf4"
"Il4","Tgm2",0.219745869738409,"Pf4"
"Tgm2","Asns",0.0486342682587198,"Pf4"
"Tgm2","Bcl3",0.0500878804747041,"Pf4"
"Tgm2","Gja1",0.0499587043096098,"Pf4"
"Tgm2","Il1b",0.0523166808398019,"Pf4"
"Tgm2","Tgm2",0.0508673568204658,"Pf4"
"Tgm2","Thbs1",0.0525637876902469,"Pf4"
"S100a8","Bcl3",0.0132533882496973,"Pf4"
"S100a8","Ccnd1",0.0263826017922658,"Pf4"
"S100a8","Hmox1",0.0179657443890639,"Pf4"
"S100a8","Il1b",0.0740350982416756,"Pf4"
"S100a8","Socs3",0.0150549204859773,"Pf4"
"S100a8","Thbs1",0.0162268811595187,"Pf4"
"Anxa1","Ccnd1",0.0161877358741163,"Pf4"
"Anxa1","Hmox1",0.0100946430247382,"Pf4"
"Anxa1","Il1b",0.0431036578201777,"Pf4"
"Anxa1","Socs3",0.00760883797462223,"Pf4"
"Anxa1","Thbs1",0.00824169928400658,"Pf4"
"Ppbp","Ccnd1",0.0128451959704429,"Pf4"
