"ligand","target","weight","receiver"
"Itgam","Ighg2b",0.0788973332054192,"Vpreb1"
"Lamb3","Crip1",0.0225854104131963,"Vpreb1"
"Cd52","Crip1",0.0226852013616471,"Vpreb1"
"Kitl","Ccnd3",0.0730304585454703,"Vpreb1"
"Bmp7","Cxcl12",0.129798490442828,"Vpreb1"
"Chl1","Ccnd3",0.0103936881047759,"Vpreb1"
"Chl1","Tyms",0.00980786900395024,"Vpreb1"
"Btla","Ccnd3",0.01321360123394,"Vpreb1"
"Icosl","Ccnd3",0.012522219590919,"Vpreb1"
"Tnfsf9","Cd74",0.0730149130018517,"Vpreb1"
"Il2","Ccnd3",0.185543314519353,"Vpreb1"
"Bgn","Arpc5",0.0215836167073972,"Vpreb1"
"Wnt10b","Cd74",0.0246991537989765,"Vpreb1"
"Wnt4","Cd74",0.0253785709352497,"Vpreb1"
"Angptl4","Tyms",0.0751246136245834,"Vpreb1"
"Nrtn","Ccnd3",0.0121070440119699,"Vpreb1"
"Pdcd1lg2","Ccnd3",0.00881137786996144,"Vpreb1"
"Cd79b","Ccnd3",0.00842420880749045,"Vpreb1"
"Fgf3","Ccnd3",0.00813140158047444,"Vpreb1"
"Cd80","Ccnd3",0.00830413168220341,"Vpreb1"
"Fgf22","Ccnd3",0.00845672623279935,"Vpreb1"
"Crlf1","Ccnd3",0.0200882287816939,"Vpreb1"
"Sirpa","Ccnd3",0.00902102334629563,"Vpreb1"
"Cd22","Ccnd3",0.00626316851594909,"Vpreb1"
