"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Tgfb1",0.732921289444726,0.0861661912950742,0.0682892511620365,0.170019610418621,1,"C1qb"
"Il4",0.752996260212237,0.078282907852952,0.0604059677199143,0.170832590321118,2,"C1qb"
"Tnf",0.769612556236277,0.0721472540411626,0.0542703139081249,0.152670432234694,3,"C1qb"
"Bmp7",0.681197585271876,0.0684319315176348,0.0505549913845971,0.128888782707448,4,"C1qb"
"Sparc",0.695592322660913,0.065377521089179,0.0475005809561413,0.0760760416948019,5,"C1qb"
"B2m",0.679421213423871,0.0653708056312104,0.0474938654981727,0.134722873343277,6,"C1qb"
"Nrp1",0.686824221223943,0.0625241270314332,0.0446471868983955,0.14402518486195,7,"C1qb"
"Csf1",0.737431130041576,0.060926104379155,0.0430491642461173,0.134642050001843,8,"C1qb"
"Ang",0.724275696411058,0.0601484035645548,0.0422714634315171,0.111110502980162,9,"C1qb"
"Bgn",0.714472836496128,0.0599036813435022,0.0420267412104645,0.106615028434597,10,"C1qb"
"Ccl25",0.713901859830684,0.0587555204278918,0.0408785802948541,0.0727252859143932,11,"C1qb"
"Pf4",0.69466585286086,0.0584508529863863,0.0405739128533486,0.0460943894959432,12,"C1qb"
"Hp",0.69741901046026,0.0584458359527437,0.040568895819706,0.116442409455623,13,"C1qb"
"Ccl3",0.745786859442382,0.0582860462038629,0.0404091060708252,0.0943543074465117,14,"C1qb"
"Adam17",0.6939570542417,0.0582743191069865,0.0403973789739488,0.106955923157231,15,"C1qb"
"Cd33",0.708452423533415,0.0572054959455266,0.0393285558124889,0.113537242259008,16,"C1qb"
"Nrg3",0.708337571905327,0.0571924817816647,0.039315541648627,0.114092263354152,17,"C1qb"
"Angptl3",0.700436873716803,0.0571834881213882,0.0393065479883505,0.118356051440427,18,"C1qb"
"Mag",0.725828927953048,0.0570378497064957,0.039160909573458,0.121780210930745,19,"C1qb"
"C1qb",0.699856052626122,0.056904253714591,0.0390273135815533,0.118980158344313,20,"C1qb"
"Vegfa",0.691020134037329,0.056575635471771,0.0386986953387333,0.113791355032508,21,"C1qb"
"Anxa2",0.689616209611915,0.0563680825014203,0.0384911423683826,0.101632740991255,22,"C1qb"
"Cd300c2",0.701644456549449,0.0563108060094006,0.0384338658763629,0.115844256787244,23,"C1qb"
"Cd300c",0.699538843367548,0.0562092154667028,0.0383322753336651,0.115249827088619,24,"C1qb"
"Mpdz",0.710168635004826,0.0559592309018516,0.0380822907688139,0.114085836170777,25,"C1qb"
"Ltbp1",0.674633541269506,0.0557594049975179,0.0378824648644802,0.115438806752192,26,"C1qb"
"Nrg2",0.70988970962229,0.0555213079128802,0.0376443677798426,0.0942685520351425,27,"C1qb"
"Saraf",0.663028057705827,0.0555111312445967,0.037634191111559,0.106837249456852,28,"C1qb"
"Qrfp",0.701387407667483,0.0553609379853882,0.0374839978523505,0.113049712893027,29,"C1qb"
"Cd55",0.654231516818133,0.0551622421995906,0.0372853020665529,0.112899600274855,30,"C1qb"
"Fgf3",0.7020787050862,0.0551566394576042,0.0372796993245665,0.108507958121157,31,"C1qb"
"Serpinf1",0.683236475126998,0.0548614302141357,0.036984490081098,0.0936316604533278,32,"C1qb"
"Tyrobp",0.703720536455557,0.0547497279086372,0.0368727877755995,0.108324441964982,33,"C1qb"
"Sema6b",0.683463990733126,0.0547096200221847,0.036832679889147,0.104827620071039,34,"C1qb"
"Cd22",0.705102037467887,0.0546279666933924,0.0367510265603547,0.109579162684089,35,"C1qb"
"Mmp14",0.673138282454084,0.0542771447287157,0.036400204595678,0.103851702224026,36,"C1qb"
"Lama4",0.723653309969245,0.0540896951038669,0.0362127549708292,0.117622839490372,37,"C1qb"
"Prnp",0.692491328702082,0.0539895823248223,0.0361126421917846,0.0612691755282421,38,"C1qb"
"Col17a1",0.679496687350917,0.0538391432419277,0.03596220310889,0.0881700735230768,39,"C1qb"
"Apoa1",0.693614687007456,0.053446781257116,0.0355698411240783,0.100446723758408,40,"C1qb"
"S100a9",0.661738437995984,0.0533364138485978,0.0354594737155601,0.117064124258904,41,"C1qb"
"Fgf22",0.696840377019625,0.0532308141977806,0.0353538740647429,0.104842587514332,42,"C1qb"
"Cd48",0.695738895214848,0.0532197131324188,0.0353427729993811,0.119782818794629,43,"C1qb"
"S100a4",0.711743743047402,0.0530635026657833,0.0351865625327456,0.10381800015006,44,"C1qb"
"Fbn1",0.688671691698875,0.0527804322638523,0.0349034921308146,0.0945400759019053,45,"C1qb"
"Npnt",0.660432410910692,0.0526328580899763,0.0347559179569386,0.103224666165789,46,"C1qb"
"Psen1",0.690592448450779,0.0526253899666269,0.0347484498335892,0.0924573691825148,47,"C1qb"
"Neto2",0.690054286536227,0.0525131885984,0.0346362484653623,0.104215777781658,48,"C1qb"
"Traf2",0.675165140233868,0.0522874118473524,0.0344104717143148,0.0985010866853265,49,"C1qb"
"Jam3",0.705329553074044,0.0520931227957524,0.0342161826627147,0.108573604646802,50,"C1qb"
"Zdhhc5",0.673223600806384,0.0520714419604614,0.0341945018274237,0.0975952066052499,51,"C1qb"
