"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Tgfb1",0.610287373129768,0.0706790469281303,0.0365643545882391,0.121733184258289,1,"CD34"
"Il4",0.567792075719997,0.0657509384506091,0.0316362461107179,0.101059400736385,2,"CD34"
"Bmp7",0.564074869224787,0.0651390805420398,0.0310243882021487,0.0881804977362584,3,"CD34"
"Inhba",0.560956204428091,0.064240441885925,0.0301257495460338,0.0992108656438688,4,"CD34"
"Mpdz",0.596694893286095,0.0609415255369655,0.0268268331970744,0.0675907417575084,5,"CD34"
"Gdf11",0.558813285565213,0.0596121914518754,0.0254974991119843,0.0663215395426578,6,"CD34"
"Pf4",0.55140878304276,0.0583553408774417,0.0242406485375505,0.0545725273623496,7,"CD34"
"Mcam",0.555732175022755,0.0583258314943054,0.0242111391544142,0.0679060045716888,8,"CD34"
"Angptl3",0.577891677578438,0.0573143351003094,0.0231996427604183,0.0599347304304511,9,"CD34"
"Zdhhc5",0.568502781673516,0.0570968260996118,0.0229821337597206,0.0491724938078389,10,"CD34"
"Mmp14",0.565005250948826,0.0570964042347973,0.0229817118949061,0.0536664406486881,11,"CD34"
"Ltbp1",0.53620163643494,0.0570664154469246,0.0229517231070334,0.0560074895247427,12,"CD34"
"Matn1",0.579816250024923,0.0566812384897085,0.0225665461498173,0.0579358047852939,13,"CD34"
"Cd33",0.590465207478945,0.0565199355382755,0.0224052431983843,0.0529970952109597,14,"CD34"
"Podxl",0.56385353176159,0.0563520104217177,0.0222373180818265,0.0462132117138139,15,"CD34"
"Hp",0.569440142506762,0.0557874467042602,0.021672754364369,0.0498101441102997,16,"CD34"
"Tgm2",0.561944911564708,0.0555857468759054,0.0214710545360142,0.0356432634347409,17,"CD34"
"Sema4c",0.562860171885484,0.0554925171962674,0.0213778248563763,0.0508679952747699,18,"CD34"
"Ccl3",0.590478999528075,0.0549805029842717,0.0208658106443805,0.0461929215243636,19,"CD34"
"Ifitm6",0.579838849045186,0.054610913670471,0.0204962213305799,0.0613996986870124,20,"CD34"
"Cd44",0.564050276173321,0.0544780779377992,0.020363385597908,0.042847718061263,21,"CD34"
"Cfh",0.554662377283997,0.0543582716541923,0.0202435793143011,0.0449958206415062,22,"CD34"
"Csf1",0.543159974476398,0.0543266180912302,0.020211925751339,0.0506843912577657,23,"CD34"
"Ncam1",0.571910248655689,0.053608213056723,0.0194935207168318,0.047362560387339,24,"CD34"
"Alox5ap",0.551658867789076,0.0534880178089372,0.019373325469046,0.0355175577604126,25,"CD34"
"Ang",0.594119269652835,0.053468255397287,0.0193535630573959,0.0454729386248062,26,"CD34"
"Tnf",0.570552811916318,0.0534465465666519,0.0193318542267608,0.0613047699063713,27,"CD34"
"Reck",0.575985716089844,0.0534250764711145,0.0193103841312233,0.0496002854203702,28,"CD34"
"Psen1",0.558469481352481,0.0533940013078472,0.019279308967956,0.0474940031126067,29,"CD34"
"Tcn2",0.535050581924772,0.0533687790776777,0.0192540867377865,0.046156588307105,30,"CD34"
"Mmp25",0.548431362122712,0.0533629473926305,0.0192482550527393,0.0393959717137507,31,"CD34"
"Ccl9",0.551920252045534,0.0533570130214257,0.0192423206815346,0.0388845001120003,32,"CD34"
"Ccl6",0.552645414725247,0.0533286068896152,0.019213914549724,0.0389803551898207,33,"CD34"
"S100a9",0.523008959846857,0.053318413945144,0.0192037216052529,0.0434659396133362,34,"CD34"
"Ibsp",0.565034496739757,0.0533114937889497,0.0191968014490586,0.0468940407034966,35,"CD34"
"Gpc3",0.557528630964641,0.0532681184753808,0.0191534261354897,0.0423216998964832,36,"CD34"
