"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Tgfb1",0.603947226798923,0.117732858271065,0.0612083783383064,0.163464369246985,1,"Car1"
"Il4",0.549875911774207,0.107891980374656,0.0513675004418966,0.141163656415361,2,"Car1"
"Pf4",0.533218490491057,0.101205621888552,0.0446811419557925,0.0866497670283499,3,"Car1"
"Gdf11",0.526781012742072,0.0945251058022079,0.0380006258694489,0.0961713646084394,4,"Car1"
"Tnf",0.555605910697872,0.0925014424563123,0.0359769625235533,0.102121356442503,5,"Car1"
"Mpdz",0.576612215497469,0.09146244248249,0.034937962549731,0.0708075685311343,6,"Car1"
"Tgm2",0.541902803421065,0.0902740950465118,0.0337496151137528,0.0496002248214249,7,"Car1"
"Hbegf",0.538080182313439,0.090085426694631,0.033560946761872,0.051989116142747,8,"Car1"
"Zdhhc5",0.557213365512788,0.0897424515139183,0.0332179715811593,0.054943124746332,9,"Car1"
"Ccl3",0.572775726314566,0.089024097209645,0.032499617276886,0.049924342032879,10,"Car1"
"Bmp7",0.527155036802149,0.0887042298142317,0.0321797498814727,0.07563741050017,11,"Car1"
"Inhba",0.532722862039557,0.0875013679993766,0.0309768880666176,0.0950429521401379,12,"Car1"
"Ifitm6",0.573214330068464,0.0865825119667481,0.0300580320339891,0.0733250504474255,13,"Car1"
"Angptl3",0.565604999958597,0.0864501027736221,0.0299256228408631,0.0642428332185955,14,"Car1"
"Csf1",0.526078294599311,0.0863227334035732,0.0297982534708142,0.088824830752237,15,"Car1"
"Cd33",0.583146252307898,0.0861549184473445,0.0296304385145855,0.0585202396083856,16,"Car1"
"Il1rn",0.559720589331106,0.0854524193905894,0.0289279394578305,0.0530304441489222,17,"Car1"
"Wnt4",0.525800105148987,0.0854110147756141,0.0288865348428551,0.0752435844076086,18,"Car1"
"Ang",0.57351953121766,0.0853553946065272,0.0288309146737682,0.0566936398762713,19,"Car1"
"Il1b",0.534937924839172,0.0852932777483053,0.0287687978155463,0.0901692082652353,20,"Car1"
"Orm1",0.569596004338438,0.085284445855367,0.028759965922608,0.0654159321526682,21,"Car1"
"Bgn",0.533753963785694,0.0851006948704039,0.0285762149376449,0.0420712024471045,22,"Car1"
"Hp",0.55048652105877,0.0845520789073295,0.0280275989745705,0.0522494995564665,23,"Car1"
"Mag",0.555469299807086,0.0842567508755245,0.0277322709427655,0.0557351851956245,24,"Car1"
"Mcam",0.525736560386146,0.0840130761872859,0.0274885962545269,0.057859485609382,25,"Car1"
"Egf",0.525051539563342,0.0837616967602615,0.0272372168275025,0.075224566807949,26,"Car1"
"Cd44",0.537838111954692,0.0829934860983968,0.0264690061656379,0.0395967212166213,27,"Car1"
"Sema4c",0.544094062807887,0.0829823109306264,0.0264578309978674,0.0483265246562548,28,"Car1"
"Tnfsf13b",0.544164438115262,0.0828775459820615,0.0263530660493026,0.0480851974201013,29,"Car1"
"Ncam1",0.54539103832556,0.0827900136780518,0.0262655337452928,0.0466931577603132,30,"Car1"
"Adam17",0.532295332047258,0.0827889882290481,0.0262645082962892,0.0457090749834017,31,"Car1"
"S100a4",0.560048041496591,0.0827099633045705,0.0261854833718115,0.0528933121414974,32,"Car1"
"Vegfa",0.525649419196728,0.0825997205721951,0.0260752406394361,0.083319906133212,33,"Car1"
"Tspan3",0.532042187926908,0.0825592073739739,0.0260347274412149,0.044001088355599,34,"Car1"
"Lama4",0.560602143549071,0.0822471104554857,0.0257226305227267,0.05536300347318,35,"Car1"
"Ccl25",0.537116765054106,0.0822094557316517,0.0256849757988927,0.0497594510625897,36,"Car1"
"Podxl",0.530770361232316,0.082120728241558,0.025596248308799,0.0366359325993148,37,"Car1"
"Nrg3",0.533509099113275,0.082005701718915,0.025481221786156,0.0419688685911671,38,"Car1"
"Tnc",0.536116711237691,0.0819945820712765,0.0254701021385175,0.044224325198336,39,"Car1"
"Col12a1",0.537938500260801,0.0819374840789621,0.0254130041462031,0.0353280775894716,40,"Car1"
"Ltbp1",0.511268432120944,0.0817799533773543,0.0252554734445953,0.0452482519095529,41,"Car1"
"Mmp14",0.535969544050803,0.0814952527378782,0.0249707728051192,0.0434039267615849,42,"Car1"
"Sema4d",0.526246677871519,0.081494397857383,0.0249699179246241,0.0415197366297518,43,"Car1"
"Mfng",0.521936500774124,0.0814685981444033,0.0249441182116443,0.0416626678609436,44,"Car1"
"Ccl9",0.531314010481784,0.081407632663699,0.02488315273094,0.0328235127201907,45,"Car1"
"Ccl6",0.531974089467713,0.0813725483635136,0.0248480684307546,0.0328792446583446,46,"Car1"
"Anxa1",0.529950592394503,0.0812128853815495,0.0246884054487905,0.040009142579795,47,"Car1"
"Ceacam1",0.541885520073523,0.0811845763622596,0.0246600964295006,0.0363137197044677,48,"Car1"
"Thbs2",0.523176244608009,0.0811198279389998,0.0245953480062409,0.0425173743032933,49,"Car1"
"Lfng",0.516654523476372,0.081086725431409,0.0245622454986501,0.0371012670896437,50,"Car1"
"Cd59a",0.533792670204754,0.0810841553850917,0.0245596754523328,0.0388010490082503,51,"Car1"
"Qrfp",0.54072360305015,0.0810831707004947,0.0245586907677357,0.0445708573038035,52,"Car1"
"Cd59b",0.533822890189686,0.0810827838162075,0.0245583038834485,0.0387962304725577,53,"Car1"
"Pomc",0.536299480050668,0.0810405692556367,0.0245160893228777,0.0402029091278519,54,"Car1"
"S100a8",0.540043756882286,0.080909044786702,0.0243845648539431,0.0446515116530518,55,"Car1"
"Jam3",0.542168884178803,0.0808634256810696,0.0243389457483107,0.043054937317106,56,"Car1"
"Alox5ap",0.526331542212764,0.0807830960830909,0.0242586161503319,0.0329147577097189,57,"Car1"
"Tcn2",0.522039476407715,0.0807232408908516,0.0241987609580926,0.0454804553915084,58,"Car1"
"Cxcl12",0.526762383984231,0.0806491194851815,0.0241246395524225,0.0483403898191606,59,"Car1"
"Apoc1",0.534216888417882,0.0806182299682372,0.0240937500354782,0.0378637713045051,60,"Car1"
"Rspo3",0.545418567489923,0.0805608721542728,0.0240363922215139,0.0472167107514352,61,"Car1"
"Npnt",0.528325750738938,0.0804463774724982,0.0239218975397393,0.0447064919731697,62,"Car1"
"Ccl4",0.50946558233497,0.0803758731944794,0.0238513932617204,0.0506272687277617,63,"Car1"
"Ccl5",0.53074376350585,0.0802028690986293,0.0236783891658703,0.0307941998175925,64,"Car1"
"Nrp1",0.519703119695982,0.0801628495934217,0.0236383696606627,0.0362091932717359,65,"Car1"
"Matn1",0.551455216466165,0.0801181600305088,0.0235936800977498,0.046128988392013,66,"Car1"
"Col11a2",0.53156850001242,0.0801029896648353,0.0235785097320763,0.0304464163011192,67,"Car1"
"Retn",0.530905316233514,0.0800688145166537,0.0235443345838947,0.040101352301702,68,"Car1"
"Osm",0.510314432733627,0.0800066427728553,0.0234821628400963,0.0714786365653065,69,"Car1"
"Col3a1",0.528079851135521,0.0798984645199256,0.0233739845871667,0.036821684096781,70,"Car1"
"Fgf3",0.527297029334085,0.0797960876915154,0.0232716077587564,0.0356921334272156,71,"Car1"
"Cfh",0.527191259386824,0.0797676914361416,0.0232432115033827,0.0379024383249112,72,"Car1"
"Wnt10b",0.517804849272647,0.079766205981434,0.023241726048675,0.0625875535391237,73,"Car1"
"Gpc3",0.530959236138132,0.0797506826997924,0.0232262027670334,0.0374668125084315,74,"Car1"
"Fasl",0.527975323105452,0.0796553883340585,0.0231309084012995,0.031415415553111,75,"Car1"
"Cd80",0.518811733633603,0.079597801022064,0.023073321089305,0.0413424520258822,76,"Car1"
"Efnb1",0.530530774707944,0.0794315630322984,0.0229070830995394,0.0368324438546363,77,"Car1"
"Fn1",0.537706158253368,0.0794179513251974,0.0228934713924385,0.0296516918791411,78,"Car1"
"Il15",0.543129403631366,0.079386882587441,0.022862402654682,0.0712902141243939,79,"Car1"
"Ezr",0.525735111482765,0.0793776671884168,0.0228531872556578,0.0281984075030281,80,"Car1"
"Cd14",0.51856955978175,0.0793774087333794,0.0228529288006204,0.0412724197479323,81,"Car1"
"Col6a2",0.524814954338845,0.0793507493663112,0.0228262694335522,0.0333325517553925,82,"Car1"
"Cd72",0.538973017279209,0.0792754092414153,0.0227509293086563,0.041316222873044,83,"Car1"
"Sell",0.53801342926454,0.0792640431927017,0.0227395632599427,0.0275909483196542,84,"Car1"
"Tnfsf9",0.516567485780045,0.079070597279055,0.022546117346296,0.0634894955466481,85,"Car1"
"Vwf",0.523813348125947,0.0790195243007421,0.0224950443679831,0.0342989217620502,86,"Car1"
"Nrg2",0.528611184706203,0.0789358186678542,0.0224113387350952,0.0351074214838279,87,"Car1"
"Pdcd1lg2",0.523539401892682,0.0789163088443331,0.0223918289115742,0.0278543747074378,88,"Car1"
"Eng",0.538844271863948,0.0789041592454161,0.0223796793126571,0.0386229875277018,89,"Car1"
"Serping1",0.532902629552666,0.0787992206650591,0.0222747407323001,0.0377648392830799,90,"Car1"
"Apoa1",0.533959190601175,0.0787215896165828,0.0221971096838238,0.0316035115352554,91,"Car1"
"Hgf",0.495570598852469,0.0787041993578653,0.0221797194251063,0.0711719148953986,92,"Car1"
"Vsig10",0.517526038863726,0.0787013091013538,0.0221768291685948,0.0361805546917648,93,"Car1"
"Btla",0.528613668540581,0.0786998852494078,0.0221754053166488,0.0450814397661464,94,"Car1"
"Cd28",0.512254203889688,0.0786777814160655,0.0221533014833065,0.0492062575887466,95,"Car1"
"C3",0.541395894221772,0.0786526170243691,0.0221281370916101,0.0331045635122608,96,"Car1"
"Neto2",0.526665307457294,0.0786405590645103,0.0221160791317513,0.0330379159438092,97,"Car1"
"Mmp25",0.515909062683698,0.0785902523258033,0.0220657723930444,0.0302125083217409,98,"Car1"
"Ibsp",0.540834030186862,0.0785259664150225,0.0220014864822635,0.0403134066416395,99,"Car1"
"Gdf3",0.52197210240021,0.0784763701154093,0.0219518901826503,0.0353155637576487,100,"Car1"
"Nt5e",0.531819470777693,0.0784756373557895,0.0219511574230305,0.0293176754828798,101,"Car1"
"Bst2",0.530554888600024,0.0784640575201996,0.0219395775874406,0.0377964874447098,102,"Car1"
"H2-K1",0.517213179225206,0.0781930382042319,0.0216685582714729,0.0311104064846929,103,"Car1"
"Col18a1",0.515333434066614,0.0781515635897271,0.0216270836569681,0.0355381312484102,104,"Car1"
"Itga4",0.531567258095226,0.0781342337634292,0.0216097538306702,0.0305338024668782,105,"Car1"
"H2-D1",0.51713752576978,0.0781286335672838,0.0216041536345248,0.0308867273873336,106,"Car1"
"H2-Q4",0.517115171260379,0.0781216370210879,0.0215971570883289,0.0308799991178704,107,"Car1"
"H2-Q6",0.517115171260379,0.0781216370210879,0.0215971570883289,0.0308799991178704,108,"Car1"
"H2-Q7",0.517115171260379,0.0781216370210879,0.0215971570883289,0.0308799991178704,109,"Car1"
"H2-Q10",0.517115171260379,0.0781216370210879,0.0215971570883289,0.0308799991178704,110,"Car1"
"Lpl",0.523904732532437,0.0780929146539878,0.0215684347212288,0.0308633120222466,111,"Car1"
"Cd48",0.535680073852674,0.0779711928163028,0.0214467128835438,0.0318681520640104,112,"Car1"
"Angpt2",0.512597387006231,0.077899443346193,0.021374963413434,0.0283800685994586,113,"Car1"
"Col27a1",0.526694699497437,0.0778882883578511,0.0213638084250922,0.0322671167427125,114,"Car1"
"Layn",0.522953630951885,0.0778595780512006,0.0213350981184416,0.0311176978694989,115,"Car1"
"Ccl2",0.509476345617272,0.0777887023351028,0.0212642224023439,0.028129731425868,116,"Car1"
"Il12a",0.508629151108205,0.077692067575007,0.021167587642248,0.061314657553462,117,"Car1"
"Adam9",0.525167555327407,0.0776877822470041,0.0211633023142451,0.0317693998518841,118,"Car1"
"Efna1",0.53294733857146,0.0776867292965695,0.0211622493638105,0.0363838762031542,119,"Car1"
"Pvr",0.5186315521481,0.0776708316661638,0.0211463517334048,0.0292749804951958,120,"Car1"
"Lamb1",0.510839763704558,0.0776386941100538,0.0211142141772948,0.0382005949821623,121,"Car1"
"Anxa2",0.539158683898956,0.0776286834909061,0.0211042035581472,0.029173519905238,122,"Car1"
"Traf2",0.515129138689025,0.0776232628782767,0.0210987829455177,0.0354399596618541,123,"Car1"
"Cp",0.533890574676483,0.0776020168446246,0.0210775369118656,0.0321170674153928,124,"Car1"
"Fgf22",0.519011475314825,0.0775985012059548,0.0210740212731958,0.0294000862406978,125,"Car1"
"Lin7c",0.529642803917828,0.0775897625005443,0.0210652825677854,0.0315266759276122,126,"Car1"
"Tnfrsf14",0.523778884923946,0.0775804626616503,0.0210559827288913,0.0332078322358064,127,"Car1"
"Wnt6",0.508837586209754,0.0775487737640725,0.0210242938313135,0.060625105941454,128,"Car1"
"Efnb3",0.526673793891423,0.0775430079037489,0.0210185279709899,0.033546392738467,129,"Car1"
"Cd300c2",0.521956578435349,0.0775376618797084,0.0210131819469494,0.0328380360911436,130,"Car1"
"Nrtn",0.510838935759762,0.0775245853425095,0.0210001054097505,0.0274029715873575,131,"Car1"
"Pros1",0.524721500070375,0.0775177594867945,0.0209932795540355,0.0267436765493368,132,"Car1"
"Copa",0.528365285102787,0.0775131037879772,0.0209886238552182,0.0374276526896497,133,"Car1"
"Gnas",0.519991554963113,0.0774928194545003,0.0209683395217413,0.0175609580837726,134,"Car1"
"Jag1",0.505480684047986,0.0774307589385709,0.0209062790058119,0.0357205331361267,135,"Car1"
"Gas6",0.527034156862421,0.0773786684904976,0.0208541885577386,0.0374207078965816,136,"Car1"
"Reck",0.547141520603408,0.0772731575389046,0.0207486776061456,0.0422159480859333,137,"Car1"
"Lrfn1",0.52685739064919,0.0772227746551283,0.0206982947223693,0.0311471583127663,138,"Car1"
"Col14a1",0.526746032074578,0.0772118830929297,0.0206874031601707,0.0316952745162786,139,"Car1"
"Lefty1",0.528915661403698,0.0772059165941685,0.0206814366614095,0.0373842871018109,140,"Car1"
"Mdk",0.504431264023317,0.0771908745256379,0.0206663945928789,0.0239455997140263,141,"Car1"
"Fcnb",0.5232783922968,0.0770884842513316,0.0205640043185727,0.0310731097732701,142,"Car1"
"Calm3",0.529227796590527,0.0770819152098111,0.0205574352770521,0.0283401339115838,143,"Car1"
"Tnfsf12",0.518162417929975,0.0770374849745323,0.0205130050417733,0.057821879509968,144,"Car1"
"Prnp",0.530202391104558,0.077014076031804,0.020489596099045,0.0134308982326858,145,"Car1"
"Calm1",0.527347637459538,0.0769953150373283,0.0204708351045694,0.0266840388428872,146,"Car1"
"Cxcl16",0.528455220605889,0.0769751221690788,0.0204506422363198,0.0234816950276047,147,"Car1"
"Itgb1",0.520095669020787,0.0769679789750962,0.0204434990423372,0.0198786868529874,148,"Car1"
"F10",0.51820309071791,0.0769379869899132,0.0204135070571543,0.020538360768775,149,"Car1"
"Il18bp",0.513760545946792,0.076935741629186,0.020411261696427,0.0280204232765668,150,"Car1"
"Lrfn4",0.525772058519144,0.0768942547463207,0.0203697748135617,0.0316513887516277,151,"Car1"
"Rps19",0.530286634487211,0.076880313558978,0.020355833626219,0.0256827011763039,152,"Car1"
"Psen1",0.532240480704741,0.0768576424750022,0.0203331625422432,0.0360321047878388,153,"Car1"
"Ctsg",0.517489816279047,0.0768484124273234,0.0203239324945644,0.0270911254743936,154,"Car1"
"Cd7",0.521991869582133,0.076839279169803,0.020314799237044,0.0209046182500397,155,"Car1"
"Sirpa",0.512519974168126,0.0768390310029671,0.0203145510702081,0.0272262416022653,156,"Car1"
"Mmp9",0.518849715600963,0.0768296957902651,0.0203052158575061,0.0212990960684835,157,"Car1"
"Calm2",0.529139413483909,0.0768185536945641,0.0202940737618051,0.0192844211285037,158,"Car1"
"Sparc",0.521430626505826,0.0767837694296377,0.0202592894968787,0.0293660389687057,159,"Car1"
"Ccl24",0.51903196694844,0.0767835646899786,0.0202590847572197,0.0287589374502472,160,"Car1"
"Angptl4",0.536955315819541,0.0767743809303731,0.0202499009976142,0.0423713592679334,161,"Car1"
"Sema6b",0.529702105463606,0.0767565965104004,0.0202321165776414,0.0330409385856126,162,"Car1"
"Sdc4",0.521932257557069,0.0767317326894546,0.0202072527566956,0.0278445144086039,163,"Car1"
"Cd38",0.521883615800497,0.0766993999010645,0.0201749199683055,0.0326537163267253,164,"Car1"
"Adam10",0.520860172543692,0.0766939864252265,0.0201695064924675,0.0333907404557211,165,"Car1"
"Entpd1",0.535219012096275,0.0766290254908627,0.0201045455581037,0.020737368540285,166,"Car1"
"Col5a1",0.529937034798513,0.0765910396248698,0.0200665596921108,0.0274122495180372,167,"Car1"
"Apoe",0.520577222410813,0.0765650904627757,0.0200406105300167,0.018679803934042,168,"Car1"
"Tnfsf14",0.52309738286651,0.0765578150093015,0.0200333350765426,0.0391705884311935,169,"Car1"
"Kng1",0.513232524155297,0.0764786409064253,0.0199541609736663,0.0309755589393431,170,"Car1"
"Lyz2",0.526716950513738,0.0764653649881923,0.0199408850554333,0.0319873411834576,171,"Car1"
"Lyz1",0.526716950513738,0.0764653649881923,0.0199408850554333,0.0319873411834576,172,"Car1"
"Cd209a",0.528862879923166,0.0763963243879387,0.0198718444551797,0.0329729966446454,173,"Car1"
"Nrg1",0.514183004777241,0.0763706594320768,0.0198461794993179,0.042244534463816,174,"Car1"
"C1qb",0.525841709374818,0.0763698829983322,0.0198454030655732,0.0284813010044891,175,"Car1"
