"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Cd33",0.643704989327105,0.0420405569540345,0.0377143901999705,0.084859191006635,1,"Cd74"
"Jaml",0.596670457039101,0.0396994092173666,0.0353732424633026,0.0761745089916903,2,"Cd74"
"Wnt4",0.619247112334673,0.0396414955222641,0.0353153287682001,0.052198378349698,3,"Cd74"
"Clec2i",0.602461747162196,0.0391611116847156,0.0348349449306517,0.0293419686261182,4,"Cd74"
"Gm1123",0.578087657350312,0.0391379222946531,0.0348117555405892,0.0901717050328198,5,"Cd74"
"Clec2d",0.60691443732918,0.0388503914111943,0.0345242246571303,0.0285593284844526,6,"Cd74"
"Pltp",0.564017395814608,0.0382809957176721,0.0339548289636081,0.0376217004025662,7,"Cd74"
"Il4",0.737466834241067,0.0241843131445564,0.0198581463904924,0.113120544279265,8,"Cd74"
"Ltf",0.63254932471525,0.0222852967273423,0.0179591299732783,0.0218979714484576,9,"Cd74"
"Csf1",0.626339098689318,0.0219083048705219,0.017582138116458,0.0778732492736013,10,"Cd74"
"Tnfsf9",0.584988130149415,0.0215749413281584,0.0172487745740944,0.0545142414810376,11,"Cd74"
"Furin",0.59033056037663,0.0203122456530537,0.0159860788989897,0.0328560585440764,12,"Cd74"
"Tnf",0.685101841323043,0.0176661826330892,0.0133400158790252,0.0796094324571581,13,"Cd74"
"Cdh1",0.570339338081262,0.0171702792563949,0.0128441125023309,0.071740063518428,14,"Cd74"
"Apoa1",0.574179583856983,0.0168930478626236,0.0125668811085597,0.0615999201618091,15,"Cd74"
"Bmp7",0.555261635445964,0.0166954499478174,0.0123692831937534,0.0380059396730189,16,"Cd74"
"Camp",0.583314381471044,0.0165433416784621,0.0122171749243981,0.0297857226890712,17,"Cd74"
"Pomc",0.591533504897556,0.0155561770480293,0.0112300102939653,0.0852218828186662,18,"Cd74"
"Calr",0.585584615077696,0.0150020066388489,0.0106758398847849,0.0482273104715057,19,"Cd74"
"Hbegf",0.607710415544502,0.0145970894891773,0.0102709227351133,0.0548371531976671,20,"Cd74"
"Ccl25",0.633461009037052,0.0138027297743252,0.00947656302026126,0.0403853466305189,21,"Cd74"
"Tgfb1",0.639076745067533,0.01380165231758,0.00947548556351606,0.0614272278252034,22,"Cd74"
"Angptl4",0.587485786103299,0.0134530920754015,0.00912692532133753,0.0334523027615215,23,"Cd74"
"Ang",0.622776148582611,0.0131774624221158,0.00885129566805179,0.0324221479394963,24,"Cd74"
"Btla",0.681391266183912,0.0128312456708191,0.00850507891675512,0.0475700110548595,25,"Cd74"
"Tnfsf13b",0.640038302711134,0.0124667506428593,0.00814058388879532,0.0296771473381919,26,"Cd74"
"Pf4",0.601222893849607,0.0123677446689628,0.00804157791489882,0.0402646044067536,27,"Cd74"
"Ccl3",0.620380234205126,0.012346587933385,0.00802042117932102,0.0270204129885081,28,"Cd74"
"Cd24a",0.533937797993105,0.012241849510138,0.00791568275607405,0.0291109268734398,29,"Cd74"
"S100a9",0.562852355018239,0.0121447005090881,0.00781853375502414,0.0532141332833162,30,"Cd74"
"Cxcl12",0.572978634268945,0.0120768996626477,0.00775073290858377,0.0281387973754003,31,"Cd74"
"Ceacam1",0.641931494005228,0.011859758157726,0.00753359140366202,0.0294318805546642,32,"Cd74"
"Tnfrsf14",0.617236220001205,0.0117529639414237,0.00742679718735974,0.0265638099855912,33,"Cd74"
"App",0.599160133261525,0.0117080196650208,0.00738185291095686,0.0282049760546843,34,"Cd74"
"Il1b",0.680483571727853,0.0116978107888473,0.00737164403478336,0.03832355626252,35,"Cd74"
"Cd14",0.634913320166782,0.0116963496483286,0.00737018289426463,0.0264562935193445,36,"Cd74"
"Nrg3",0.611081852095667,0.0116825410292747,0.00735637427521072,0.0315829091243785,37,"Cd74"
"Retn",0.611020009176681,0.0115427070872421,0.00721654033317813,0.0310474780013768,38,"Cd74"
"Adam17",0.631374309254489,0.011496945243171,0.00717077848910702,0.0292506686699888,39,"Cd74"
"Entpd1",0.616051229876132,0.011298750668915,0.00697258391485102,0.0414261111286318,40,"Cd74"
"Selp",0.640026333113901,0.011197345233604,0.00687117847954004,0.0347597263565134,41,"Cd74"
"Alcam",0.57413569533384,0.0111592478641653,0.00683308111010133,0.034603047556167,42,"Cd74"
"Tgfbi",0.641127536058422,0.0110979304383836,0.00677176368431967,0.0283739820954828,43,"Cd74"
"Mmp9",0.628824785045997,0.0110281777856185,0.00670201103155454,0.0230083140556417,44,"Cd74"
"Layn",0.607375266822259,0.0110178560658394,0.00669168931177544,0.0307856395755539,45,"Cd74"
"Il1rn",0.629716520039116,0.011015084171662,0.00668891741759805,0.0294004245407527,46,"Cd74"
"Angptl3",0.623723741696085,0.011006954998431,0.00668078824436707,0.0333646171248215,47,"Cd74"
"Cd22",0.625415444770288,0.0109053217096679,0.00657915495560397,0.0306213743701763,48,"Cd74"
"Cd72",0.612560097352723,0.0108536067121982,0.00652743995813419,0.0307922479994446,49,"Cd74"
"Ezr",0.594240628802843,0.0108135920522415,0.00648742529817753,0.0213780980269679,50,"Cd74"
"Mag",0.617850659325318,0.0107893246576778,0.00646315790361383,0.0331870041539883,51,"Cd74"
"Tyrobp",0.617824725197989,0.0107752603200965,0.00644909356603255,0.0175770203543066,52,"Cd74"
"Col12a1",0.619582261056915,0.010714823372045,0.00638865661798101,0.0238221419112487,53,"Cd74"
"Spon1",0.623697807568771,0.0106869422871612,0.00636077553309727,0.0238348189372781,54,"Cd74"
"Cd48",0.638402457757303,0.0106610238270347,0.0063348570729707,0.0232494835679287,55,"Cd74"
"S100a4",0.594711432960276,0.0106241963031651,0.00629802954910108,0.0294718846919893,56,"Cd74"
"Gpc3",0.593773814511132,0.010538768574818,0.00621260182075406,0.0246960151668745,57,"Cd74"
"Thbs2",0.605410257944812,0.0105055131855977,0.00617934643153369,0.0287395538072119,58,"Cd74"
"Adam12",0.608979192850167,0.0104780655594013,0.00615189880533731,0.025420756909008,59,"Cd74"
"Nlgn2",0.57153430287069,0.0104226517069777,0.00609648495291373,0.0243689782119259,60,"Cd74"
"Cd79b",0.617351926107685,0.0104113397729329,0.0060851730188689,0.0279738904860145,61,"Cd74"
"C3",0.602794900951569,0.0103905320849942,0.00606436533093026,0.0211001492195962,62,"Cd74"
"Cd300c2",0.613148602549542,0.0103856588666145,0.00605949211255048,0.0261643219534548,63,"Cd74"
"Nrg2",0.598579607796186,0.0103693761334273,0.00604320937936333,0.018593653963235,64,"Cd74"
"Cd209a",0.619721906357841,0.0103487364308209,0.00602256967675697,0.025073807884639,65,"Cd74"
"Cd300c",0.610611047938253,0.0103200211252104,0.00599385437114642,0.0257463354052899,66,"Cd74"
"Orm1",0.582835597582131,0.0102833216404989,0.0059571548864349,0.0282490349854495,67,"Cd74"
"Pecam1",0.595862509226545,0.0102724627686451,0.00594629601458114,0.020801665370267,68,"Cd74"
"Bgn",0.615117601292718,0.010264707362373,0.00593854060830901,0.018606189450328,69,"Cd74"
"Prnp",0.585963652323095,0.0102287774814995,0.00590261072743556,0.020073138970013,70,"Cd74"
"Qrfp",0.611620483970712,0.0101808585226649,0.00585469176860091,0.0275417866328711,71,"Cd74"
"C1qb",0.608259022083911,0.0101362993066803,0.00581013255261636,0.0241626948863932,72,"Cd74"
"C1qa",0.603042272627516,0.0101326805985827,0.00580651384451868,0.0192753853322685,73,"Cd74"
"Ncam1",0.603955951882203,0.010107646943871,0.00578148018980698,0.0242031393080595,74,"Cd74"
"Lama4",0.597881381291517,0.0100944819275042,0.00576831517344023,0.0284187289136221,75,"Cd74"
"Sirpb1a",0.614243820695424,0.0100813482583299,0.00575518150426595,0.0298170983316396,76,"Cd74"
"Nrp1",0.599672831009221,0.0100501355097068,0.00572396875564284,0.0166979764845972,77,"Cd74"
"Fgf22",0.602377959981638,0.0100250784560119,0.00569891170194792,0.0237958392201655,78,"Cd74"
"Selplg",0.590713587487766,0.0100179913114021,0.0056918245573381,0.0145752156745828,79,"Cd74"
"H2-M3",0.607500947593101,0.0100111687433512,0.0056850019892872,0.0085425742180691,80,"Cd74"
"Cd86",0.604793823687825,0.0100093211274749,0.00568315437341096,0.0195172907842752,81,"Cd74"
"Gm9733",0.611141700081784,0.0100025413460217,0.00567637459195777,0.0272999737070679,82,"Cd74"
"Sirpb1b",0.611141700081784,0.0100025413460217,0.00567637459195777,0.0272999737070679,83,"Cd74"
"Sirpb1c",0.611141700081784,0.0100025413460217,0.00567637459195777,0.0272999737070679,84,"Cd74"
"Gm5150",0.611141700081784,0.0100025413460217,0.00567637459195777,0.0272999737070679,85,"Cd74"
"Osm",0.569305962854336,0.0100015663942289,0.00567539964016492,0.0438791197362243,86,"Cd74"
"Lpl",0.596943762842363,0.00999801967181677,0.0056718529177528,0.0192310164318539,87,"Cd74"
"Fgf3",0.608143315977406,0.00999422910311006,0.00566806234904609,0.0246434260953315,88,"Cd74"
"Angpt2",0.567582340854217,0.00998958604233117,0.0056634192882672,0.0147766379318601,89,"Cd74"
"Tcn2",0.579506054621254,0.0099410579467078,0.00561489119264382,0.0276492390375332,90,"Cd74"
"Cd38",0.617756897480429,0.00991309924822543,0.00558693249416145,0.0277392708560428,91,"Cd74"
"Ccl4",0.604311049933163,0.00991184448093318,0.0055856777268692,0.0144075578093792,92,"Cd74"
"Agrn",0.583033095936305,0.00990491767716311,0.00557875092309914,0.0187443274262216,93,"Cd74"
"Flt3l",0.586779579867138,0.00987765082387034,0.00555148406980637,0.0150484724132718,94,"Cd74"
"Copa",0.578566441239239,0.00987580377562713,0.00554963702156315,0.0138800308333947,95,"Cd74"
"Vwf",0.612340654736964,0.0098298731626481,0.00550370640858412,0.0143163364843682,96,"Cd74"
"H2-T23",0.605122987611459,0.00980196584718356,0.00547579909311958,0.0203854828577255,97,"Cd74"
"H2-T24",0.604831727412366,0.00978177779672927,0.00545561104266529,0.0204173987937984,98,"Cd74"
"H2-T22",0.604831727412366,0.00978177779672927,0.00545561104266529,0.0204173987937984,99,"Cd74"
"Psen1",0.60383825084284,0.00976645259444688,0.00544028584038291,0.0163303611781245,100,"Cd74"
"Ibsp",0.617050691244253,0.00976557610747679,0.00543940935341281,0.0282250509827928,101,"Cd74"
"Erfe",0.581943862589027,0.00975794646395015,0.00543177970988618,0.0192523458551873,102,"Cd74"
"Cp",0.586209029066162,0.0097207552773567,0.00539458852329273,0.018680476805665,103,"Cd74"
"Tgm2",0.575286771600121,0.00971878678616018,0.0053926200320962,0.020681917128063,104,"Cd74"
"H2-DMb1",0.624787040916069,0.00970605805634284,0.00537989130227887,0.0233967960127324,105,"Cd74"
"H2-DMb2",0.624787040916069,0.00970605805634284,0.00537989130227887,0.0233967960127324,106,"Cd74"
"Cd80",0.603826281245632,0.00967554804187209,0.00534938128780812,0.02256379443684,107,"Cd74"
"Alox5ap",0.598054940451235,0.00965919079473821,0.00533302404067423,0.021682269265817,108,"Cd74"
"Serping1",0.603748478863683,0.00965079867001998,0.00532463191595601,0.0237042851112985,109,"Cd74"
"Sema4c",0.563923633969713,0.00962803385389979,0.00530186709983582,0.0199867372797945,110,"Cd74"
"Ccl6",0.604317034731762,0.00962722976791575,0.00530106301385178,0.010742710570927,111,"Cd74"
"Fasl",0.605599776567521,0.00962698124958853,0.00530081449552456,0.0149463331407223,112,"Cd74"
"Zdhhc5",0.599658866479134,0.0096192195673896,0.00529305281332563,0.0196586511920735,113,"Cd74"
"Ccl9",0.604712031440125,0.00961714882481162,0.00529098207074764,0.0107323354317354,114,"Cd74"
