"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Psap",0.558249273315868,0.0454173291820137,0.0422689196716457,0.0828673561900507,1,"Fcnb"
"Cd59a",0.618179121068979,0.0435895565339841,0.040441147023616,0.0513719638000797,2,"Fcnb"
"Cd59b",0.618134055385746,0.0435892333318659,0.0404408238214979,0.0513787317990285,3,"Fcnb"
"Cxcl12",0.591064601656932,0.0193508603928432,0.0162024508824752,0.0370482205865007,4,"Fcnb"
"Sema4c",0.584811738108308,0.017515384838645,0.0143669753282769,0.0382821939879394,5,"Fcnb"
"Egf",0.587006812429116,0.0169952119767581,0.01384680246639,0.0560508556632049,6,"Fcnb"
"Psen1",0.592549891466821,0.016515110392909,0.013366700882541,0.0748505754186064,7,"Fcnb"
"Npnt",0.631092317052115,0.0153875700656004,0.0122391605552323,0.0465408670585553,8,"Fcnb"
"Spp1",0.588856383178512,0.0153535370115194,0.0122051275011513,0.0620353554992686,9,"Fcnb"
"Tgm2",0.669026355913795,0.0151576475176531,0.012009238007285,0.0415801426377129,10,"Fcnb"
"Lgals3bp",0.628181825009966,0.0150618159132601,0.011913406402892,0.056774929499431,11,"Fcnb"
"Tgfb1",0.692777848714559,0.0143883141769648,0.0112399046665967,0.0718977377625569,12,"Fcnb"
"Alox5ap",0.61036210276481,0.0143697269274556,0.0112213174170876,0.0361470374241328,13,"Fcnb"
"Cfh",0.569185212447141,0.0136724394906138,0.0105240299802458,0.0283820189686559,14,"Fcnb"
"Hp",0.592850329355051,0.0132718560310867,0.0101234465207187,0.0353649532584253,15,"Fcnb"
"Gdf3",0.61907855699685,0.0130913546947077,0.00994294518433967,0.0330193357353052,16,"Fcnb"
"Angptl6",0.601256957014886,0.0130552709128226,0.00990686140245453,0.0365230199162744,17,"Fcnb"
"Mmp9",0.597274277259125,0.0129335285782585,0.0097851190678905,0.0591784189730975,18,"Fcnb"
"Gpc3",0.595381518563323,0.0125380227063417,0.00938961319597365,0.0352322037307545,19,"Fcnb"
"Col18a1",0.605269680559434,0.0123699778937332,0.00922156838336519,0.0348413949974383,20,"Fcnb"
"Nlgn2",0.627736801388049,0.012350760200134,0.00920235068976595,0.0354821333836632,21,"Fcnb"
"Nucb2",0.541385319102586,0.012271136862185,0.009122727351817,0.0221284944253816,22,"Fcnb"
"Ibsp",0.632074373399262,0.0121626638487007,0.00901425433833266,0.0423015917805529,23,"Fcnb"
"Cdh1",0.584342303907981,0.0121393580354529,0.00899094852508485,0.0534011766532739,24,"Fcnb"
"Gm1123",0.565835329993491,0.0117810109399401,0.00863260142957209,0.0209984466344438,25,"Fcnb"
"Ctsg",0.611576998475312,0.0117560410271038,0.00860763151673578,0.0335009144444624,26,"Fcnb"
"Ncam1",0.649159900555108,0.0117160220154086,0.00856761250504053,0.0405728880042253,27,"Fcnb"
"Siglec1",0.564843884962343,0.0117119563787485,0.00856354686838047,0.0311252236385837,28,"Fcnb"
"Mfge8",0.573363176830245,0.0114115784396665,0.00826316892929847,0.0286690716067549,29,"Fcnb"
"Car12",0.592850329355038,0.0113928729460103,0.00824446343564225,0.0330514725829696,30,"Fcnb"
"Gp5",0.598650658334537,0.011302194336217,0.00815378482584894,0.0338082745415586,31,"Fcnb"
"Zdhhc5",0.61357303269516,0.0111782552661964,0.00802984575582833,0.0366988125423275,32,"Fcnb"
"Cd226",0.568505471725046,0.011161070017847,0.008012660507479,0.0273938036846795,33,"Fcnb"
"Gstp1",0.575986375141797,0.0111465297349377,0.00799812022456963,0.0314843247830094,34,"Fcnb"
"Ctsd",0.596801087585175,0.0111284676907669,0.00798005818039885,0.0315346562181164,35,"Fcnb"
"F11r",0.616793351309569,0.01111576612097,0.00796735661060198,0.0298364396024652,36,"Fcnb"
"Sema6d",0.561317495249333,0.011094705722545,0.00794629621217699,0.0297911239468777,37,"Fcnb"
"Ltbp1",0.600552805714356,0.0110219911087171,0.00787358159834902,0.0310027078600547,38,"Fcnb"
"Efna2",0.60676999226374,0.0109130001305129,0.00776459062014489,0.032562429287255,39,"Fcnb"
"Furin",0.576025807614588,0.0108932047497744,0.00774479523940632,0.0217293113236122,40,"Fcnb"
"Apoc1",0.601814644844884,0.0108608896516632,0.00771248014129521,0.0339115548208024,41,"Fcnb"
"Col3a1",0.585771261613819,0.0108409167863614,0.00769250727599334,0.0296182620890477,42,"Fcnb"
"Efnb3",0.626657102727268,0.0108228731236976,0.00767446361332956,0.0378065227917848,43,"Fcnb"
"Jaml",0.582008277063835,0.0107877080246131,0.00763929851424505,0.0257073367639451,44,"Fcnb"
"Il4",0.650633923944173,0.0107747498853689,0.00762634037500082,0.0628899007195865,45,"Fcnb"
"Col6a2",0.579071496706464,0.0107432026487181,0.00759479313835005,0.0284313423889797,46,"Fcnb"
"Angptl3",0.655666258571905,0.0106855714542025,0.00753716194383441,0.0430863015896575,47,"Fcnb"
"Tnfsf10",0.596908118582842,0.0106725818916345,0.00752417238126645,0.0511242287378514,48,"Fcnb"
"H2-DMa",0.637472866703272,0.0106554589085751,0.00750704939820706,0.0347917043142915,49,"Fcnb"
"Enpp1",0.596883708004439,0.0106407126659183,0.00749230315555023,0.0295851320752664,50,"Fcnb"
"Ceacam10",0.60931244789284,0.0106376420766891,0.00748923256632103,0.0333774654599575,51,"Fcnb"
"Ggt1",0.619138644574496,0.0106319726823459,0.00748356317197789,0.0350434019401958,52,"Fcnb"
"Ltbp3",0.464895710498065,0.0105934246416774,0.00744501513130934,0.0106402174192959,53,"Fcnb"
"Cd55",0.610790226755517,0.0105515397749714,0.00740313026460336,0.0266093540781315,54,"Fcnb"
"Col11a2",0.635874912685289,0.0105277551816511,0.00737934567128303,0.0325612960323947,55,"Fcnb"
"Pvr",0.577696993367819,0.0105081909941255,0.0073597814837575,0.0286606371687133,56,"Fcnb"
"Mpdz",0.633779358414914,0.0104679682927852,0.00731955878241714,0.0383950856968023,57,"Fcnb"
"Znrf3",0.590443070775643,0.0104590494700616,0.00731063995969352,0.0311927322638224,58,"Fcnb"
"Bmp1",0.619057901892047,0.0104334448156291,0.00728503530526104,0.0341826259980482,59,"Fcnb"
"Eng",0.648731776564389,0.0104082072960511,0.00725979778568303,0.0358774394109804,60,"Fcnb"
"Lyz2",0.581974477801406,0.0103853255791051,0.00723691606873708,0.0328818820993542,61,"Fcnb"
"Lyz1",0.581974477801406,0.0103853255791051,0.00723691606873708,0.0328818820993542,62,"Fcnb"
"Cd14",0.598406552550347,0.0103688156050219,0.00722040609465382,0.0279693486871377,63,"Fcnb"
"Il1rn",0.635741593372366,0.0103645826443525,0.00721617313398447,0.0358993317353685,64,"Fcnb"
"S100a8",0.57467571485441,0.0103438324918361,0.00719542298146802,0.0296030398079923,65,"Fcnb"
"Cd38",0.621906428619744,0.0103415040071684,0.00719309449680032,0.0390217793291573,66,"Fcnb"
"Neto2",0.615875138013692,0.0103200473104019,0.00717163780003389,0.0338499114863571,67,"Fcnb"
"Tctn1",0.602111327259483,0.0103046343382551,0.00715622482788705,0.0317408436731399,68,"Fcnb"
"Lrfn4",0.609359391312848,0.0102904552844764,0.00714204577410841,0.0345988881623235,69,"Fcnb"
"Ptdss1",0.549356311824495,0.0102035972091039,0.00705518769873586,0.0212652985009858,70,"Fcnb"
"Anxa1",0.579411367067517,0.0101772508630142,0.00702884135264617,0.0319618710943772,71,"Fcnb"
"Gp1ba",0.592679455306123,0.0101595094522589,0.00701109994189083,0.0293970428069465,72,"Fcnb"
"Hsp90b1",0.584143263807021,0.0101386950837523,0.00699028557338429,0.0259699676242272,73,"Fcnb"
"Adam15",0.60032747729818,0.0101281557902258,0.0069797462798578,0.0313038906948017,74,"Fcnb"
"Igfbp4",0.573826977820185,0.0101147869713771,0.00696637746100907,0.0275530425541426,75,"Fcnb"
"Nampt",0.599268433742206,0.0101063067431242,0.00695789723275615,0.0291558064444246,76,"Fcnb"
"Layn",0.607029119942344,0.0101055239806961,0.00695711447032806,0.0333032021642862,77,"Fcnb"
"Col27a1",0.595781476502019,0.0100897874336304,0.00694137792326233,0.0310745719752979,78,"Fcnb"
"Igf1",0.590754775084687,0.0100802826733792,0.00693187316301114,0.0176828860349666,79,"Fcnb"
"Sdc4",0.606659205792465,0.0100722021290915,0.00692379261872349,0.0341289282369163,80,"Fcnb"
"Cd47",0.577710137525477,0.0100492544256938,0.00690084491532578,0.0235848203731381,81,"Fcnb"
"AU040320",0.585378814622308,0.0100050375803799,0.00685662807001187,0.0296278874237145,82,"Fcnb"
"Agrn",0.608978210742192,0.00997246672578883,0.0068240572154208,0.0269416124005006,83,"Fcnb"
"Efna1",0.608135106918365,0.0099679969622696,0.00681958745190156,0.0327854521536595,84,"Fcnb"
"Podxl",0.590848661924773,0.00996331914156958,0.00681490963120154,0.0316782653523975,85,"Fcnb"
"Pros1",0.593024958877576,0.00994830802284571,0.00679989851247768,0.0287265153410649,86,"Fcnb"
"Apoa1",0.627725534967268,0.00992440398149768,0.00677599447112964,0.0325548739259724,87,"Fcnb"
"Matn1",0.588736208023224,0.00990012683334805,0.00675171732298001,0.0283295172478149,88,"Fcnb"
"Pomc",0.621908306356539,0.00989016219938841,0.00674175268902037,0.0213989799378254,89,"Fcnb"
"Cib1",0.563976370560082,0.00981027341253263,0.0066618639021646,0.0261965599744792,90,"Fcnb"
"H2-Aa",0.538824086105495,0.00980043590640427,0.00665202639603623,0.0209692300129021,91,"Fcnb"
"Fcnb",0.626968807036267,0.00979548577817287,0.00664707626780483,0.0361598887657099,92,"Fcnb"
"Mmp14",0.616205619690724,0.0097667607999818,0.00661835128961376,0.033274801553213,93,"Fcnb"
