"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Pf4",0.561290953509139,0.0530641459295743,0.035397031558255,0.0797289750599938,1,"Gstm1_CD63"
"Ccl9",0.555068431139545,0.0407124395418232,0.0230453251705039,0.0716229949911066,2,"Gstm1_CD63"
"Ccl6",0.555644738687266,0.0405495837938459,0.0228824694225265,0.0716194326908693,3,"Gstm1_CD63"
"Tgfb1",0.608174525853265,0.0387821051823155,0.0211149908109962,0.0937240470170767,4,"Gstm1_CD63"
"Gdf11",0.546244836604204,0.0375098282383297,0.0198427138670103,0.0505325088178072,5,"Gstm1_CD63"
"Mcam",0.546257137725819,0.0359151491381373,0.018248034766818,0.0665353295970001,6,"Gstm1_CD63"
"Mmp14",0.550929718771764,0.0340243690543215,0.0163572546830022,0.0440532330448733,7,"Gstm1_CD63"
"Il2",0.528034563691521,0.0339440506927025,0.0162769363213831,0.0305435161588097,8,"Gstm1_CD63"
"Ltbp1",0.53748766812558,0.0339439859183386,0.0162768715470192,0.0476195953795597,9,"Gstm1_CD63"
"Bmp7",0.540108422085933,0.0337453779093723,0.016078263538053,0.0564308205099814,10,"Gstm1_CD63"
"Col18a1",0.536892293839341,0.0336308023726749,0.0159636880013555,0.0478224880880728,11,"Gstm1_CD63"
"Clec2i",0.534631962742362,0.0334097095811392,0.0157425952098198,0.0256349875497477,12,"Gstm1_CD63"
"S100a4",0.55356615666215,0.0333769864678465,0.0157098720965271,0.0450313502746972,13,"Gstm1_CD63"
"Prnp",0.553753748766821,0.0333137563344668,0.0156466419631475,0.0303628622893102,14,"Gstm1_CD63"
"Clec2d",0.536493122442902,0.0331515109401655,0.0154843965688461,0.025293087078252,15,"Gstm1_CD63"
"St6gal1",0.549245080166401,0.0327476709261298,0.0150805565548104,0.0185935748769122,16,"Gstm1_CD63"
"Lcn2",0.501459528079773,0.0324817747096726,0.0148146603383532,0.0417670634228394,17,"Gstm1_CD63"
