"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Il2",0.603675006012453,0.04106187722333,0.0339837050572011,0.0465492959218422,1,"Gstm1_Ly86"
"Clec2i",0.591139008281782,0.0361321633556709,0.0290539911895421,0.0397394496658374,2,"Gstm1_Ly86"
"Sema5a",0.577737369190272,0.0356868088669041,0.0286086367007752,0.0559359748561883,3,"Gstm1_Ly86"
"Clec2d",0.58770265103632,0.0355717013358869,0.028493529169758,0.0390415535613699,4,"Gstm1_Ly86"
"Il12a",0.582621343956386,0.0342606621519974,0.0271824899858685,0.039021340065154,5,"Gstm1_Ly86"
"Icam1",0.582454844816632,0.0337510016896317,0.0266728295235029,0.0662644508366959,6,"Gstm1_Ly86"
"Bmp7",0.583880879115451,0.0326466861520592,0.0255685139859303,0.0628431478322844,7,"Gstm1_Ly86"
"Psap",0.571916065933676,0.0302003810749708,0.0231222089088419,0.06664211155466,8,"Gstm1_Ly86"
"Gdf11",0.565721681271295,0.029339800371829,0.0222616282057002,0.0415842294978898,9,"Gstm1_Ly86"
"Apoa1",0.624371003249803,0.0255123063648344,0.0184341341987056,0.0693149383692113,10,"Gstm1_Ly86"
"Ccl3",0.665963413355704,0.0250450200186271,0.0179668478524982,0.0772903491922805,11,"Gstm1_Ly86"
"Apoe",0.598659219427336,0.0242991584847671,0.0172209863186383,0.0600645420502928,12,"Gstm1_Ly86"
"Il4",0.605440976054929,0.0232529610291602,0.0161747888630313,0.0638981706606661,13,"Gstm1_Ly86"
"Ccl2",0.575631463404094,0.0232323075242927,0.0161541353581639,0.0584346693128166,14,"Gstm1_Ly86"
"Plxna1",0.60413442030548,0.0232228537848533,0.0161446816187244,0.055082705220025,15,"Gstm1_Ly86"
"Cfh",0.624196795816537,0.0229513532424159,0.0158731810762871,0.0545582823450253,16,"Gstm1_Ly86"
"Gp1ba",0.591047279589036,0.0229416667173693,0.0158634945512404,0.0452766880436277,17,"Gstm1_Ly86"
"Ltbp1",0.581668598878907,0.0226541126718649,0.015575940505736,0.046141158785682,18,"Gstm1_Ly86"
"Col6a2",0.608831083539403,0.0224618612830991,0.0153836891169702,0.0495884839379743,19,"Gstm1_Ly86"
"Wnt10b",0.571011112275915,0.0222413943448211,0.0151632221786923,0.0588815532144191,20,"Gstm1_Ly86"
"Pvr",0.619388362326797,0.0221178806154207,0.0150397084492918,0.0510048691645676,21,"Gstm1_Ly86"
"Traf2",0.576553375307548,0.0220325312116925,0.0149543590455636,0.0685034698582403,22,"Gstm1_Ly86"
"Apoc1",0.6154355494163,0.0220145129753167,0.0149363408091878,0.0497989327913732,23,"Gstm1_Ly86"
"Kitl",0.612883333436105,0.0219824406221327,0.0149042684560039,0.0659164929442303,24,"Gstm1_Ly86"
"Hp",0.610029723179727,0.0219489909101909,0.0148708187440621,0.05011522998628,25,"Gstm1_Ly86"
"Il1rn",0.614108181274373,0.0218311254295052,0.0147529532633764,0.049459352270474,26,"Gstm1_Ly86"
"Zdhhc5",0.61360097556164,0.0218110037520574,0.0147328315859285,0.0463995521144461,27,"Gstm1_Ly86"
"S100a8",0.599284362030786,0.0217259079193819,0.014647735753253,0.0427412600070517,28,"Gstm1_Ly86"
"Retn",0.628894229879817,0.0216854372225945,0.0146072650564656,0.048778950030275,29,"Gstm1_Ly86"
"Efna1",0.619986525902929,0.0216718254378901,0.0145936532717612,0.0490682438913012,30,"Gstm1_Ly86"
"Mpdz",0.634464242768084,0.0215833903133592,0.0145052181472303,0.0528863439868197,31,"Gstm1_Ly86"
"Col3a1",0.608752458945613,0.021539136909315,0.0144609647431861,0.0486188100129838,32,"Gstm1_Ly86"
"Cd14",0.591609214185712,0.0215227291301026,0.0144445569639738,0.0416973498170779,33,"Gstm1_Ly86"
"Col11a2",0.616689688769952,0.021505578694151,0.0144274065280222,0.0412173478993676,34,"Gstm1_Ly86"
"Apoa2",0.598739385679823,0.021412259102,0.0143340869358711,0.045511668532517,35,"Gstm1_Ly86"
"Thbs1",0.588071107465928,0.0213737373598245,0.0142955651936956,0.0363852661132435,36,"Gstm1_Ly86"
"Siglece",0.567012049604405,0.0213642344635019,0.014286062297373,0.037749987837842,37,"Gstm1_Ly86"
"Col12a1",0.609110123764319,0.0213625468074759,0.014284374641347,0.04373644404133,38,"Gstm1_Ly86"
"Ccl4",0.584539167380953,0.0212833802845959,0.014205208118467,0.0328063076966027,39,"Gstm1_Ly86"
"Layn",0.587095237507945,0.0212694948282182,0.0141913226620893,0.0457766995756827,40,"Gstm1_Ly86"
"Crlf1",0.620875292144328,0.0210883967210648,0.014010224554936,0.0480626351244032,41,"Gstm1_Ly86"
"Lgals3bp",0.611407195229496,0.0210259886390231,0.0139478164728943,0.0534452249191721,42,"Gstm1_Ly86"
"Fcnb",0.593681203480428,0.0209977050411783,0.0139195328750495,0.0461874590261636,43,"Gstm1_Ly86"
"Lgals3",0.588454980482563,0.0209049692658185,0.0138267970996896,0.0670163246628644,44,"Gstm1_Ly86"
"Gpc3",0.595057904700832,0.020903690404553,0.0138255182384241,0.0442218314039225,45,"Gstm1_Ly86"
"Efna2",0.612964270517916,0.0208470215726559,0.013768849406527,0.0461992915318791,46,"Gstm1_Ly86"
"Cd300lf",0.589050060741336,0.0208299223112033,0.0137517501450744,0.0480263877385395,47,"Gstm1_Ly86"
"Col14a1",0.603270320603328,0.0208253071591443,0.0137471349930155,0.0458787367158085,48,"Gstm1_Ly86"
"Osm",0.617240831755706,0.020779109908063,0.0137009377419341,0.0681286546551313,49,"Gstm1_Ly86"
"Lpl",0.596184857211573,0.0207313099993655,0.0136531378332366,0.0364834010196482,50,"Gstm1_Ly86"
"S100a9",0.573887847412795,0.0207214253760158,0.0136432532098869,0.0352987068281706,51,"Gstm1_Ly86"
"Cd44",0.592077878430948,0.0207193081705706,0.0136411360044417,0.056408471929843,52,"Gstm1_Ly86"
"Il18bp",0.601005623970931,0.0206976719537173,0.0136194997875885,0.0456494168380031,53,"Gstm1_Ly86"
"Tnfrsf14",0.596576438521727,0.0206960904700996,0.0136179183039708,0.0337475753542123,54,"Gstm1_Ly86"
"Fgf3",0.60701038461301,0.0206715762812657,0.0135934041151368,0.0453344128896173,55,"Gstm1_Ly86"
"Mfng",0.573352891843384,0.0206207433712465,0.0135425712051176,0.0432276555477571,56,"Gstm1_Ly86"
"Selplg",0.606353638006189,0.0205704344616605,0.0134922622955317,0.0652991907717196,57,"Gstm1_Ly86"
"Itga9",0.594160659336581,0.0204898662840647,0.0134116941179358,0.0429687593441431,58,"Gstm1_Ly86"
"Sdc2",0.592659854590761,0.0204309792545654,0.0133528070884365,0.042575184562655,59,"Gstm1_Ly86"
"Ccl24",0.594752656277919,0.0204145384138599,0.013336366247731,0.0454437573185825,60,"Gstm1_Ly86"
"Adam17",0.59245943895957,0.0204113118846266,0.0133331397184977,0.0563047582530681,61,"Gstm1_Ly86"
"Nlgn2",0.605026269864271,0.0203750333978292,0.0132968612317003,0.0450523938330283,62,"Gstm1_Ly86"
"Saraf",0.595208987253553,0.0203716786174033,0.0132935064512745,0.0446382780200783,63,"Gstm1_Ly86"
"Alox5ap",0.588277689731894,0.0203592568129873,0.0132810846468585,0.0420972459182935,64,"Gstm1_Ly86"
"Cxcl16",0.605393184635206,0.0203467871757556,0.0132686150096268,0.0337566351537654,65,"Gstm1_Ly86"
"Ctsg",0.582477969697162,0.0203246485034417,0.0132464763373128,0.0390117919584919,66,"Gstm1_Ly86"
"Xcl1",0.590688843940969,0.0203021372083462,0.0132239650422174,0.0425068331606699,67,"Gstm1_Ly86"
"Btla",0.602895697538875,0.0202717429334323,0.0131935707673034,0.0535444595396975,68,"Gstm1_Ly86"
"Tfpi",0.575182840721984,0.020255209523663,0.0131770373575341,0.0253340311007612,69,"Gstm1_Ly86"
"Sirpa",0.596923311729546,0.0202277188103276,0.0131495466441988,0.0453255535647544,70,"Gstm1_Ly86"
"H2-K1",0.591741796834045,0.020221535296238,0.0131433631301091,0.0428851125519505,71,"Gstm1_Ly86"
"Lcn2",0.546324531489903,0.0202028472753061,0.0131246751091773,0.0380022595870756,72,"Gstm1_Ly86"
"Nrp1",0.585737807021314,0.0201552417540489,0.01307706958792,0.0347082441169299,73,"Gstm1_Ly86"
"C3",0.62335042518945,0.0201501720980724,0.0130719999319436,0.042950581464768,74,"Gstm1_Ly86"
"H2-D1",0.590506928214206,0.0201322047696812,0.0130540326035523,0.042583821817765,75,"Gstm1_Ly86"
"H2-Q4",0.590473011722774,0.0201297152246785,0.0130515430585496,0.0425817965652032,76,"Gstm1_Ly86"
"H2-Q6",0.590473011722774,0.0201297152246785,0.0130515430585496,0.0425817965652032,77,"Gstm1_Ly86"
"H2-Q7",0.590473011722774,0.0201297152246785,0.0130515430585496,0.0425817965652032,78,"Gstm1_Ly86"
"H2-Q10",0.590473011722774,0.0201297152246785,0.0130515430585496,0.0425817965652032,79,"Gstm1_Ly86"
"Gdf3",0.569904201328291,0.0200802872061364,0.0130021150400075,0.0388558322274004,80,"Gstm1_Ly86"
"Serping1",0.622504054562391,0.0200434811520493,0.0129653089859204,0.0487771701986904,81,"Gstm1_Ly86"
"Wnt4",0.576940331641625,0.0200335022914317,0.0129553301253028,0.0545793657855239,82,"Gstm1_Ly86"
"Pdcd1lg2",0.591345590547767,0.0199902988826265,0.0129121267164976,0.0362043460015198,83,"Gstm1_Ly86"
"Angpt2",0.560957185054529,0.0199807647121774,0.0129025925460485,0.0332436534344156,84,"Gstm1_Ly86"
"Matn1",0.594618531970913,0.0199666981895535,0.0128885260234247,0.0435680205352375,85,"Gstm1_Ly86"
"Cd80",0.598733219045029,0.0199312875528644,0.0128531153867355,0.0317994578579565,86,"Gstm1_Ly86"
"Sell",0.608817208611082,0.0199280666057966,0.0128498944396677,0.0355836999060171,87,"Gstm1_Ly86"
"Cp",0.600338085753211,0.0199251949887536,0.0128470228226247,0.0377878509694598,88,"Gstm1_Ly86"
"Gnas",0.58176264005968,0.0199150061243705,0.0128368339582416,0.0265182183910175,89,"Gstm1_Ly86"
"Mmp25",0.567695004409134,0.0199071675722167,0.0128289954060878,0.0434151211837012,90,"Gstm1_Ly86"
"Ppbp",0.615196592317591,0.0198902833419443,0.0128121111758154,0.0421498595535193,91,"Gstm1_Ly86"
"Gm49368",0.587166153808173,0.0198651046504173,0.0127869324842884,0.0362219069295598,92,"Gstm1_Ly86"
"Itgam",0.578483532001741,0.019858420959808,0.0127802487936792,0.0356311122910547,93,"Gstm1_Ly86"
"Neto2",0.59929592447104,0.0198440419755712,0.0127658698094423,0.0436484557330656,94,"Gstm1_Ly86"
"Pglyrp1",0.586282783372245,0.0198264989958476,0.0127483268297187,0.0413383984499746,95,"Gstm1_Ly86"
"Prnp",0.608447210522732,0.0198156228315606,0.0127374506654317,0.0342248058205294,96,"Gstm1_Ly86"
