"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Cd59b",0.547468948961494,0.130142707373652,0.128381905531582,0.0940825095405022,1,"Ltf"
"Cd59a",0.547406325018273,0.13014243357559,0.128381631733521,0.0940788972484,2,"Ltf"
"Psen1",0.514758375952376,0.0212621964530545,0.0195013946109849,0.0892786416472839,3,"Ltf"
"Tgfb1",0.570378874856473,0.00650440620866295,0.00474360436659333,0.0439057762908141,4,"Ltf"
"Enho",0.598079532407879,0.00624384807843911,0.00448304623636949,0.0235383152165779,5,"Ltf"
"Nectin4",0.481108443795017,0.00534944286814809,0.00358864102607847,0.0129938084997995,6,"Ltf"
"Mmp25",0.495866819747418,0.00522264724131701,0.0034618453992474,0.0147641895701539,7,"Ltf"
"Cd96",0.546143408829988,0.00520343664676347,0.00344263480469385,0.0202016176813333,8,"Ltf"
"Ltbp1",0.626938732908883,0.00499406046678915,0.00323325862471954,0.0245147514585537,9,"Ltf"
"Sema4d",0.516438785095469,0.00435660700570556,0.00259580516363594,0.0142112056903778,10,"Ltf"
"Ibsp",0.570483248095182,0.00429618479253997,0.00253538295047035,0.0216456205547309,11,"Ltf"
"Csf1",0.573176077653667,0.00429531807090408,0.00253451622883446,0.026146927322183,12,"Ltf"
"Cd82",0.489353929652424,0.00428631346072147,0.00252551161865185,0.0117303392883798,13,"Ltf"
"Ltbp3",0.415374178060757,0.00427269528813656,0.00251189344606694,-0.00560204466955065,14,"Ltf"
"Esam",0.588967748669241,0.00400944025743395,0.00224863841536433,0.0185388709114683,15,"Ltf"
"Cfh",0.592370316250915,0.00397725112681078,0.00221644928474116,0.0199732542147045,16,"Ltf"
"Tgm2",0.494322095814637,0.00389457499493124,0.00213377315286162,0.0148617696015431,17,"Ltf"
"Npnt",0.564836655881429,0.00387357128742498,0.00211276944535536,0.0191137438359452,18,"Ltf"
"Col6a2",0.537710051142887,0.00385598729435328,0.00209518545228366,0.0158500394006783,19,"Ltf"
"Col12a1",0.614894061162694,0.00385125751602212,0.0020904556739525,0.0169179903366732,20,"Ltf"
"Spp1",0.578300803673913,0.00357741753639585,0.00181661569432623,0.008752379067142,21,"Ltf"
"Il18",0.56959607556621,0.00356702201368557,0.00180622017161595,0.0219190756363091,22,"Ltf"
"H2-DMb1",0.671673103016339,0.00344502623053119,0.00168422438846157,0.0176193105190835,23,"Ltf"
"H2-DMb2",0.671673103016339,0.00344502623053119,0.00168422438846157,0.0176193105190835,24,"Ltf"
"Selp",0.58909299655569,0.00337056509633914,0.00160976325426952,0.013126697398058,25,"Ltf"
"Nrg3",0.553125978499128,0.00334713405389122,0.0015863322118216,0.0141642428919749,26,"Ltf"
"Col11a2",0.578426051560362,0.00325965716283761,0.001498855320768,0.0117854009307555,27,"Ltf"
"Col3a1",0.542312910969627,0.00325952950596785,0.00149872766389823,0.0102939183624281,28,"Ltf"
"Orm1",0.646091222210623,0.00323266093232696,0.00147185909025734,0.0207800530635631,29,"Ltf"
"Fasl",0.514455693560199,0.00323019698601562,0.001469395143946,0.00462732160728358,30,"Ltf"
"Il1rn",0.582381797307168,0.00322611697021135,0.00146531512814173,0.0118074073796994,31,"Ltf"
"Jam3",0.5326270744181,0.00320436800900282,0.0014435661669332,0.0101192721416403,32,"Ltf"
"Itgb1",0.528076401210712,0.0031749495085635,0.00141414766649388,0.00844598690816906,33,"Ltf"
"Tnfsf13b",0.548418745433661,0.00313531238384557,0.00137451054177595,0.0122201819537676,34,"Ltf"
"Zdhhc5",0.550495772883836,0.00308501173361592,0.00132420989154631,0.0116707371754984,35,"Ltf"
"Lilrb4a",0.585512994468224,0.00307956353576188,0.00131876169369226,0.0114144039459244,36,"Ltf"
"Gas6",0.596378248617042,0.00306847513512864,0.00130767329305902,0.0157833507690298,37,"Ltf"
"Hgf",0.461882893226169,0.00306819494553123,0.00130739310346162,0.0183916828059177,38,"Ltf"
