"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Il4",0.633846863388573,0.0986960815437846,0.066050562603224,0.177520196863777,1,"Ly86"
"Ifitm6",0.624104209090966,0.0850157325882305,0.05237021364767,0.125582379100566,2,"Ly86"
"Ccl25",0.599443052827397,0.0832319055368777,0.0505863865963171,0.121924141110434,3,"Ly86"
"Cd59b",0.575565140026042,0.0807834019351,0.0481378829945395,0.0897992938806536,4,"Ly86"
"Cd59a",0.575590169109837,0.0807779691019456,0.048132450161385,0.0898112088240319,5,"Ly86"
"Ccl3",0.623643340228011,0.0787457183798098,0.0461001994392493,0.0923058484772675,6,"Ly86"
"Adam17",0.588284586689743,0.0771559103627205,0.04451039142216,0.0990402229832451,7,"Ly86"
"Cd14",0.5872520535529,0.0770616713097782,0.0444161523692176,0.0841061447471006,8,"Ly86"
"Hp",0.600763754148979,0.0769242269182045,0.044278707977644,0.0942401666776498,9,"Ly86"
"Tnf",0.616231227352854,0.076701161659395,0.0440556427188344,0.130962106213534,10,"Ly86"
"S100a4",0.595269369674232,0.0764398087054251,0.0437942897648646,0.0980221141315737,11,"Ly86"
"Ltbp1",0.568746883879074,0.0756622797683752,0.0430167608278146,0.0951101485204062,12,"Ly86"
"Traf2",0.563835843917304,0.0754386382084045,0.0427931192678439,0.105631517640373,13,"Ly86"
"Ccl4",0.574994310054942,0.0753812403511202,0.0427357214105597,0.10821441140961,14,"Ly86"
"Ccl9",0.587478483330959,0.0745198557010594,0.0418743367604989,0.0770086388315722,15,"Ly86"
"Mpdz",0.605365267774483,0.0743836897955544,0.0417381708549939,0.0928924724296665,16,"Ly86"
"Ccl6",0.587503178693628,0.0741228564393232,0.0414773374987627,0.0767261266708129,17,"Ly86"
"Selp",0.592487470440665,0.0739898960590476,0.0413443771184871,0.0922005791131986,18,"Ly86"
"Il1rn",0.60635024565212,0.0738644297833109,0.0412189108427504,0.091967278732135,19,"Ly86"
"Mag",0.596591239019747,0.0738322585694369,0.0411867396288764,0.0935006418785492,20,"Ly86"
"Sparc",0.581572120136943,0.0737441747741005,0.04109865583354,0.0680688802425921,21,"Ly86"
"Zdhhc5",0.590179455193588,0.0735667677184248,0.0409212487778643,0.0797489835352359,22,"Ly86"
"Itgam",0.568580857623223,0.0735220878935506,0.0408765689529901,0.0904816212963222,23,"Ly86"
"S100a8",0.580057359985645,0.0734696365060304,0.0408241175654699,0.0872769382292174,24,"Ly86"
"Angptl3",0.602001525772958,0.0734593891437856,0.0408138702032251,0.095091431162914,25,"Ly86"
"Ibsp",0.606977307631483,0.072997387118057,0.0403518681774965,0.0916528133638013,26,"Ly86"
"Tgfb1",0.624659354169538,0.0728637438382959,0.0402182248977353,0.128616223258203,27,"Ly86"
"Ccl2",0.567558002398787,0.0724583421993411,0.0398128232587806,0.0779676470703882,28,"Ly86"
"Jam3",0.594315094139399,0.0721611274852588,0.0395156085446983,0.08565484720124,29,"Ly86"
"Col12a1",0.581685585316791,0.0721440030149421,0.0394984840743816,0.0724190147907957,30,"Ly86"
"Fasl",0.579224058355803,0.0720912027768117,0.0394456838362512,0.0801478743436488,31,"Ly86"
"Gpc3",0.571965790915711,0.0720455793108484,0.0394000603702879,0.0771694589848725,32,"Ly86"
"Csf1",0.589181295331844,0.071607351861095,0.0389618329205345,0.111201973204524,33,"Ly86"
"Apoa1",0.575781057588924,0.0715777342091039,0.0389322152685434,0.0858953759382134,34,"Ly86"
"Tnc",0.580152804225181,0.0715572922616583,0.0389117733210978,0.0883546654785052,35,"Ly86"
"Lama4",0.604671795292793,0.0711132060273743,0.0384676870868138,0.0924938728569224,36,"Ly86"
"Tgm2",0.58895503241433,0.0711062719261091,0.0384607529855486,0.0554548331665068,37,"Ly86"
"Col11a2",0.580238570552325,0.071071713174627,0.0384261942340664,0.0668684807186492,38,"Ly86"
"Icam1",0.570243956811152,0.0710235757062556,0.0383780567656951,0.0888537868733724,39,"Ly86"
"Bmp7",0.565133518481804,0.0709482208246789,0.0383027018841184,0.0860458040421024,40,"Ly86"
"Cd48",0.594578900682605,0.0709452365370994,0.0382997175965389,0.0952684831686128,41,"Ly86"
"Col6a2",0.575982124562055,0.0708861696392766,0.0382406506987161,0.0780325116546316,42,"Ly86"
"Nrg3",0.582437458994003,0.0707263807306418,0.0380808617900813,0.0796580355406367,43,"Ly86"
"Cd300c2",0.589674034561499,0.0706594544905452,0.0380139355499847,0.0846647607690378,44,"Ly86"
"Lpl",0.574473037669779,0.0706472384837282,0.0380017195431677,0.0716692252451068,45,"Ly86"
"Pdcd1lg2",0.584137934947078,0.0705227492023861,0.0378772302618256,0.0812085216522093,46,"Ly86"
