"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Tgfb1",0.608683091146018,0.0494944928707462,0.0309257014710286,0.116257209142754,1,"Pf4"
"Ltbp1",0.521825974540242,0.0479375995476194,0.0293688081479017,0.0701234142002024,2,"Pf4"
"S100a9",0.514071192586474,0.0472770578242963,0.0287082664245787,0.0726891362567071,3,"Pf4"
"Cd14",0.538742204778022,0.0434677150380429,0.0248989236383252,0.0729067310791847,4,"Pf4"
"Kng1",0.527341348872668,0.0430955425664056,0.0245267511666879,0.07773787503449,5,"Pf4"
"Il4",0.565645507143991,0.0424068423869453,0.0238380509872277,0.0817335064673483,6,"Pf4"
"Tgm2",0.54979495282426,0.0417617745766631,0.0231929831769454,0.0347942353778208,7,"Pf4"
"S100a8",0.5414500698157,0.04166079343667,0.0230920020369523,0.0607152986567124,8,"Pf4"
"Anxa1",0.53966488471678,0.0416329675260182,0.0230641761263005,0.0585147669166078,9,"Pf4"
"Ppbp",0.54692953339313,0.0405855733967074,0.0220167819969897,0.0512420916788777,10,"Pf4"
"Timp2",0.503367199439928,0.0403273231663147,0.021758531766597,0.0395356700087459,11,"Pf4"
"Apoa1",0.549254673898004,0.0403199214231526,0.0217511300234349,0.0646306020880531,12,"Pf4"
"Cd44",0.542022053732844,0.0400697808061319,0.0215009894064143,0.0593278787081874,13,"Pf4"
"Icam1",0.522064732532822,0.039956728716302,0.0213879373165844,0.0600577345012966,14,"Pf4"
"Hebp1",0.520976733713024,0.0396961430131759,0.0211273516134582,0.0675684865969545,15,"Pf4"
"Tnc",0.532607612562428,0.039259863529127,0.0206910721294093,0.0531998552593544,16,"Pf4"
"Lcn2",0.49645680550865,0.0391150385258857,0.0205462471261681,0.0596505286671142,17,"Pf4"
"Mmp14",0.543146610348256,0.0387475000729966,0.0201787086732789,0.0524512621504912,18,"Pf4"
"Mmp25",0.531026245262059,0.0383635717939584,0.0197947803942408,0.0427488716886593,19,"Pf4"
"Hp",0.557631261897463,0.0383210449401083,0.0197522535403907,0.0493261674547323,20,"Pf4"
"Osm",0.545507661608103,0.0379636653770798,0.0193948739773622,0.0671355122536556,21,"Pf4"
"Alox5ap",0.533734433820054,0.037935295751681,0.0193665043519634,0.0335786936353694,22,"Pf4"
"Fasl",0.531853810228161,0.0378008407090092,0.0192320493092915,0.049584596452665,23,"Pf4"
"Il16",0.526796540661986,0.0374958836900124,0.0189270922902947,0.0508342034067649,24,"Pf4"
"Lgals3",0.522423193041994,0.0369792533718545,0.0184104619721368,0.0509549784758377,25,"Pf4"
"Pf4",0.541256604667235,0.0366873111560098,0.0181185197562921,0.0335703668918526,26,"Pf4"
"Fgf3",0.537744468126138,0.0366414059949289,0.0180726145952112,0.0352541868356133,27,"Pf4"
"Vwf",0.535692702287547,0.0364636476094914,0.0178948562097737,0.0488499155412159,28,"Pf4"
"Ccl3",0.58236180182699,0.0362918442822599,0.0177230528825422,0.0412376367510429,29,"Pf4"
"Apoe",0.531259179888951,0.0361583171028618,0.0175895257031441,0.0468631045211285,30,"Pf4"
"Mpdz",0.573067710213795,0.0360652903879604,0.0174964989882427,0.051741195815464,31,"Pf4"
"Selp",0.52997092199408,0.0359960681122293,0.0174272767125116,0.0340949109058766,32,"Pf4"
"Fgf22",0.531985159476102,0.0359108037298784,0.0173420123301608,0.0330382178764707,33,"Pf4"
"Gpc3",0.544759035598873,0.0358932964743123,0.0173245050745947,0.0407625602748204,34,"Pf4"
"Angptl3",0.563327160565722,0.0356499547399807,0.017081163340263,0.0509983372682675,35,"Pf4"
"Gp5",0.522355900816439,0.0355777333477932,0.0170089419480755,0.0274509710867671,36,"Pf4"
"Col17a1",0.525470430890246,0.0355487919409152,0.0169800005411975,0.0339339472870608,37,"Pf4"
"Calm1",0.531457821362449,0.035525260229168,0.0169564688294504,0.0516791411839976,38,"Pf4"
"Apoc1",0.552034360445638,0.035483234516579,0.0169144431168613,0.0415345840851761,39,"Pf4"
"Il1rn",0.555171536941503,0.0354310212511851,0.0168622298514674,0.0579593641934015,40,"Pf4"
"Ccl2",0.502876742642183,0.0350673390204361,0.0164985476207184,0.0339477328361507,41,"Pf4"
"Reck",0.563356924434715,0.0349521224839436,0.0163833310842259,0.0421613688973211,42,"Pf4"
"Gdf3",0.541468186953342,0.0348647457000502,0.0162959543003326,0.0405372007408104,43,"Pf4"
"Ceacam10",0.519312221691658,0.0348385294132166,0.016269738013499,0.0240593863717629,44,"Pf4"
"Mmp2",0.527422228951448,0.0348046903238396,0.016235898924122,0.0288444464346005,45,"Pf4"
"Cd96",0.529279559080644,0.0347030439087893,0.0161342525090717,0.0300099812541076,46,"Pf4"
"Podxl",0.541067992323515,0.0346316458549472,0.0160628544552295,0.0384486157545705,47,"Pf4"
"S100a4",0.553337500274997,0.0344965891116834,0.0159277977119657,0.0447533754144193,48,"Pf4"
"Fbn1",0.529696576766856,0.034403670818084,0.0158348794183663,0.0310994378926855,49,"Pf4"
"Cfh",0.547827302267626,0.034354908937063,0.0157861175373453,0.0396956036972789,50,"Pf4"
"Tnf",0.58195481327056,0.0343534408364367,0.015784649436719,0.068653864896719,51,"Pf4"
"Selplg",0.514476887061656,0.0343379892858246,0.0157691978861069,0.0413947899588885,52,"Pf4"
"Sema4c",0.572237880605476,0.0343173492193337,0.0157485578196161,0.0464764424408487,53,"Pf4"
"Mag",0.552381174223459,0.0342932705588916,0.0157244791591739,0.0467848848166518,54,"Pf4"
"Crlf1",0.554249827563676,0.034240478789617,0.0156716873898993,0.0400324976090105,55,"Pf4"
"Lama4",0.556680759211605,0.0341803570832805,0.0156115656835629,0.047374054154019,56,"Pf4"
"Zdhhc5",0.558877462151363,0.0341230619751681,0.0155542705754504,0.0411866750872924,57,"Pf4"
"Efnb3",0.544964794519314,0.0341204957213509,0.0155517043216332,0.0397305831596252,58,"Pf4"
"Efna1",0.542579802756145,0.0340673625552278,0.0154985711555101,0.0393925353463009,59,"Pf4"
"Nrtn",0.546036617323367,0.0339198410897845,0.0153510496900668,0.0377102747202148,60,"Pf4"
"Mdk",0.516341658158076,0.0336216006363963,0.0150528092366786,0.0357528961178837,61,"Pf4"
"Psap",0.516344246320606,0.033508769784058,0.0149399783843403,0.0428795999385774,62,"Pf4"
"Prnp",0.547628660794126,0.0334466086401092,0.0148778172403915,0.0316456408842559,63,"Pf4"
"Jam3",0.549167323412913,0.0333189483737729,0.0147501569740552,0.0374042979566896,64,"Pf4"
"Lpl",0.538843143116326,0.0333183111884956,0.0147495197887779,0.0349032835879208,65,"Pf4"
"Bmp1",0.547709540872917,0.0332991990810654,0.0147304076813478,0.0427026225118404,66,"Pf4"
"Ang",0.568859357954525,0.0332835342775654,0.0147147428778478,0.0417154253098675,67,"Pf4"
"Nrg3",0.541076080331394,0.033256554749402,0.0146877633496843,0.037365508026398,68,"Pf4"
"Cd33",0.591697951081126,0.0331666741377981,0.0145978827380804,0.0484098891472496,69,"Pf4"
