"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Itgam",0.587225118341393,0.0745267786342448,0.0718376427432445,0.153028959654216,1,"Vpreb1"
"Lamb3",0.534118281502767,0.0743295325999278,0.0716403967089275,0.0532229909606425,2,"Vpreb1"
"Cd52",0.498172448918426,0.0219415676386915,0.0192524317476912,0.0394064876072676,3,"Vpreb1"
"Kitl",0.500814908023224,0.0203289091491845,0.0176397732581841,0.0577981741269323,4,"Vpreb1"
"Bmp7",0.554544909820816,0.0153754862779382,0.0126863503869378,0.0547080284467845,5,"Vpreb1"
"Chl1",0.48125711546525,0.015216351207287,0.0125272153162866,0.00483155655975188,6,"Vpreb1"
"Btla",0.509173707232291,0.0147706882092048,0.0120815523182044,0.0194416778047062,7,"Vpreb1"
"Icosl",0.483348313260215,0.0143146656164849,0.0116255297254845,0.0146392396314905,8,"Vpreb1"
"Tnfsf9",0.526742165498199,0.0135357378740986,0.0108466019830982,0.0358580286879579,9,"Vpreb1"
"Il2",0.532913895380166,0.0132571660804765,0.0105680301894761,0.0549407332639594,10,"Vpreb1"
"Bgn",0.552022290131188,0.0111656210252846,0.00847648513428426,0.044530406592828,11,"Vpreb1"
"Wnt10b",0.609521241536317,0.0110850311950217,0.00839589530402138,0.0479628944020455,12,"Vpreb1"
"Wnt4",0.583755767271826,0.0106930346743366,0.00800389878333623,0.040063902353539,13,"Vpreb1"
"Wnt6",0.564881059380396,0.0102179090783385,0.00752877318733812,0.0449946458821822,14,"Vpreb1"
"Angptl4",0.442513032536386,0.00955967227914643,0.00687053638814607,0.0080702213037398,15,"Vpreb1"
"Calr",0.537959134759387,0.00877743654846506,0.0060883006574647,0.0387344382688611,16,"Vpreb1"
"Nrtn",0.493085265743878,0.00875620109150344,0.00606706520050308,0.00220801761783384,17,"Vpreb1"
"Pdcd1lg2",0.502193061297842,0.008625239945434,0.00593610405443364,0.00839594895957471,18,"Vpreb1"
"Cd79b",0.503475343040305,0.0085760082118677,0.00588687232086734,0.000963353272183755,19,"Vpreb1"
"Fgf3",0.515698963389031,0.00803670682027068,0.00534757092927032,0.00330723552214684,20,"Vpreb1"
"Cd80",0.502025286116574,0.00794696562893575,0.00525782973793539,0.0050826410911638,21,"Vpreb1"
