"receiver","ligand"
"Gstm1_CD63","Pf4"
"Gstm1_CD63","Ccl9"
"Gstm1_CD63","Ccl6"
"Gstm1_CD63","Tgfb1"
"Gstm1_CD63","Gdf11"
"Gstm1_CD63","Mcam"
"Gstm1_CD63","Mmp14"
"Gstm1_CD63","Il2"
"Gstm1_CD63","Ltbp1"
"Gstm1_CD63","Bmp7"
"Gstm1_CD63","Col18a1"
"Gstm1_CD63","Clec2i"
"Gstm1_CD63","S100a4"
"Gstm1_CD63","Prnp"
"Gstm1_CD63","Clec2d"
"Gstm1_CD63","St6gal1"
"Gstm1_CD63","Lcn2"
"Gstm1_CD63","Col17a1"
"Gstm1_CD63","Angptl3"
"Gstm1_CD63","Cd59b"
"Gstm1_CD63","Mpdz"
"Gstm1_CD63","Cd59a"
"Gstm1_CD63","Tnf"
"Gstm1_CD63","Cfh"
"Gstm1_CD63","Tcn2"
"Gstm1_CD63","Il12a"
"Gstm1_CD63","Npnt"
"Gstm1_CD63","Ccl3"
"Gstm1_CD63","Zdhhc5"
"Gstm1_CD63","Podxl"
