"receiver","ligand"
"Gstm1_Ly86","Il2"
"Gstm1_Ly86","Clec2i"
"Gstm1_Ly86","Sema5a"
"Gstm1_Ly86","Clec2d"
"Gstm1_Ly86","Il12a"
"Gstm1_Ly86","Icam1"
"Gstm1_Ly86","Bmp7"
"Gstm1_Ly86","Psap"
"Gstm1_Ly86","Gdf11"
"Gstm1_Ly86","Apoa1"
"Gstm1_Ly86","Ccl3"
"Gstm1_Ly86","Apoe"
"Gstm1_Ly86","Il4"
"Gstm1_Ly86","Ccl2"
"Gstm1_Ly86","Plxna1"
"Gstm1_Ly86","Cfh"
"Gstm1_Ly86","Gp1ba"
"Gstm1_Ly86","Ltbp1"
"Gstm1_Ly86","Col6a2"
"Gstm1_Ly86","Wnt10b"
"Gstm1_Ly86","Pvr"
"Gstm1_Ly86","Traf2"
"Gstm1_Ly86","Apoc1"
"Gstm1_Ly86","Kitl"
"Gstm1_Ly86","Hp"
"Gstm1_Ly86","Il1rn"
"Gstm1_Ly86","Zdhhc5"
"Gstm1_Ly86","S100a8"
"Gstm1_Ly86","Retn"
"Gstm1_Ly86","Efna1"
