"receiver","ligand"
"Vpreb1","Itgam"
"Vpreb1","Lamb3"
"Vpreb1","Cd52"
"Vpreb1","Kitl"
"Vpreb1","Bmp7"
"Vpreb1","Chl1"
"Vpreb1","Btla"
"Vpreb1","Icosl"
"Vpreb1","Tnfsf9"
"Vpreb1","Il2"
"Vpreb1","Bgn"
"Vpreb1","Wnt10b"
"Vpreb1","Wnt4"
"Vpreb1","Wnt6"
"Vpreb1","Angptl4"
"Vpreb1","Calr"
"Vpreb1","Nrtn"
"Vpreb1","Pdcd1lg2"
"Vpreb1","Cd79b"
"Vpreb1","Fgf3"
"Vpreb1","Cd80"
"Vpreb1","Jam3"
"Vpreb1","Fgf22"
"Vpreb1","Crlf1"
"Vpreb1","Tcn2"
"Vpreb1","Sirpa"
"Vpreb1","Lilr4b"
"Vpreb1","Lilrb4a"
"Vpreb1","Cd22"
"Vpreb1","Slpi"
