"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Il4",361,211,14,37,93,1,6,0,11,1,0
"Tnf",4,7,20,15,8,3,23,2,8,0,0
"Bmp7",107,186,4,9,30,2,0,0,0,0,0
"Sparc",62,87,4,5,10,0,0,0,0,0,2
"B2m",48529,25222,11005,10886,9919,3705,1126,115,2394,114,51
"Nrp1",2,2,242,0,5,0,0,9,5,1,1
"Csf1",35,19,53,93,98,30,12,0,18,0,1
"Ang",4,6,55,44,10,16,7,1,7,1,1
"Bgn",3,11,0,2,2,0,0,0,1,0,4
"Ccl25",860,489,180,224,209,71,24,0,47,1,1
"Pf4",5084,87185,805,1346,941,172,646,2,127,43,1
"Hp",184,46,3892,3632,324,3152,4576,5,571,5,2
"Ccl3",2,0,13,1,6,0,2,0,3,0,0
"Adam17",1126,507,369,397,293,134,42,3,90,3,0
"Cd33",22,7,99,54,30,13,399,0,11,3,2
"Nrg3",1068,887,15,33,171,3,7,0,5,1,0
"Angptl3",34,39,10,31,7,19,0,1,3,0,0
"Mag",1,1,2,4,1,1,0,0,0,2,0
"C1qb",11,4,10,8,3,1,0,0,0,98,0
"Vegfa",427,264,48,187,26,163,34,0,13,0,1
"Anxa2",819,191,1749,572,400,269,1320,31,158,7,0
"Cd300c2",7,1,76,39,10,18,105,18,6,29,0
"Cd300c",0,0,2,0,0,0,2,1,0,0,0
"Mpdz",213,176,7,18,55,2,0,0,1,0,0
"Ltbp1",365,807,10,16,18,5,2,0,4,0,0
"Nrg2",25,19,300,111,12,76,1,3,36,0,0
"Saraf",1769,1531,530,686,501,277,42,5,118,3,2
"Qrfp",188,264,6,30,168,3,0,0,6,0,0
"Cd55",4091,1817,45,93,266,14,85,0,26,1,0
