"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Pf4",5084,87185,805,1346,941,172,646,2,127,43,1
"Ccl9",155,27,2515,2084,1677,767,12,12,576,7,0
"Ccl6",57,5,360,53,25,32,1176,10,14,20,0
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Gdf11",8,18,6,4,8,0,0,0,2,0,1
"Mcam",4,1,4,1,1,1,47,0,1,0,0
"Mmp14",613,97,7,8,13,4,3,0,1,1,1
"Il2",71,51,20,26,21,13,1,0,6,0,0
"Ltbp1",365,807,10,16,18,5,2,0,4,0,0
"Bmp7",107,186,4,9,30,2,0,0,0,0,0
"Col18a1",832,1700,26,21,75,9,7,0,9,0,0
"Clec2i",401,74,102,55,75,32,25,7,16,0,0
"S100a4",43,83,691,13,81,2,0,71,6,37,0
"Prnp",167,75,4,5,10,6,2,2,1,3,0
"Clec2d",7682,2474,718,820,1172,236,215,15,183,14,10
"St6gal1",0,0,0,0,0,0,0,1,0,0,0
"Lcn2",293,109,624,796,108,362,36377,1,94,2,0
"Col17a1",3,3,0,4,1,2,0,5,0,0,0
"Angptl3",34,39,10,31,7,19,0,1,3,0,0
"Cd59b",190,87,12,15,17,4,2,0,6,0,0
"Mpdz",213,176,7,18,55,2,0,0,1,0,0
"Cd59a",3503,928,74,239,285,52,20,0,29,2,0
"Tnf",4,7,20,15,8,3,23,2,8,0,0
"Cfh",0,0,13,0,0,0,0,4,0,0,1
"Tcn2",542,266,565,884,376,389,169,0,135,5,1
"Il12a",1844,4084,550,437,591,196,21,0,108,2,13
"Npnt",5,8,1,0,1,0,0,0,0,0,1
"Ccl3",2,0,13,1,6,0,2,0,3,0,0
"Zdhhc5",963,680,256,298,187,108,34,0,57,4,0
"Podxl",1443,1287,28,53,261,7,12,0,11,6,0
