"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Il2",71,51,20,26,21,13,1,0,6,0,0
"Clec2i",401,74,102,55,75,32,25,7,16,0,0
"Sema5a",0,0,0,0,0,0,0,0,0,0,1
"Clec2d",7682,2474,718,820,1172,236,215,15,183,14,10
"Il12a",1844,4084,550,437,591,196,21,0,108,2,13
"Icam1",262,165,178,164,144,75,7,9,30,2,0
"Bmp7",107,186,4,9,30,2,0,0,0,0,0
"Psap",3143,1803,5030,1425,1218,376,465,141,457,152,12
"Gdf11",8,18,6,4,8,0,0,0,2,0,1
"Apoa1",23,3,0,4,1,0,0,0,0,2,0
"Ccl3",2,0,13,1,6,0,2,0,3,0,0
"Apoe",188077,43496,3774,9998,22940,1416,811,135,2071,398,1
"Il4",361,211,14,37,93,1,6,0,11,1,0
"Ccl2",251,754,35,22,67,2,6,0,4,0,0
"Plxna1",316,70,20,23,27,7,2,0,3,1,0
"Cfh",0,0,13,0,0,0,0,4,0,0,1
"Gp1ba",343,1011,10,22,16,2,3,0,2,0,0
"Ltbp1",365,807,10,16,18,5,2,0,4,0,0
"Col6a2",0,0,0,0,0,0,0,0,0,0,3
"Wnt10b",1,0,0,0,0,0,0,0,0,0,2
"Pvr",274,76,101,116,120,25,2,0,24,0,0
"Traf2",1122,606,282,395,278,120,41,1,74,1,2
"Apoc1",296,13,107,98,96,26,2,1,17,5,0
"Kitl",2,0,0,0,0,0,0,0,0,0,1
"Hp",184,46,3892,3632,324,3152,4576,5,571,5,2
"Il1rn",1,0,3,0,0,0,37,0,1,1,0
"Zdhhc5",963,680,256,298,187,108,34,0,57,4,0
"S100a8",2613,914,2786,1117,360,7630,298112,4,85,140,3
"Retn",1,1,3,0,0,0,5,0,0,1,0
"Efna1",2,3,1,1,1,0,0,0,0,1,0
