"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Il4",361,211,14,37,93,1,6,0,11,1,0
"Pf4",5084,87185,805,1346,941,172,646,2,127,43,1
"Gdf11",8,18,6,4,8,0,0,0,2,0,1
"Tnf",4,7,20,15,8,3,23,2,8,0,0
"Mpdz",213,176,7,18,55,2,0,0,1,0,0
"Tgm2",310,401,15,8,40,1,2,0,2,2,0
"Hbegf",182,371,39,40,60,11,3,3,16,0,0
"Zdhhc5",963,680,256,298,187,108,34,0,57,4,0
"Ccl3",2,0,13,1,6,0,2,0,3,0,0
"Bmp7",107,186,4,9,30,2,0,0,0,0,0
"Inhba",0,0,3,3,1,1,132,0,1,0,0
"Ifitm6",46,24,287,24,14,13,4922,3,11,5,0
"Angptl3",34,39,10,31,7,19,0,1,3,0,0
"Csf1",35,19,53,93,98,30,12,0,18,0,1
"Cd33",22,7,99,54,30,13,399,0,11,3,2
"Il1rn",1,0,3,0,0,0,37,0,1,1,0
"Wnt4",28,15,2,3,6,2,8,0,1,1,1
"Ang",4,6,55,44,10,16,7,1,7,1,1
"Il1b",36,25,33,1,2,0,268,1,0,6,0
"Orm1",1,0,0,2,1,3,432,0,1,0,0
"Bgn",3,11,0,2,2,0,0,0,1,0,4
"Hp",184,46,3892,3632,324,3152,4576,5,571,5,2
"Mag",1,1,2,4,1,1,0,0,0,2,0
"Mcam",4,1,4,1,1,1,47,0,1,0,0
"Egf",101,34,25,26,19,9,3,0,7,0,0
"Cd44",4311,2095,1094,1217,1157,360,326,5,236,9,1
"Sema4c",8,4,13,7,9,2,0,0,0,0,0
"Tnfsf13b",3,4,2,1,2,0,21,0,1,0,0
"Ncam1",0,0,2,21,0,16,3,0,2,0,0
