"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Cd33",22,7,99,54,30,13,399,0,11,3,2
"Jaml",16,3,52,2,0,0,343,3,0,4,0
"Wnt4",28,15,2,3,6,2,8,0,1,1,1
"Clec2i",401,74,102,55,75,32,25,7,16,0,0
"Gm1123",4,8,6,1,5,0,0,0,2,1,0
"Clec2d",7682,2474,718,820,1172,236,215,15,183,14,10
"Pltp",2,1,1,0,0,0,0,4,0,2,0
"Il4",361,211,14,37,93,1,6,0,11,1,0
"Ltf",199,42,24,30,20,18,15432,0,1,0,0
"Csf1",35,19,53,93,98,30,12,0,18,0,1
"Tnfsf9",238,209,53,46,62,10,3,0,7,1,0
"Furin",4049,2964,354,405,518,126,87,2,76,4,0
"Tnf",4,7,20,15,8,3,23,2,8,0,0
"Cdh1",0,0,1,0,0,0,0,0,0,0,0
"Apoa1",23,3,0,4,1,0,0,0,0,2,0
"Bmp7",107,186,4,9,30,2,0,0,0,0,0
"Camp",581,280,126,153,127,748,100803,4,23,0,3
"Pomc",70,46,31,29,27,18,1,0,2,0,0
"Calr",30745,25203,22227,40273,16204,13047,487,53,6601,45,15
"Hbegf",182,371,39,40,60,11,3,3,16,0,0
"Ccl25",860,489,180,224,209,71,24,0,47,1,1
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Angptl4",822,92,264,415,232,130,6,0,93,0,0
"Ang",4,6,55,44,10,16,7,1,7,1,1
"Btla",0,0,15,6,6,1,0,1,1,0,0
"Tnfsf13b",3,4,2,1,2,0,21,0,1,0,0
"Pf4",5084,87185,805,1346,941,172,646,2,127,43,1
"Ccl3",2,0,13,1,6,0,2,0,3,0,0
"Cd24a",6893,330,1445,1480,498,815,692,16,283,3,11
"S100a9",3316,1201,2857,591,436,3291,366954,6,127,109,3
