"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Psap",3143,1803,5030,1425,1218,376,465,141,457,152,12
"Cd59a",3503,928,74,239,285,52,20,0,29,2,0
"Cd59b",190,87,12,15,17,4,2,0,6,0,0
"Cxcl12",0,2,0,0,0,0,0,0,0,0,28
"Sema4c",8,4,13,7,9,2,0,0,0,0,0
"Egf",101,34,25,26,19,9,3,0,7,0,0
"Psen1",1262,712,363,409,340,191,64,4,71,0,1
"Npnt",5,8,1,0,1,0,0,0,0,0,1
"Spp1",1,1,37,7,2,3,4,5,2,21,0
"Tgm2",310,401,15,8,40,1,2,0,2,2,0
"Lgals3bp",2879,1007,480,702,624,157,25,5,136,9,0
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Alox5ap",4198,3623,3935,4344,2403,2113,2644,48,766,33,5
"Cfh",0,0,13,0,0,0,0,4,0,0,1
"Hp",184,46,3892,3632,324,3152,4576,5,571,5,2
"Gdf3",1873,272,88,291,153,90,9,0,23,0,0
"Angptl6",196,142,65,75,41,30,5,0,15,0,0
"Mmp9",45,9,46,4,5,3,1454,0,1,9,0
"Gpc3",354,69,128,398,334,96,8,0,64,0,0
"Col18a1",832,1700,26,21,75,9,7,0,9,0,0
"Nlgn2",379,181,56,165,139,44,3,0,37,0,1
"Nucb2",310,553,637,1082,100,921,154,3,87,3,2
"Ibsp",0,0,0,0,0,0,0,0,0,0,1
"Cdh1",0,0,1,0,0,0,0,0,0,0,0
"Gm1123",4,8,6,1,5,0,0,0,2,1,0
"Ctsg",2212,544,50826,84343,10972,56909,381,3,10290,2,1
"Ncam1",0,0,2,21,0,16,3,0,2,0,0
"Siglec1",1,0,3,0,0,0,0,0,0,1,0
"Mfge8",606,447,414,334,456,70,9,12,99,0,0
"Car12",10,2,35,30,27,5,0,1,17,0,0
