"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Cd59b",190,87,12,15,17,4,2,0,6,0,0
"Cd59a",3503,928,74,239,285,52,20,0,29,2,0
"Psen1",1262,712,363,409,340,191,64,4,71,0,1
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Enho",5,2,7,0,10,0,3,1,0,0,0
"Nectin4",5,10,3,2,4,2,0,0,0,1,0
"Mmp25",0,0,0,0,0,0,32,0,0,0,0
"Cd96",1,1,2,0,2,0,0,0,0,0,0
"Ltbp1",365,807,10,16,18,5,2,0,4,0,0
"Sema4d",2244,1038,202,200,263,63,64,6,56,3,0
"Ibsp",0,0,0,0,0,0,0,0,0,0,1
"Csf1",35,19,53,93,98,30,12,0,18,0,1
"Cd82",466,47,174,306,127,111,110,13,40,4,1
"Ltbp3",401,299,91,197,202,48,6,0,41,0,0
"Esam",1549,3824,46,74,332,15,13,0,28,2,0
"Cfh",0,0,13,0,0,0,0,4,0,0,1
"Tgm2",310,401,15,8,40,1,2,0,2,2,0
"Npnt",5,8,1,0,1,0,0,0,0,0,1
"Col6a2",0,0,0,0,0,0,0,0,0,0,3
"Col12a1",0,0,0,0,0,0,0,0,0,0,1
"Spp1",1,1,37,7,2,3,4,5,2,21,0
"Il18",17,3,75,35,51,6,2,1,10,10,0
"H2-DMb1",829,677,627,594,344,261,14,40,118,29,2
"H2-DMb2",5,4,17,4,9,4,8,5,1,0,0
"Selp",200,1022,236,123,399,21,15,0,69,0,0
"Nrg3",1068,887,15,33,171,3,7,0,5,1,0
"Col11a2",74,42,30,65,50,27,5,0,12,0,0
"Col3a1",0,0,0,0,0,0,0,0,0,0,2
"Orm1",1,0,0,2,1,3,432,0,1,0,0
"Fasl",0,0,0,0,0,0,0,0,0,0,0
