"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Il4",361,211,14,37,93,1,6,0,11,1,0
"Ifitm6",46,24,287,24,14,13,4922,3,11,5,0
"Ccl25",860,489,180,224,209,71,24,0,47,1,1
"Cd59b",190,87,12,15,17,4,2,0,6,0,0
"Cd59a",3503,928,74,239,285,52,20,0,29,2,0
"Ccl3",2,0,13,1,6,0,2,0,3,0,0
"Adam17",1126,507,369,397,293,134,42,3,90,3,0
"Cd14",12,4,81,163,17,86,31,0,18,9,0
"Hp",184,46,3892,3632,324,3152,4576,5,571,5,2
"Tnf",4,7,20,15,8,3,23,2,8,0,0
"S100a4",43,83,691,13,81,2,0,71,6,37,0
"Ltbp1",365,807,10,16,18,5,2,0,4,0,0
"Traf2",1122,606,282,395,278,120,41,1,74,1,2
"Ccl4",26,20,12,20,32,8,6,0,3,2,0
"Ccl9",155,27,2515,2084,1677,767,12,12,576,7,0
"Mpdz",213,176,7,18,55,2,0,0,1,0,0
"Ccl6",57,5,360,53,25,32,1176,10,14,20,0
"Selp",200,1022,236,123,399,21,15,0,69,0,0
"Il1rn",1,0,3,0,0,0,37,0,1,1,0
"Mag",1,1,2,4,1,1,0,0,0,2,0
"Sparc",62,87,4,5,10,0,0,0,0,0,2
"Zdhhc5",963,680,256,298,187,108,34,0,57,4,0
"Itgam",30,13,166,79,68,56,568,4,17,4,0
"S100a8",2613,914,2786,1117,360,7630,298112,4,85,140,3
"Angptl3",34,39,10,31,7,19,0,1,3,0,0
"Ibsp",0,0,0,0,0,0,0,0,0,0,1
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Ccl2",251,754,35,22,67,2,6,0,4,0,0
"Jam3",1086,1691,41,91,454,23,9,0,21,0,0
"Col12a1",0,0,0,0,0,0,0,0,0,0,1
