"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Tgfb1",27200,18415,5101,5407,5407,1758,330,20,1291,19,9
"Ltbp1",365,807,10,16,18,5,2,0,4,0,0
"S100a9",3316,1201,2857,591,436,3291,366954,6,127,109,3
"Cd14",12,4,81,163,17,86,31,0,18,9,0
"Kng1",0,0,0,0,0,0,0,0,0,0,1
"Il4",361,211,14,37,93,1,6,0,11,1,0
"Tgm2",310,401,15,8,40,1,2,0,2,2,0
"S100a8",2613,914,2786,1117,360,7630,298112,4,85,140,3
"Anxa1",359,167,1034,5289,539,4342,8271,16,341,1,0
"Ppbp",153,3612,53,8,18,1,23,0,4,0,0
"Timp2",543,46,56,98,120,23,266,0,19,12,1
"Apoa1",23,3,0,4,1,0,0,0,0,2,0
"Cd44",4311,2095,1094,1217,1157,360,326,5,236,9,1
"Icam1",262,165,178,164,144,75,7,9,30,2,0
"Hebp1",650,77,96,130,49,53,10,0,21,1,0
"Tnc",0,0,0,0,0,0,0,0,0,0,2
"Lcn2",293,109,624,796,108,362,36377,1,94,2,0
"Mmp14",613,97,7,8,13,4,3,0,1,1,1
"Mmp25",0,0,0,0,0,0,32,0,0,0,0
"Hp",184,46,3892,3632,324,3152,4576,5,571,5,2
"Osm",390,194,57,41,74,12,29,0,16,0,0
"Alox5ap",4198,3623,3935,4344,2403,2113,2644,48,766,33,5
"Fasl",0,0,0,0,0,0,0,0,0,0,0
"Il16",1460,641,932,578,615,171,196,3,200,1,7
"Lgals3",34,19,1748,11,13,8,1010,55,5,35,0
"Pf4",5084,87185,805,1346,941,172,646,2,127,43,1
"Fgf3",1095,179,13,50,225,2,6,0,6,0,0
"Vwf",446,2485,18,42,52,6,14,2,9,0,0
"Ccl3",2,0,13,1,6,0,2,0,3,0,0
"Apoe",188077,43496,3774,9998,22940,1416,811,135,2071,398,1
