"","Car1","Pf4","Ly86","Gstm1_CD63","CD34","Fcnb","Ltf","Cd74","Gstm1_Ly86","C1qb","Vpreb1"
"Itgam",30,13,166,79,68,56,568,4,17,4,0
"Lamb3",8,5,20,82,17,39,6,0,7,1,0
"Cd52",1923,1636,7086,3415,3359,1438,8228,183,849,222,42
"Kitl",2,0,0,0,0,0,0,0,0,0,1
"Bmp7",107,186,4,9,30,2,0,0,0,0,0
"Chl1",17,18,0,0,5,0,0,0,1,1,0
"Btla",0,0,15,6,6,1,0,1,1,0,0
"Icosl",13,10,23,9,12,1,15,5,5,1,0
"Tnfsf9",238,209,53,46,62,10,3,0,7,1,0
"Il2",71,51,20,26,21,13,1,0,6,0,0
"Bgn",3,11,0,2,2,0,0,0,1,0,4
"Wnt10b",1,0,0,0,0,0,0,0,0,0,2
"Wnt4",28,15,2,3,6,2,8,0,1,1,1
"Wnt6",1,0,24,8,4,2,0,2,5,1,0
"Angptl4",822,92,264,415,232,130,6,0,93,0,0
"Calr",30745,25203,22227,40273,16204,13047,487,53,6601,45,15
"Nrtn",61,8,41,56,18,25,0,0,9,0,0
"Pdcd1lg2",83,124,6,7,35,3,3,0,0,0,0
"Cd79b",1143,1242,857,864,431,333,18,7,157,5,29
"Fgf3",1095,179,13,50,225,2,6,0,6,0,0
"Cd80",4,0,2,0,1,1,3,2,0,0,0
"Jam3",1086,1691,41,91,454,23,9,0,21,0,0
"Fgf22",26,11,7,9,3,7,2,0,2,0,0
"Crlf1",8,1,0,0,0,0,0,0,0,0,0
"Tcn2",542,266,565,884,376,389,169,0,135,5,1
"Sirpa",296,285,585,502,214,236,259,19,86,23,0
"Lilr4b",58,303,13,10,21,2,67,0,1,2,0
"Lilrb4a",63,420,15,11,16,1,23,0,0,3,0
"Cd22",1,0,0,0,0,0,0,1,0,0,0
"Slpi",226,3044,8655,1896,168,1131,2782,0,751,2,0
