"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Tgfb1",0.0599686743870678,0.643971631896114,2.06204506872864,0.337744355172926,-0.073078399510159,0.296753927954723,0.369237802677612,0.303622438453179,0.260463236874762,0.124282582644593,0.266545923703556,0.280258890453599,0.150010651600666,0.701205973993586,-0.472417891367678
"Il4",0.505015195675726,0.911636544263924,0,1.55387049121139,-2.44627317497966,-1.93730813789895,0.463614862052827,0.988921481748521,1.16599238060129,0.961461348905002,1.849526120134,1.78039921173581,0.169850395731479,0,0
"Tnf",-2.94478384535505,-2.27881076711621,0,-0.30893876004107,3.01630111103778,-2.73541983025007,0.0957162949521991,0.243773044798653,1.63964131300859,0.621643076047083,-0.122067691876824,-0.903082644189841,0,0,0
"Bmp7",0,2.85545985838068,0,3.2894012841736,0,3.87327212582912,3.11040229341625,0,0,0,1.90549550903553,1.97943168874941,0,0,0
"Sparc",-8.4207168966356,3.7379538463118,0,1.5686870883623,0,0,1.5631640369756,0,3.25232972469285,0,-2.97448496795887,1.6376783057183,0,3.34127212892633,6.0153409265682
"B2m",0.14262304719096,0.0976920606450368,-0.0378886591918889,-0.0664865680566253,0.819625738702538,0.0699634707314195,0.0428885819990878,0.140455356135357,0.467962823001236,0.0164611275498641,0.199586616956157,0.035705050079328,0.0246527794922935,-0.395064683781296,0.113995806303885
"Nrp1",-2.77315270945214,-5.88545022139654,5.44085470244316,-2.23420149771549,0.795177687522033,-4.34471582816396,-6.14303532043876,-1.77716253841692,-4.0058963895405,-6.98089502185831,-0.144134481696853,3.43414648261994,0,1.24753493056172,2.55858767063504
"Csf1",-6.66525102671237,-0.495671417829947,0,0.404842936580661,-3.84299813854765,1.96278742965506,0.484003311106769,0.302769498022123,3.25232972469285,0.676210142244375,0.836890956509195,-0.636237418518828,0.316085035206581,0,0.767043826856626
"Ang",3.44979904103078,-2.15671583995693,0,-1.5974006936023,2.03420056144927,-0.381351784358666,0.841683597726599,-0.0936693952403405,0,5.33219792174193,0.836566280767479,-0.798181939609241,0,3.34127212892633,2.55858767063504
"Bgn",-9.08658144042458,-1.7982981818739,0,-2.03283744510465,0,0,-2.35462519258748,3.9229757221452,-3.09301305064446,0,-8.78502996947406,-0.2659314539626,0,0,7.00414576306844
"Ccl25",0.505015195675726,-0.0752534015862216,0,0.111753783563933,-4.2326804058657,-0.634719165584217,0.0218034408670921,0.148682548099982,0.296480810384134,0.0806893349293866,-0.123031323312487,0.189709083399752,-0.610295863393894,-3.02074757456305,1.15737536260443
"Pf4",4.34187993779247,-0.664016835907938,-2.56784509030297,0.704533483954862,3.01630111103778,0.816052574626487,2.35899244458044,3.09615536352734,2.92434204892942,-0.0744585173209347,1.38860651364399,-0.431130457183001,-3.94484096837296,3.34127212892633,1.69416007916511
"Hp",-3.96650763418853,0.923555434657989,0,-0.70800157082598,1.14295552240526,0.3393018084993,0.0462587216440353,-0.127589907413523,2.71006520737286,0.472171664852338,0.82873424674732,0.536654355164188,-0.235952453816807,0,6.0153409265682
"Ccl3",0,-1.05730560269308,7.41572704897466,-1.4368003404086,0,0,0.0857938424475588,1.84055678098301,0,-1.17442225784377,-0.357205524947719,0,0,0,0
"Adam17",-0.164501144667358,-0.116081992225915,-4.37273800404989,-0.669108366751153,-0.469320403764055,-0.175564863364545,-0.20274362743539,-0.381635608231366,-0.0846892869347477,-0.274214969235878,-0.113214043980286,-0.28484267305648,0.525118320745234,0.33927171477166,-6.45809849762777
"Cd33",1.99915621672589,1.34129102346857,0,0.356832403892437,-5.19379192932833,1.06500075341437,1.32298324793628,1.16025862655312,4.17457138656434,0.517173157777558,1.13933359565084,5.14286738719414,0.676540044740697,-3.92901079035311,3.53645464056944
"Nrg3",3.44979904103078,4.59680306859848,0,5.28483073254128,0,4.42503991376975,3.71334430441604,6.16673313593816,7.79931298162964,5.33219792174193,7.78685181028831,2.013449982715,-2.88041469336559,3.34127212892633,0
"Angptl3",0,-0.0604248498514929,0,-0.635887152183494,5.34164774334582,-0.328287531776663,-0.253988804796515,-0.755714342695145,-1.37157473807294,0,-0.536792369254569,0.331204271927177,-2.88041469336559,0,0
"Mag",4.3822245428599,-1.01367557246097,0,3.7066689251261,0,-0.445522356702624,1.96417028743994,-3.60253689869174,0,-4.85040079825385,0.397870660619809,2.56180146808443,0,0,0
"C1qb",2.47474706958557,-1.15982567325475,0,-1.69951077930139,-2.44627317497966,-5.62339964446131,1.07228395532542,-3.60253689869174,-3.00180384802635,-6.62158448756767,1.13867270920101,-3.8852660891845,-4.32846688245379,0,0
"Vegfa",-2.94478384535505,0.603244546731276,0,-0.11500533324092,0,-0.0599706051123417,-0.599937073301058,-0.440075228986418,-0.547968653468338,0.364834858595837,0.650525957997432,0.405740766219023,-1.15233202323091,0,0.767043826856626
"Anxa2",-0.937432930569205,-0.388184604637355,-0.688618715735872,-0.864912761052084,-1.19940335670356,0.194162851299985,0.00671546837811102,-0.632841874905497,0.828294850143582,0.772131751721919,0.417907621404461,-0.372599951102073,-0.877243758574873,0.0123138436009292,-3.88009859402936
"Cd300c2",3.77522309638837,-0.102908306056625,0,-0.190048833513506,3.9697591305946,0.662467194962737,0.756313936913383,1.32035229428814,0,0.587217458503904,0.939167807598206,-1.94220904629467,-3.7789691609335,-3.02074757456305,0
"Cd300c",0,0,0,-3.69733684105486,0.54981366843457,0,-3.12782504619509,-2.71666981393719,0,3.61170375293074,-3.27087606013736,0,0,-6.02332016705059,0
"Mpdz",-5.1084412067483,2.34320497227396,0,2.96601777888299,0,3.87327212582912,4.01891862352258,3.9229757221452,4.73265436365304,0,1.39059618259642,1.10946328326105,0,3.34127212892633,0
"Ltbp1",-3.84791712537224,1.54901788031968,0,7.59916925495999,0,1.40916102939803,2.27048118429866,1.70246037052094,2.44519190458556,-4.85040079825385,1.58149936441848,0.965503696924394,-2.88041469336559,0,0
"Nrg2",0,0.12854287775128,0,-1.58930370983155,1.70890268776838,0.0545023558561742,-0.371103315134913,-0.207169986190233,1.08155833591988,-2.12525934141333,0.451933031642625,-0.0567649476268529,0,0,0
"Saraf",1.0960229367087,-0.031599684273273,0.103362998690685,-0.370950872738768,0.516386513189513,-0.074293935573335,-0.190921443821887,-0.194869558181364,-0.103665953369495,0.0299711343581253,-0.234266651058159,0.338866140393921,-1.30862591100054,-3.92901079035311,0.210666896675979
"Qrfp",0,2.80786833364752,0,3.82556816221716,0,4.42503991376975,3.26429595782419,5.84981677881075,4.73265436365304,0,2.88936424326968,1.61932740039444,0,0,0
"Cd55",-0.39811808434146,0.94480800066005,4.47369160997044,1.24283934778328,-4.2326804058657,0.197453788514012,1.39020581071023,2.96191411784188,0.330590131297785,0.802100580481842,1.81246976470346,1.13476062761091,1.30258550156116,3.34127212892633,-5.80467402989222
