"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Tgfb1",0.0599686743870678,0.643971631896114,2.06204506872864,0.337744355172926,-0.073078399510159,0.296753927954723,0.369237802677612,0.303622438453179,0.260463236874762,0.124282582644593,0.266545923703556,0.280258890453599,0.150010651600666,0.701205973993586,-0.472417891367678
"Il4",0.505015195675726,0.911636544263924,0,1.55387049121139,-2.44627317497966,-1.93730813789895,0.463614862052827,0.988921481748521,1.16599238060129,0.961461348905002,1.849526120134,1.78039921173581,0.169850395731479,0,0
"Bmp7",0,2.85545985838068,0,3.2894012841736,0,3.87327212582912,3.11040229341625,0,0,0,1.90549550903553,1.97943168874941,0,0,0
"Inhba",0,-3.21756116814061,0,3.7066689251261,0,-1.37621003586446,-0.307416185750463,3.9229757221452,0,-1.11360999499766,5.49082103389378,0,0,0,0
"Mpdz",-5.1084412067483,2.34320497227396,0,2.96601777888299,0,3.87327212582912,4.01891862352258,3.9229757221452,4.73265436365304,0,1.39059618259642,1.10946328326105,0,3.34127212892633,0
"Gdf11",-2.94478384535505,-1.7385493430467,0,-0.158262909734323,-2.44627317497966,0,-0.219282855234952,-0.224380686144611,3.25232972469285,0,0.66694589513283,-0.0567649476268529,-2.88041469336559,0,1.15737536260443
"Pf4",4.34187993779247,-0.664016835907938,-2.56784509030297,0.704533483954862,3.01630111103778,0.816052574626487,2.35899244458044,3.09615536352734,2.92434204892942,-0.0744585173209347,1.38860651364399,-0.431130457183001,-3.94484096837296,3.34127212892633,1.69416007916511
"Mcam",0,4.99441455939427,0,3.7066689251261,0,-0.445522356702624,3.21361888864265,3.9229757221452,0,1.5845018923817,3.1970406257335,2.56180146808443,0,0,0
"Angptl3",0,-0.0604248498514929,0,-0.635887152183494,5.34164774334582,-0.328287531776663,-0.253988804796515,-0.755714342695145,-1.37157473807294,0,-0.536792369254569,0.331204271927177,-2.88041469336559,0,0
"Zdhhc5",2.40242822730129,-0.139797545106146,2.00010674058592,-0.191086720526204,-5.98415401964075,-0.0289384228257201,-0.165597564678724,-0.238680549148494,-0.279435821153759,0.0579700128231494,-0.022895504253676,0.0608333707436288,-0.146273523259287,1.24753493056172,-5.04538559963636
"Mmp14",-0.949290381003465,-0.084422148411453,0,1.97461157612145,0,4.82318917840015,0.284403055998829,-0.928407754487914,0.0156948720383718,4.15678106900672,1.17052302267594,1.56503493621171,0,0,5.03747395663379
"Ltbp1",-3.84791712537224,1.54901788031968,0,7.59916925495999,0,1.40916102939803,2.27048118429866,1.70246037052094,2.44519190458556,-4.85040079825385,1.58149936441848,0.965503696924394,-2.88041469336559,0,0
"Matn1",0,-1.37077423289274,0,0,5.34164774334582,0,0,0,0,0,-2.70077482058744,0.169671700489236,0,0,0
"Cd33",1.99915621672589,1.34129102346857,0,0.356832403892437,-5.19379192932833,1.06500075341437,1.32298324793628,1.16025862655312,4.17457138656434,0.517173157777558,1.13933359565084,5.14286738719414,0.676540044740697,-3.92901079035311,3.53645464056944
"Podxl",5.92031234510775,3.29797336205221,0,3.85064826025234,0,5.60853605542457,2.21945592277937,7.15665712565361,3.40988355314106,2.07162939587666,5.98350504314949,1.70230522202231,5.46195867430668,3.34127212892633,0
"Hp",-3.96650763418853,0.923555434657989,0,-0.70800157082598,1.14295552240526,0.3393018084993,0.0462587216440353,-0.127589907413523,2.71006520737286,0.472171664852338,0.82873424674732,0.536654355164188,-0.235952453816807,0,6.0153409265682
"Tgm2",4.3822245428599,0.616294322238881,0,1.53828173329397,0,2.9685057922995,2.53496373398827,3.9229757221452,0.784051364937015,-1.2386970453231,3.26291104850803,2.08905560080642,-2.88041469336559,0,0
"Sema4c",-2.94478384535505,-1.48244468375555,0,-0.79094705892846,-5.00676693988938,3.87327212582912,-0.123497388064385,-4.85138347663311,0,-3.89956371468429,-0.836841751658638,-1.49794663622616,0,3.34127212892633,0
"Ccl3",0,-1.05730560269308,7.41572704897466,-1.4368003404086,0,0,0.0857938424475588,1.84055678098301,0,-1.17442225784377,-0.357205524947719,0,0,0,0
"Ifitm6",5.66203454110179,1.28973035858747,0,-0.428270032774669,-0.651147281938129,-1.16699845287956,0.287555859562825,0.343251248881851,5.13347685517353,0.756268938057438,1.74897138119699,1.22848325529359,0,0,0
"Cd44",-0.4286022294912,0.133977416845852,-4.93429890690649,0.437058138297055,-1.030349795171,-0.322249303815575,0.222019340421816,0.111828233867419,0.076800103389015,-0.243679873059396,-0.106303507390005,-0.143372403159037,0.669068290294318,-2.38452408930418,0.460144975924349
"Cfh",-5.58186980560014,0,0,-2.80447390050054,1.54915947602803,0,0,0,-3.09301305064446,0,1.77366175423432,-5.47186415447757,0,0,5.03747395663379
"Csf1",-6.66525102671237,-0.495671417829947,0,0.404842936580661,-3.84299813854765,1.96278742965506,0.484003311106769,0.302769498022123,3.25232972469285,0.676210142244375,0.836890956509195,-0.636237418518828,0.316085035206581,0,0.767043826856626
"Ncam1",-2.94478384535505,-4.13785274907486,0,-6.59658578774995,0,-3.76454044368295,-3.1052576388119,-2.19968321973472,-3.09301305064446,-4.85497317275902,-2.35470645004536,0,-6.27357948737569,0,0
"Alox5ap",2.77825035892638,0.484852816603305,-3.98072856217761,-0.0921798280398585,-0.405160615116957,-0.099996695355635,-0.109163210654128,0.0311328466028,1.48782322216422,0.613058048084353,0.263269652431197,0.284290609635858,-0.395191554193848,-0.730241793251681,1.64233672724012
"Ang",3.44979904103078,-2.15671583995693,0,-1.5974006936023,2.03420056144927,-0.381351784358666,0.841683597726599,-0.0936693952403405,0,5.33219792174193,0.836566280767479,-0.798181939609241,0,3.34127212892633,2.55858767063504
"Tnf",-2.94478384535505,-2.27881076711621,0,-0.30893876004107,3.01630111103778,-2.73541983025007,0.0957162949521991,0.243773044798653,1.63964131300859,0.621643076047083,-0.122067691876824,-0.903082644189841,0,0,0
"Reck",-2.94478384535505,0.883623623295161,-2.56784509030297,0.340807308139994,0,1.40691190577688,0.498115125368077,1.32395058381583,-4.0058963895405,-0.41536764966347,0.0692591213461502,0.423254042350046,5.05779050725816,0,0
"Psen1",-4.39908942203424,0.0898734086984279,-4.6806707400166,0.206012167835036,0.623299463168765,0.580354990423833,0.0155198417753602,-0.286756692989899,0.0921565151332945,-0.381465077422576,-0.0858634024406533,-0.00520587457410015,-0.967097085682605,-0.587738661426785,0.207217758479761
"Tcn2",0.86510421435728,-0.0788791262194706,-3.44074796185724,0.37200123605446,-5.00676693988938,-0.122441109039381,0.200160717729003,0.362768004565139,1.43024180761313,0.0477085138057929,0.595826013430228,0.961792472035067,-0.388485654332738,0,1.15737536260443
