"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Tgfb1",0.0599686743870678,0.643971631896114,2.06204506872864,0.337744355172926,-0.073078399510159,0.296753927954723,0.369237802677612,0.303622438453179,0.260463236874762,0.124282582644593,0.266545923703556,0.280258890453599,0.150010651600666,0.701205973993586,-0.472417891367678
"Il4",0.505015195675726,0.911636544263924,0,1.55387049121139,-2.44627317497966,-1.93730813789895,0.463614862052827,0.988921481748521,1.16599238060129,0.961461348905002,1.849526120134,1.78039921173581,0.169850395731479,0,0
"Pf4",4.34187993779247,-0.664016835907938,-2.56784509030297,0.704533483954862,3.01630111103778,0.816052574626487,2.35899244458044,3.09615536352734,2.92434204892942,-0.0744585173209347,1.38860651364399,-0.431130457183001,-3.94484096837296,3.34127212892633,1.69416007916511
"Gdf11",-2.94478384535505,-1.7385493430467,0,-0.158262909734323,-2.44627317497966,0,-0.219282855234952,-0.224380686144611,3.25232972469285,0,0.66694589513283,-0.0567649476268529,-2.88041469336559,0,1.15737536260443
"Tnf",-2.94478384535505,-2.27881076711621,0,-0.30893876004107,3.01630111103778,-2.73541983025007,0.0957162949521991,0.243773044798653,1.63964131300859,0.621643076047083,-0.122067691876824,-0.903082644189841,0,0,0
"Mpdz",-5.1084412067483,2.34320497227396,0,2.96601777888299,0,3.87327212582912,4.01891862352258,3.9229757221452,4.73265436365304,0,1.39059618259642,1.10946328326105,0,3.34127212892633,0
"Tgm2",4.3822245428599,0.616294322238881,0,1.53828173329397,0,2.9685057922995,2.53496373398827,3.9229757221452,0.784051364937015,-1.2386970453231,3.26291104850803,2.08905560080642,-2.88041469336559,0,0
"Hbegf",0,1.48659784344931,0,1.27515861701357,3.59524743520017,1.34400618152591,0.572382781916686,1.22851382037638,0.553064649731962,-0.287859961753545,0.865961767699492,0.156472458764742,3.55695473810629,0,0
"Zdhhc5",2.40242822730129,-0.139797545106146,2.00010674058592,-0.191086720526204,-5.98415401964075,-0.0289384228257201,-0.165597564678724,-0.238680549148494,-0.279435821153759,0.0579700128231494,-0.022895504253676,0.0608333707436288,-0.146273523259287,1.24753493056172,-5.04538559963636
"Ccl3",0,-1.05730560269308,7.41572704897466,-1.4368003404086,0,0,0.0857938424475588,1.84055678098301,0,-1.17442225784377,-0.357205524947719,0,0,0,0
"Bmp7",0,2.85545985838068,0,3.2894012841736,0,3.87327212582912,3.11040229341625,0,0,0,1.90549550903553,1.97943168874941,0,0,0
"Inhba",0,-3.21756116814061,0,3.7066689251261,0,-1.37621003586446,-0.307416185750463,3.9229757221452,0,-1.11360999499766,5.49082103389378,0,0,0,0
"Ifitm6",5.66203454110179,1.28973035858747,0,-0.428270032774669,-0.651147281938129,-1.16699845287956,0.287555859562825,0.343251248881851,5.13347685517353,0.756268938057438,1.74897138119699,1.22848325529359,0,0,0
"Angptl3",0,-0.0604248498514929,0,-0.635887152183494,5.34164774334582,-0.328287531776663,-0.253988804796515,-0.755714342695145,-1.37157473807294,0,-0.536792369254569,0.331204271927177,-2.88041469336559,0,0
"Csf1",-6.66525102671237,-0.495671417829947,0,0.404842936580661,-3.84299813854765,1.96278742965506,0.484003311106769,0.302769498022123,3.25232972469285,0.676210142244375,0.836890956509195,-0.636237418518828,0.316085035206581,0,0.767043826856626
"Cd33",1.99915621672589,1.34129102346857,0,0.356832403892437,-5.19379192932833,1.06500075341437,1.32298324793628,1.16025862655312,4.17457138656434,0.517173157777558,1.13933359565084,5.14286738719414,0.676540044740697,-3.92901079035311,3.53645464056944
"Il1rn",-4.94243290174054,3.12417717661389,0,-5.61141677798902,0,-4.90581393019845,0,3.9229757221452,0,-0.680053618286519,-1.46228414974319,0,0,0,0
"Wnt4",3.44979904103078,-0.47211328153628,0,-0.249134832571694,-2.44627317497966,-1.03254180436932,-0.877254998059445,0.320438823453459,-0.38603904829554,0.481797123488083,-2.826170099759,6.1223047646707,0,0,2.55858767063504
"Ang",3.44979904103078,-2.15671583995693,0,-1.5974006936023,2.03420056144927,-0.381351784358666,0.841683597726599,-0.0936693952403405,0,5.33219792174193,0.836566280767479,-0.798181939609241,0,3.34127212892633,2.55858767063504
"Il1b",5.92031234510775,0.0204056639417674,0,0.405591114957636,5.34164774334582,0,0.0857938424475588,-2.71666981393719,0.159316674048394,1.53513555022911,3.1249820493405,-3.65048956951349,0,0,0
"Orm1",0,3.12417717661389,0,0.902195024625562,0,-1.03254180436932,1.00586116076878,3.9229757221452,1.08155833591988,0.287874870174687,-2.70077482058744,0,0,0,0
"Bgn",-9.08658144042458,-1.7982981818739,0,-2.03283744510465,0,0,-2.35462519258748,3.9229757221452,-3.09301305064446,0,-8.78502996947406,-0.2659314539626,0,0,7.00414576306844
"Hp",-3.96650763418853,0.923555434657989,0,-0.70800157082598,1.14295552240526,0.3393018084993,0.0462587216440353,-0.127589907413523,2.71006520737286,0.472171664852338,0.82873424674732,0.536654355164188,-0.235952453816807,0,6.0153409265682
"Mag",4.3822245428599,-1.01367557246097,0,3.7066689251261,0,-0.445522356702624,1.96417028743994,-3.60253689869174,0,-4.85040079825385,0.397870660619809,2.56180146808443,0,0,0
"Mcam",0,4.99441455939427,0,3.7066689251261,0,-0.445522356702624,3.21361888864265,3.9229757221452,0,1.5845018923817,3.1970406257335,2.56180146808443,0,0,0
"Egf",0,0.114562037567231,0,-0.0769655106977225,-2.44627317497966,0.702722125226126,-0.117067855391118,1.57503320812662,-0.365376732746494,-0.287859961753545,0.312914448178935,2.84336004034606,-2.88041469336559,-3.02074757456305,0
"Cd44",-0.4286022294912,0.133977416845852,-4.93429890690649,0.437058138297055,-1.030349795171,-0.322249303815575,0.222019340421816,0.111828233867419,0.076800103389015,-0.243679873059396,-0.106303507390005,-0.143372403159037,0.669068290294318,-2.38452408930418,0.460144975924349
"Sema4c",-2.94478384535505,-1.48244468375555,0,-0.79094705892846,-5.00676693988938,3.87327212582912,-0.123497388064385,-4.85138347663311,0,-3.89956371468429,-0.836841751658638,-1.49794663622616,0,3.34127212892633,0
"Tnfsf13b",-2.94478384535505,-0.501898761419588,0,0.00970494777820166,-3.30744718189654,-4.34471582816396,-0.829228850729692,-0.224380686144611,1.08155833591988,-2.40960665495616,0.0885392800948842,4.36581710780556,0,0,0
"Ncam1",-2.94478384535505,-4.13785274907486,0,-6.59658578774995,0,-3.76454044368295,-3.1052576388119,-2.19968321973472,-3.09301305064446,-4.85497317275902,-2.35470645004536,0,-6.27357948737569,0,0
