"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Psap",1.04597811605451,0.14948812583076,-5.7871593442059,0.135743424646282,-0.29262621134738,0.0145512730487315,0.336698598511861,0.232972489521338,0.121149898069316,0.264140585135305,0.779860308583808,0.231850466191917,1.21038980912768,-1.06422229862101,0.857527234738954
"Cd59a",4.3822245428599,0.939623634699711,0,1.66348260245963,-3.84299813854765,1.67453023083724,1.36882425761659,1.39428176946071,0.979682917046671,0.924797051664317,1.19833400470617,1.46797196442718,0.425539406797345,3.34127212892633,0
"Cd59b",0,-0.26015427920056,0,0.340807308139994,0,-0.0826247517982968,0.674532724074928,2.27906027646992,-0.0501793008283664,-0.287859961753545,0.745064531440476,0.401350562273424,-2.88041469336559,0,0
"Cxcl12",-11.377612874772,-6.24258676486021,0,-7.11560353432019,-2.44627317497966,0,-4.99840526892115,-3.60253689869174,3.25232972469285,0,-11.3090193108255,-1.06986403175916,0,0,9.8018351974978
"Sema4c",-2.94478384535505,-1.48244468375555,0,-0.79094705892846,-5.00676693988938,3.87327212582912,-0.123497388064385,-4.85138347663311,0,-3.89956371468429,-0.836841751658638,-1.49794663622616,0,3.34127212892633,0
"Egf",0,0.114562037567231,0,-0.0769655106977225,-2.44627317497966,0.702722125226126,-0.117067855391118,1.57503320812662,-0.365376732746494,-0.287859961753545,0.312914448178935,2.84336004034606,-2.88041469336559,-3.02074757456305,0
"Psen1",-4.39908942203424,0.0898734086984279,-4.6806707400166,0.206012167835036,0.623299463168765,0.580354990423833,0.0155198417753602,-0.286756692989899,0.0921565151332945,-0.381465077422576,-0.0858634024406533,-0.00520587457410015,-0.967097085682605,-0.587738661426785,0.207217758479761
"Npnt",0,0.210978462285145,0,3.7066689251261,0,0,0,0,0,0,3.96863822111455,-1.52825375668172,0,0,5.03747395663379
"Spp1",-2.06859102140343,-1.97210667870446,0,-1.94625178128335,1.21611268112717,-1.19835973069157,-1.16982704662799,-0.951558884811607,0.159316674048394,-2.58030082976857,-0.907066488240275,-1.94220904629467,0,4.26828250512477,0
"Tgm2",4.3822245428599,0.616294322238881,0,1.53828173329397,0,2.9685057922995,2.53496373398827,3.9229757221452,0.784051364937015,-1.2386970453231,3.26291104850803,2.08905560080642,-2.88041469336559,0,0
"Lgals3bp",-0.4286022294912,0.321727637717846,-0.676243229235251,0.450347988476154,2.84299506618515,0.47892278388414,0.592843684018423,0.65140637910627,0.37905207851048,1.00067533655545,0.65679653390873,0.340139363090116,0.99986423060721,3.34127212892633,-2.47888628599875
"Tgfb1",0.0599686743870678,0.643971631896114,2.06204506872864,0.337744355172926,-0.073078399510159,0.296753927954723,0.369237802677612,0.303622438453179,0.260463236874762,0.124282582644593,0.266545923703556,0.280258890453599,0.150010651600666,0.701205973993586,-0.472417891367678
"Alox5ap",2.77825035892638,0.484852816603305,-3.98072856217761,-0.0921798280398585,-0.405160615116957,-0.099996695355635,-0.109163210654128,0.0311328466028,1.48782322216422,0.613058048084353,0.263269652431197,0.284290609635858,-0.395191554193848,-0.730241793251681,1.64233672724012
"Cfh",-5.58186980560014,0,0,-2.80447390050054,1.54915947602803,0,0,0,-3.09301305064446,0,1.77366175423432,-5.47186415447757,0,0,5.03747395663379
"Hp",-3.96650763418853,0.923555434657989,0,-0.70800157082598,1.14295552240526,0.3393018084993,0.0462587216440353,-0.127589907413523,2.71006520737286,0.472171664852338,0.82873424674732,0.536654355164188,-0.235952453816807,0,6.0153409265682
"Gdf3",0,0.0230051807695171,0,0.804374037445767,0,-0.704958071465097,-0.0710559663310998,-0.450218862512725,-0.0183905523437647,5.6867878505405,0.496603632069415,-0.536580022451037,-1.03134673077061,4.82807079842466,0
"Angptl6",0,-0.0654780724744245,-2.56784509030297,-0.0816404003262986,-4.79183407491124,0.157550257120393,0.0367440531603074,0.0461739777394118,-0.083619889717178,0.961461348905002,-0.105672338665988,-0.457447721011923,-4.32846688245379,0,0
"Mmp9",3.55252831361056,1.02656612765927,0,1.29674502030789,-5.64243311038167,-3.17624158619362,1.5631640369756,3.9229757221452,0.744982006493593,0.299251583533705,3.89363378295223,5.49633468624685,0,0,0
"Gpc3",0,2.85322346133606,0,1.88584939738746,0,1.62584491308282,1.53785085153761,1.85610840681347,1.69936812234498,1.62079588302103,1.69980194393417,0.873700764676392,2.25700016976091,0,0
