"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Pf4",4.34187993779247,-0.664016835907938,-2.56784509030297,0.704533483954862,3.01630111103778,0.816052574626487,2.35899244458044,3.09615536352734,2.92434204892942,-0.0744585173209347,1.38860651364399,-0.431130457183001,-3.94484096837296,3.34127212892633,1.69416007916511
"Ccl9",0.0519191994770466,-1.44764380384801,0,-0.697187423395878,4.3544443775736,-0.0841901502265077,-0.196271845284227,-0.204049924885166,-1.25933013061356,-1.83477141542657,0.149115841602058,-0.195979469150437,-1.16714276842306,-3.92901079035311,-3.34331387746869
"Ccl6",3.79258811012272,2.51653213082411,0,-0.46489666539015,1.07735329322007,-0.357133453373134,-0.650682614076175,0.237670387699492,0.726757974112542,1.28012767534568,1.9376532172117,-0.138193406573533,-0.99325894111589,0,-2.47888628599875
"Tgfb1",0.0599686743870678,0.643971631896114,2.06204506872864,0.337744355172926,-0.073078399510159,0.296753927954723,0.369237802677612,0.303622438453179,0.260463236874762,0.124282582644593,0.266545923703556,0.280258890453599,0.150010651600666,0.701205973993586,-0.472417891367678
"Gdf11",-2.94478384535505,-1.7385493430467,0,-0.158262909734323,-2.44627317497966,0,-0.219282855234952,-0.224380686144611,3.25232972469285,0,0.66694589513283,-0.0567649476268529,-2.88041469336559,0,1.15737536260443
"Mcam",0,4.99441455939427,0,3.7066689251261,0,-0.445522356702624,3.21361888864265,3.9229757221452,0,1.5845018923817,3.1970406257335,2.56180146808443,0,0,0
"Mmp14",-0.949290381003465,-0.084422148411453,0,1.97461157612145,0,4.82318917840015,0.284403055998829,-0.928407754487914,0.0156948720383718,4.15678106900672,1.17052302267594,1.56503493621171,0,0,5.03747395663379
"Il2",0,0.135673280683581,0,0.376057794259468,-2.44627317497966,0.492222171118348,0.287555859562825,0.465050216399317,0.00914341785998256,2.72514145684052,-0.170827044918712,0.327535716485711,-0.222014422827208,0.320524554363278,0
"Ltbp1",-3.84791712537224,1.54901788031968,0,7.59916925495999,0,1.40916102939803,2.27048118429866,1.70246037052094,2.44519190458556,-4.85040079825385,1.58149936441848,0.965503696924394,-2.88041469336559,0,0
"Bmp7",0,2.85545985838068,0,3.2894012841736,0,3.87327212582912,3.11040229341625,0,0,0,1.90549550903553,1.97943168874941,0,0,0
"Col18a1",0,3.2546443589879,0,5.49839824395069,0,5.96452023164417,1.08252957668189,7.0057770703878,2.86213259770175,5.33219792174193,5.63653789947159,2.34711031845272,0,4.26828250512477,0
"Clec2i",0,1.16487611485459,-7.26496958664407,-0.15285756005856,2.03601105904421,0.218060331273083,-0.268566586293162,0.0432198014410574,4.73265436365304,1.54105249219295,-0.263375303863848,1.13006138048418,0.899368462970941,-3.02074757456305,-5.04538559963636
"S100a4",8.52470466915988,0.924984724081188,0.799964496697523,1.47140159350428,0.992697306056434,-0.471443702334833,1.33720099805065,-0.454502888742806,-3.09301305064446,0,2.0447322379994,0.553778706327189,-2.88041469336559,3.34127212892633,0
