"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Il2",0,0.135673280683581,0,0.376057794259468,-2.44627317497966,0.492222171118348,0.287555859562825,0.465050216399317,0.00914341785998256,2.72514145684052,-0.170827044918712,0.327535716485711,-0.222014422827208,0.320524554363278,0
"Clec2i",0,1.16487611485459,-7.26496958664407,-0.15285756005856,2.03601105904421,0.218060331273083,-0.268566586293162,0.0432198014410574,4.73265436365304,1.54105249219295,-0.263375303863848,1.13006138048418,0.899368462970941,-3.02074757456305,-5.04538559963636
"Sema5a",-4.39908942203424,-3.21756116814061,0,0,0,0,0,0,0,0,-4.12965641185814,0,0,0,2.55858767063504
"Clec2d",-0.529098753991741,0.414154114589492,-0.391236827173158,0.127367556243354,0.753239575301342,-0.389869680609692,-0.160504569710642,-0.199529349815322,0.580428293477812,0.188968126044126,-0.545176470239912,0.312312687079326,-0.409886611077762,-0.764212403057972,0.692067023082209
"Il12a",1.43744069750485,2.29626624780853,0,0.981275808326967,-4.2326804058657,-0.229400981209287,0.0928824159290918,0.445675971929386,4.64466901743203,0.449078571545595,-0.279719153660664,0.9366782555481,-1.12981442137122,-4.48205062438162,2.39722072246569
"Icam1",0.534307417487666,0.876898641205377,1.0329436481132,0.435407842442712,1.40811336201022,0.476790795200714,0.361090923711006,0.52116171646505,1.9178049106598,-1.02624456891151,0.363087576408201,0.410262541465033,0.729323624804366,-1.1407784954553,-4.57732898070944
"Bmp7",0,2.85545985838068,0,3.2894012841736,0,3.87327212582912,3.11040229341625,0,0,0,1.90549550903553,1.97943168874941,0,0,0
"Psap",1.04597811605451,0.14948812583076,-5.7871593442059,0.135743424646282,-0.29262621134738,0.0145512730487315,0.336698598511861,0.232972489521338,0.121149898069316,0.264140585135305,0.779860308583808,0.231850466191917,1.21038980912768,-1.06422229862101,0.857527234738954
"Gdf11",-2.94478384535505,-1.7385493430467,0,-0.158262909734323,-2.44627317497966,0,-0.219282855234952,-0.224380686144611,3.25232972469285,0,0.66694589513283,-0.0567649476268529,-2.88041469336559,0,1.15737536260443
"Apoa1",4.3822245428599,0.0322601413519751,0,0.902195024625562,0,0,1.5631640369756,0,1.15821471433098,0,-3.58532552485825,3.97391751825142,0,0,0
"Ccl3",0,-1.05730560269308,7.41572704897466,-1.4368003404086,0,0,0.0857938424475588,1.84055678098301,0,-1.17442225784377,-0.357205524947719,0,0,0,0
"Apoe",2.43408451237766,0.998319943153724,0.492963047792828,1.25676588912808,3.79885409232219,0.706437794201323,1.33066703175416,1.61700184978849,1.63714314361027,0.70567577138644,2.19138168139326,1.21695450889859,0.144256867466418,8.44348005986183,-3.49993173999626
"Il4",0.505015195675726,0.911636544263924,0,1.55387049121139,-2.44627317497966,-1.93730813789895,0.463614862052827,0.988921481748521,1.16599238060129,0.961461348905002,1.849526120134,1.78039921173581,0.169850395731479,0,0
"Ccl2",-2.94478384535505,3.79779317984771,0,5.32614480185668,0,3.87327212582912,7.5163967265495,5.84981677881075,3.25232972469285,5.11576177832508,4.13049661117216,1.6330071014118,0,0,0
"Plxna1",0.505015195675726,0.649780868804297,0,1.64375862110888,0,0.0822938601260477,0.912929455555962,-0.224380686144611,-0.262271274533878,3.61170375293074,0.493814239771731,-0.0214416944142475,5.05779050725816,0,-3.34331387746869
"Cfh",-5.58186980560014,0,0,-2.80447390050054,1.54915947602803,0,0,0,-3.09301305064446,0,1.77366175423432,-5.47186415447757,0,0,5.03747395663379
"Gp1ba",0,1.03094604710064,0,-0.34073387076677,0,3.87327212582912,1.9173619191742,1.20630590820801,0.354268669662748,-0.287859961753545,2.37187986918169,1.61011839256529,3.55695473810629,0,0
"Ltbp1",-3.84791712537224,1.54901788031968,0,7.59916925495999,0,1.40916102939803,2.27048118429866,1.70246037052094,2.44519190458556,-4.85040079825385,1.58149936441848,0.965503696924394,-2.88041469336559,0,0
"Col6a2",-5.58186980560014,0,0,-2.80447390050054,0,0,0,0,0,0,-4.52394076178028,0,0,0,6.59284964585196
"Wnt10b",0,-1.97210667870446,0,0,0,0,0,-2.71666981393719,0,0,-4.83327214230521,0,0,0,6.0153409265682
