"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Cd59b",0,-0.26015427920056,0,0.340807308139994,0,-0.0826247517982968,0.674532724074928,2.27906027646992,-0.0501793008283664,-0.287859961753545,0.745064531440476,0.401350562273424,-2.88041469336559,0,0
"Cd59a",4.3822245428599,0.939623634699711,0,1.66348260245963,-3.84299813854765,1.67453023083724,1.36882425761659,1.39428176946071,0.979682917046671,0.924797051664317,1.19833400470617,1.46797196442718,0.425539406797345,3.34127212892633,0
"Psen1",-4.39908942203424,0.0898734086984279,-4.6806707400166,0.206012167835036,0.623299463168765,0.580354990423833,0.0155198417753602,-0.286756692989899,0.0921565151332945,-0.381465077422576,-0.0858634024406533,-0.00520587457410015,-0.967097085682605,-0.587738661426785,0.207217758479761
"Tgfb1",0.0599686743870678,0.643971631896114,2.06204506872864,0.337744355172926,-0.073078399510159,0.296753927954723,0.369237802677612,0.303622438453179,0.260463236874762,0.124282582644593,0.266545923703556,0.280258890453599,0.150010651600666,0.701205973993586,-0.472417891367678
"Enho",-2.94478384535505,1.16940956852863,0,1.16345288556441,2.89537456836615,-3.41402814900213,-3.12782504619509,0,-3.09301305064446,4.15678106900672,1.20252260922011,3.43414648261994,0,-3.02074757456305,0
"Nectin4",3.44979904103078,-0.935324447256715,0,-0.883150314694609,0,-0.471443702334833,-0.464648353667107,-2.71666981393719,0,0,-0.452083054738124,0.0244705317692791,-2.88041469336559,0,0
"Mmp25",0,0,0,0,0,-3.41402814900213,0,0,0,0.182720836191068,-2.70077482058744,0,0,0,0
"Cd96",0,-5.18179770318845,1.90584651966747,-3.29468509959008,-3.30744718189654,0,-5.31127818886999,-4.14735640828981,-2.2773844398082,0,-2.8664853670845,-4.21235342996125,0,0,0
"Ltbp1",-3.84791712537224,1.54901788031968,0,7.59916925495999,0,1.40916102939803,2.27048118429866,1.70246037052094,2.44519190458556,-4.85040079825385,1.58149936441848,0.965503696924394,-2.88041469336559,0,0
"Sema4d",1.0960229367087,0.645419349769384,1.0329436481132,0.226131015854465,-0.583147711435326,0.0353626895691549,0.0964474142987172,0.110603525605458,0.22234810025112,-0.0882891519594939,-0.404449071301444,0.34649708980328,1.31052971585935,0.353043915082759,-5.23255931609955
"Ibsp",-7.70520146591123,-3.21756116814061,0,0,0,0,0,0,0,0,0,0,0,0,5.03747395663379
