"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Il4",0.505015195675726,0.911636544263924,0,1.55387049121139,-2.44627317497966,-1.93730813789895,0.463614862052827,0.988921481748521,1.16599238060129,0.961461348905002,1.849526120134,1.78039921173581,0.169850395731479,0,0
"Ifitm6",5.66203454110179,1.28973035858747,0,-0.428270032774669,-0.651147281938129,-1.16699845287956,0.287555859562825,0.343251248881851,5.13347685517353,0.756268938057438,1.74897138119699,1.22848325529359,0,0,0
"Ccl25",0.505015195675726,-0.0752534015862216,0,0.111753783563933,-4.2326804058657,-0.634719165584217,0.0218034408670921,0.148682548099982,0.296480810384134,0.0806893349293866,-0.123031323312487,0.189709083399752,-0.610295863393894,-3.02074757456305,1.15737536260443
"Cd59b",0,-0.26015427920056,0,0.340807308139994,0,-0.0826247517982968,0.674532724074928,2.27906027646992,-0.0501793008283664,-0.287859961753545,0.745064531440476,0.401350562273424,-2.88041469336559,0,0
"Cd59a",4.3822245428599,0.939623634699711,0,1.66348260245963,-3.84299813854765,1.67453023083724,1.36882425761659,1.39428176946071,0.979682917046671,0.924797051664317,1.19833400470617,1.46797196442718,0.425539406797345,3.34127212892633,0
"Ccl3",0,-1.05730560269308,7.41572704897466,-1.4368003404086,0,0,0.0857938424475588,1.84055678098301,0,-1.17442225784377,-0.357205524947719,0,0,0,0
"Adam17",-0.164501144667358,-0.116081992225915,-4.37273800404989,-0.669108366751153,-0.469320403764055,-0.175564863364545,-0.20274362743539,-0.381635608231366,-0.0846892869347477,-0.274214969235878,-0.113214043980286,-0.28484267305648,0.525118320745234,0.33927171477166,-6.45809849762777
"Cd14",6.49731215896561,1.01500107363329,0,2.26321308650615,0,1.081336123675,1.64232962993815,0.755177998878773,3.25232972469285,3.50444975350447,1.59535461145245,4.36581710780556,3.55695473810629,0,0
"Hp",-3.96650763418853,0.923555434657989,0,-0.70800157082598,1.14295552240526,0.3393018084993,0.0462587216440353,-0.127589907413523,2.71006520737286,0.472171664852338,0.82873424674732,0.536654355164188,-0.235952453816807,0,6.0153409265682
"Tnf",-2.94478384535505,-2.27881076711621,0,-0.30893876004107,3.01630111103778,-2.73541983025007,0.0957162949521991,0.243773044798653,1.63964131300859,0.621643076047083,-0.122067691876824,-0.903082644189841,0,0,0
