"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Tgfb1",0.0599686743870678,0.643971631896114,2.06204506872864,0.337744355172926,-0.073078399510159,0.296753927954723,0.369237802677612,0.303622438453179,0.260463236874762,0.124282582644593,0.266545923703556,0.280258890453599,0.150010651600666,0.701205973993586,-0.472417891367678
"Ltbp1",-3.84791712537224,1.54901788031968,0,7.59916925495999,0,1.40916102939803,2.27048118429866,1.70246037052094,2.44519190458556,-4.85040079825385,1.58149936441848,0.965503696924394,-2.88041469336559,0,0
"S100a9",1.6601288585754,2.01950035825808,2.5739553909724,1.28700293310343,-4.77112216913963,-1.06778659682755,1.41920506363856,1.80161727313765,4.47447719599996,0.272996696991474,4.61419639868153,1.39175870304467,2.00511415851028,1.06252526209989,1.36029032975241
"Cd14",6.49731215896561,1.01500107363329,0,2.26321308650615,0,1.081336123675,1.64232962993815,0.755177998878773,3.25232972469285,3.50444975350447,1.59535461145245,4.36581710780556,3.55695473810629,0,0
"Kng1",-3.84791712537224,0,0,0,0,0,0,0,0,0,-5.49224031882831,0,0,0,5.03747395663379
"Il4",0.505015195675726,0.911636544263924,0,1.55387049121139,-2.44627317497966,-1.93730813789895,0.463614862052827,0.988921481748521,1.16599238060129,0.961461348905002,1.849526120134,1.78039921173581,0.169850395731479,0,0
"Tgm2",4.3822245428599,0.616294322238881,0,1.53828173329397,0,2.9685057922995,2.53496373398827,3.9229757221452,0.784051364937015,-1.2386970453231,3.26291104850803,2.08905560080642,-2.88041469336559,0,0
"S100a8",2.10813229284746,2.17898366701789,2.8730096121402,1.24150988035131,-4.98660227933228,-0.242710566924873,0.895729350893098,1.30438052499345,4.84205944698257,0.137249950954264,4.60441592944308,1.56676886145203,1.54783157450534,3.34127212892633,3.24953576838328
"Anxa1",-2.89707316645752,-1.34786462194417,-3.98072856217761,-0.555189276897568,-0.847189922777767,0.953300703953316,0.36515503530278,-0.118327447044227,2.85025307041696,0.426341675341806,0.03748370161358,-0.369530244204883,-0.065875726535904,0,-6.1214308017658
"Ppbp",0,2.96852226683948,0,4.07093046658063,0,2.9685057922995,2.94286417805148,3.13314696487356,6.19150886519929,-1.42188125494108,6.53258969560989,1.24543430443424,0,0,0
"Timp2",0.970620940945665,-0.591575262466208,-2.56784509030297,-0.12159691951791,-3.84299813854765,-1.03625477804694,-0.269284537799762,0.135906854188712,-1.25855954568691,0.52187979324434,0.442026304337047,-1.58789959719124,-0.496253843184365,3.34127212892633,1.15737536260443
"Apoa1",4.3822245428599,0.0322601413519751,0,0.902195024625562,0,0,1.5631640369756,0,1.15821471433098,0,-3.58532552485825,3.97391751825142,0,0,0
