"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Itgam",2.40242822730129,-0.753511608311692,0,-0.393348830572655,1.14076719634079,-0.960566915990029,-0.487713774503104,0.698166080339232,5.70526451188547,-0.202920198005827,0.76273625966421,6.01698174799669,-0.222014422827208,-3.92901079035311,0
"Lamb3",3.44979904103078,-1.2030157461026,-2.56784509030297,-1.30736907436715,-3.30744718189654,-0.290106468148585,-0.798440477332358,-1.7012003090983,3.25232972469285,1.21619806364079,-1.35951740010711,-0.798181939609241,0.676540044740697,-3.02074757456305,-4.83025619815403
"Cd52",6.30946875856865,0.882719317966872,0.388931662472266,0.333890446281015,-0.114666243084049,-0.00961240981869817,0.281557429063269,0.0805760224203804,1.87467624853675,0.794692681550726,0.332967187314803,1.1186596145172,-0.773417370659411,-1.06438145587225,1.02047791004967
"Kitl",-7.27696969375938,-0.0988744964495877,0,-2.80447390050054,0,0,0,0,0,0,-6.72149145725851,0,0,-3.02074757456305,5.03747395663379
"Bmp7",0,2.85545985838068,0,3.2894012841736,0,3.87327212582912,3.11040229341625,0,0,0,1.90549550903553,1.97943168874941,0,0,0
"Chl1",3.44979904103078,1.5503120418857,0,5.62131955876683,0,0,0,3.9229757221452,0,0,-2.70077482058744,-1.13350601609306,0,0,0
"Btla",0,-3.21756116814061,0,0.51439280665185,-2.14218867092914,2.9685057922995,0.66438351126221,1.20630590820801,0,0,0.510333937842864,-4.5040105143791,0,0,-2.47888628599875
"Icosl",3.44979904103078,0.156201060881584,0,0.780540981686011,0.882595212795187,-1.37621003586446,-0.633584617585456,0.527356499796809,3.25232972469285,0.17217375818949,-0.314751301593859,5.64513818896402,0,0,-3.34331387746869
"Tnfsf9",0.505015195675726,1.00102813560885,0,0.892921555154878,-5.19379192932833,1.76949530962294,1.46151719562382,0.122097017206176,-0.75356666484765,-0.287859961753545,-0.199691237963473,-0.114404803016137,0.676540044740697,-3.02074757456305,0
"Il2",0,0.135673280683581,0,0.376057794259468,-2.44627317497966,0.492222171118348,0.287555859562825,0.465050216399317,0.00914341785998256,2.72514145684052,-0.170827044918712,0.327535716485711,-0.222014422827208,0.320524554363278,0
"Bgn",-9.08658144042458,-1.7982981818739,0,-2.03283744510465,0,0,-2.35462519258748,3.9229757221452,-3.09301305064446,0,-8.78502996947406,-0.2659314539626,0,0,7.00414576306844
"Wnt10b",0,-1.97210667870446,0,0,0,0,0,-2.71666981393719,0,0,-4.83327214230521,0,0,0,6.0153409265682
"Wnt4",3.44979904103078,-0.47211328153628,0,-0.249134832571694,-2.44627317497966,-1.03254180436932,-0.877254998059445,0.320438823453459,-0.38603904829554,0.481797123488083,-2.826170099759,6.1223047646707,0,0,2.55858767063504
"Wnt6",3.44979904103078,-1.57105898248021,0,-0.441458113054973,3.01630111103778,-1.43549742033381,-1.0621026159864,1.06066874546656,3.25232972469285,0,0.700294067500749,-4.5040105143791,0,0,0
"Angptl4",-6.92591438845681,-0.364842078343253,4.47369160997044,0.127964391754114,-3.30744718189654,-0.047367822089712,-0.0353521345953618,0.389731033145478,0.0202017527513268,-0.302834403009237,0.23345032631349,-1.51461627739899,0.745986324982922,0,-2.47888628599875
"Calr",-0.746943855261871,0.0727622707870622,-1.1328202124109,-0.168258352494876,-0.655305808751303,0.0726397285478688,-0.0503921803061862,-0.15207147573428,-0.114314984215771,-0.579102768551141,-0.0304255027250936,0.259640588674844,-0.0371702169056983,0.635706388934889,-0.43268278482403
"Nrtn",0,0.655986885481671,0,-1.04536202662286,-3.30744718189654,0.320237187881942,-0.496536645851724,-0.388309194284178,0.393987135699251,-3.89956371468429,0.393386397839886,-1.12511909321651,0.3323508924231,0,0
"Pdcd1lg2",0,1.90778433762367,0,1.99951621876345,0,1.01101176476762,0.882701939680469,0,0.159316674048394,4.15678106900672,3.7739149475405,2.13197584098889,0,0,0
"Cd79b",2.71725069574674,0.936767856721428,-3.98072856217761,-0.000590919858456556,1.19750937081808,0.10286862238106,0.357367940321199,0.11015902822305,4.09674777669576,-1.20872779354223,0.440644467426212,0.631505340941368,0.28724606635567,-4.88085793890428,-0.212973805031389
"Fgf3",-4.39908942203424,0.546350247161291,-7.43898389982295,-0.199079065755182,-3.30744718189654,-2.58505834838904,-0.417018105797845,-0.967669579912249,2.04104888564917,1.21619806364079,0.352420659821204,-0.0744178944081991,-3.26043989748773,3.34127212892633,-3.34331387746869
"Cd80",0,0.299178400300171,0,3.7066689251261,3.01630111103778,2.9685057922995,0,0,0,-1.26181511232759,2.22103660181265,0,0,0,0
"Jam3",0,3.52981575148098,0,4.08931298771961,0,2.82893413246473,2.54495633357527,4.47532212453731,3.79341659208914,0.669958799451475,3.21843355592127,1.94750268089047,5.05779050725816,3.34127212892633,-2.47888628599875
"Fgf22",0,-0.376283012746745,4.47369160997044,-1.54883492899464,-2.44627317497966,2.19450790642245,0.0948210403538738,0.727261186905787,2.35473678390736,-1.17442225784377,0.218637924359182,-0.2659314539626,-2.88041469336559,0,0
"Crlf1",0,-1.30898460256277,0,0,0,0,-3.12782504619509,0,0.466750127591171,0,0,2.56180146808443,0,0,-2.47888628599875
"Tcn2",0.86510421435728,-0.0788791262194706,-3.44074796185724,0.37200123605446,-5.00676693988938,-0.122441109039381,0.200160717729003,0.362768004565139,1.43024180761313,0.0477085138057929,0.595826013430228,0.961792472035067,-0.388485654332738,0,1.15737536260443
"Sirpa",0.444676157443424,0.889003488149128,0,0.135581928341253,4.54870312668101,0.0975916820543517,0.250820996668431,-0.0310524610996146,0.29176078229812,0.0533106266346212,0.44511485435435,0.375605518074905,1.25059266442641,4.26828250512477,-3.88009859402936
"Lilr4b",4.3822245428599,3.27012040911469,5.44085470244316,3.34908500520004,0,3.87327212582912,6.38831807682,3.9229757221452,5.44774983455181,-0.111307140154247,3.99608010237117,1.70803787891985,0,0,0
"Lilrb4a",4.94394006208094,4.72057981699279,0,3.26181290089295,0,-0.445522356702624,6.52425505779589,0,5.44774983455181,-0.0878087092784081,3.26291104850803,2.48468962951005,0,0,0
"Cd22",0,-0.0933839915267239,0,0,-1.9506945100101,0,0,-3.60253689869174,-3.09301305064446,0,-2.70077482058744,0,0,0,-4.27043012977716
"Slpi",-0.414705783884606,0.00536905904536899,0,-1.24349518252819,-6.62791915898367,-0.297997629503298,-0.724658975246625,-0.257918194656418,0.783070322036884,1.180538255118,0.548383070036484,1.61732233797368,-2.26495282373533,-3.74832902927561,-2.47888628599875
