"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
5.17074225308826,13.7086349164191,3.10110297532333e-24,2.04409316660139e-20,"Lyz2","C1qb",0.2,0.04
-11.377612874772,11.1331867108355,3.91851464890519e-24,2.04409316660139e-20,"Cxcl12","C1qb",0.2,0.04
6.30946875856865,10.8173113926605,3.90080643393291e-21,1.35657045084074e-17,"Cd52","C1qb",0.2,0.04
7.64360660258583,10.2830325601782,3.89483937277322e-20,1.01587147940357e-16,"Ifi27l2a","C1qb",0.2,0.04
-10.4999594646175,10.2879323640978,1.77735342768025e-18,3.70862566219762e-15,"Mgp","C1qb",0.2,0.04
5.61407576850029,9.72717451480889,2.50093739985813e-14,4.34871331545332e-11,"Chil3","C1qb",0.2,0.04
-9.74575672723882,9.57545382091045,4.01055842749873e-14,5.97745086772774e-11,"Mpo","C1qb",0.2,0.04
3.52636404834164,11.5887570662927,1.0416341283072e-12,1.35842110757863e-09,"Cd74","C1qb",0.2,0.04
-9.23831914609572,9.10513479539345,1.94395848616448e-11,2.16142360590228e-08,"Igfbp4","C1qb",0.2,0.04
3.55085281004567,10.6428392732812,2.0717182075168e-11,2.16142360590228e-08,"Tyrobp","C1qb",0.2,0.04
-9.08658144042458,8.96611636689791,9.46503975491745e-11,8.97715997845943e-08,"Bgn","C1qb",0.2,0.04
4.35468012325463,9.22006385295017,1.25817762939568e-10,1.09388060062376e-07,"Ccr2","C1qb",0.2,0.04
-8.85571732202543,8.75616900186484,1.09628829945636e-09,8.79813525248327e-07,"Serpinh1","C1qb",0.2,0.04
-3.96650763418853,9.54005369716363,2.58598099150317e-09,1.92710997745375e-06,"Hp","C1qb",0.2,0.04
-8.70174072913513,8.61725597553134,5.39109920169797e-09,3.52836464894369e-06,"Cxcl14","C1qb",0.2,0.04
8.52470466915988,8.22231426176216,5.74927624192876e-09,3.52836464894369e-06,"S100a4","C1qb",0.2,0.04
8.52470466915988,8.22231426176216,5.74927624192876e-09,3.52836464894369e-06,"Ccl24","C1qb",0.2,0.04
3.33107398549679,9.729321306531,8.94027651360572e-09,5.15187568019608e-06,"Ctss","C1qb",0.2,0.04
-8.63036363824689,8.55318003736414,9.38230977894427e-09,5.15187568019608e-06,"Igfbp7","C1qb",0.2,0.04
8.31586324607204,8.02284577041283,2.92755434508164e-08,1.52715872411184e-05,"Saa3","C1qb",0.2,0.04
4.34187993779247,8.50758536562607,5.07098877271211e-08,2.51931551741455e-05,"Pf4","C1qb",0.2,0.04
-8.4207168966356,8.36620788832503,7.22059639846533e-08,3.42420373750858e-05,"Sparc","C1qb",0.2,0.04
