"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
6.24955292760996,4.14380214510102,1.71323532352954e-25,2.75385445904138e-21,"Clec1b","CD34",0.2,0.04
5.04866750892671,5.77093732071478,2.1745957887052e-23,1.74772263538237e-19,"Dlk1","CD34",0.2,0.04
5.04115080375705,4.21106439832153,1.14006575542926e-20,6.10847231758995e-17,"Rhoj","CD34",0.2,0.04
5.17571315139468,3.84218761098945,2.12067166905558e-20,8.52191910209984e-17,"Meg3","CD34",0.2,0.04
4.85584373453848,3.9670788961388,2.02068753576976e-19,6.49610628999264e-16,"Clca3a1","CD34",0.2,0.04
-5.71076543620647,3.70561857265881,3.31610433157252e-19,8.88384350428277e-16,"Chdh","CD34",0.2,0.04
5.28483073254128,2.8531595374437,1.33829808142721e-17,3.07311476583727e-14,"Nrg3","CD34",0.2,0.04
6.33869103996053,1.93963907629737,2.99182583448171e-16,6.01132605793238e-13,"Zfpm2","CD34",0.2,0.04
4.08931298771961,4.29634500506267,3.71329168354343e-16,6.63193894680856e-13,"Jam3","CD34",0.2,0.04
-4.1446505053165,4.5256171457483,7.42452025519976e-16,1.19341738582081e-12,"Serpinf1","CD34",0.2,0.04
4.37439037628993,3.13831680266117,2.69748451819299e-15,3.94176055867583e-12,"St3gal6","CD34",0.2,0.04
5.28581880176573,2.17124639966324,3.76742364631627e-15,5.04646397424064e-12,"Thbs1","CD34",0.2,0.04
6.1247860793085,1.72051996366495,5.39144573463155e-15,6.66631528757442e-12,"C4b","CD34",0.2,0.04
5.22697493038091,2.11202253346584,7.6723319718879e-15,8.80893315115186e-12,"Ppp1r14c","CD34",0.2,0.04
4.66795466084742,2.23844987890239,7.23769681572377e-14,7.75591590772959e-11,"Arx","CD34",0.2,0.04
4.12223888218295,2.89389020641591,9.71042580125528e-14,9.146859343161e-11,"Npr1","CD34",0.2,0.04
3.44332230115932,5.68886227150241,1.02360597418015e-13,9.146859343161e-11,"Treml1","CD34",0.2,0.04
3.85064826025234,3.38279224732784,1.02428436093628e-13,9.146859343161e-11,"Podxl","CD34",0.2,0.04
3.71053391080486,3.81052528945024,1.16590053458996e-13,9.86351852263108e-11,"Slc35d3","CD34",0.2,0.04
5.49839824395069,1.65238420660283,2.36333456806604e-13,1.89941199235468e-10,"Col18a1","CD34",0.2,0.04
-4.22528813628219,3.12619091205532,3.54912175492859e-13,2.63739230612773e-10,"Cd72","CD34",0.2,0.04
-4.88013999356051,2.63052390238142,3.60971946838435e-13,2.63739230612773e-10,"1500009L16Rik","CD34",0.2,0.04
3.82556816221716,2.96944254146301,6.39741569542464e-13,4.47095912557633e-10,"Qrfp","CD34",0.2,0.04
-4.25918160369257,2.8158206280158,2.08254933452187e-12,1.39478741679602e-09,"B3gnt5","CD34",0.2,0.04
5.32614480185668,1.47855219725119,2.37812129400631e-12,1.5290368671943e-09,"Ccl2","CD34",0.2,0.04
3.59578464582674,2.98778432261917,6.30443728683012e-12,3.75438800063204e-09,"Chst1","CD34",0.2,0.04
-4.3168460537366,2.66049521161488,6.30636282301014e-12,3.75438800063204e-09,"Scin","CD34",0.2,0.04
3.15065363239527,5.03033991630049,8.65648643104586e-12,4.92361825441949e-09,"Cd200r4","CD34",0.2,0.04
3.13751858894631,5.1430720178239,8.88297432985972e-12,4.92361825441949e-09,"Gp5","CD34",0.2,0.04
3.39543980753616,3.41353390896726,1.23528449041624e-11,6.6186542996502e-09,"F2rl2","CD34",0.2,0.04
-3.35087023234711,4.00336156357682,1.79251138557407e-11,9.29446064894114e-09,"Car1","CD34",0.2,0.04
5.13050048192601,1.28243731525128,2.42258462859133e-11,1.21689454124928e-08,"Cc2d2b","CD34",0.2,0.04
-9.44165792299337,1.61545652760233,2.53131771689576e-11,1.23298184792068e-08,"Gzmb","CD34",0.2,0.04
3.6909852995627,2.39775728521041,3.18159959652895e-11,1.50414799748842e-08,"Fhdc1","CD34",0.2,0.04
3.1387513007755,4.08022253967961,3.58429263859649e-11,1.64611199636571e-08,"Gadd45g","CD34",0.2,0.04
4.08199021920622,1.83763313737166,7.2394830700171e-11,3.23242919076264e-08,"Cdc42ep5","CD34",0.2,0.04
4.5973280172795,1.16413389323532,1.19663237576877e-10,5.19855913732629e-08,"Nfib","CD34",0.2,0.04
2.93765179348873,4.43818919844372,2.23748906397591e-10,9.46457874061809e-08,"Cd200r3","CD34",0.2,0.04
4.02649888477538,1.61210060418733,2.34310108493779e-10,9.65718124084359e-08,"Kdr","CD34",0.2,0.04
-4.53717994029679,1.94431706149638,3.0735639130453e-10,1.23511165845725e-07,"Epb41l4b","CD34",0.2,0.04
-3.64567928186301,2.74923758614495,3.86118627288031e-10,1.51377336951898e-07,"Ly6c2","CD34",0.2,0.04
3.56623848455291,2.19126928741572,4.28601532147907e-10,1.61814452758725e-07,"Zfp711","CD34",0.2,0.04
