"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
-7.87931034318495,3.00380579060992,7.76680024890245e-30,1.31771533022879e-25,"Gpr183","Car1",0.2,0.04
-11.7263327927211,2.25417979136313,5.30661739787347e-28,4.50160353861607e-24,"Gzmb","Car1",0.2,0.04
-5.65285427501313,4.32588826406442,1.15599980642778e-26,6.53756423861791e-23,"Scin","Car1",0.2,0.04
-11.4633835426038,1.99305344823449,3.51200600893266e-26,1.48961734868879e-22,"Prss34","Car1",0.2,0.04
-7.14440684932189,1.7249745849165,6.99005678273444e-22,2.37186606751745e-18,"Kcnc1","Car1",0.2,0.04
-5.42976727923153,2.5377938605979,2.05453864942283e-21,5.8095504543513e-18,"Gja1","Car1",0.2,0.04
4.59680306859848,3.5248249567443,1.89107170146714e-19,4.58341749815593e-16,"Nrg3","Car1",0.2,0.04
-7.46939719809415,1.13982495922936,4.17558606718569e-19,8.85537415198405e-16,"Aldh1a7","Car1",0.2,0.04
-4.12321433887068,8.13410296883741,8.77919043923799e-19,1.6549749443568e-15,"Ifitm1","Car1",0.2,0.04
4.2685640504177,4.22453567251623,1.7554883966971e-18,2.97836161383631e-15,"Dlk1","Car1",0.2,0.04
-5.17526948183902,1.71800247529666,5.29977674659435e-18,8.1741829347927e-15,"Mcpt8","Car1",0.2,0.04
4.95558440309831,2.06841497458296,1.0074447083662e-17,1.42435891017841e-14,"Meg3","Car1",0.2,0.04
-5.46129205519116,1.33671723208581,7.98685009986093e-17,1.04234537534031e-13,"Nespas","Car1",0.2,0.04
-4.72212157321724,1.73225736008207,1.83312106617051e-16,2.22148085776063e-13,"Il31ra","Car1",0.2,0.04
-5.83518238637322,0.995174812824781,3.12087954493823e-16,3.32491181566795e-13,"Mfhas1","Car1",0.2,0.04
4.3339918077766,2.39236314368554,3.13559996762273e-16,3.32491181566795e-13,"Ppp1r14c","Car1",0.2,0.04
-3.7599847859649,4.46280523698331,1.26553287506304e-15,1.26300180931292e-12,"Asns","Car1",0.2,0.04
-9.76938115708002,0.325512097230608,1.57354832102302e-15,1.48315671191536e-12,"Tceal3","Car1",0.2,0.04
3.86807853493156,3.19241754921457,3.13169499424333e-15,2.79643880380696e-12,"Rhoj","Car1",0.2,0.04
4.43448141739668,1.80892886834744,3.81426277486021e-15,3.23563911191391e-12,"Cdkn2a","Car1",0.2,0.04
-4.40778488286858,1.66980934429698,4.14727954869193e-15,3.35060689633844e-12,"Ephx2","Car1",0.2,0.04
-3.68255449511101,4.16909392518289,4.59303136527996e-15,3.54206227924271e-12,"Tacstd2","Car1",0.2,0.04
3.62565644597746,3.7941635518197,2.14392636432414e-14,1.58147194335319e-11,"Clec1b","Car1",0.2,0.04
-9.53116622536549,0.0946026719001326,3.50507942094277e-14,2.4777990606548e-11,"AC153891.1","Car1",0.2,0.04
-9.46491548661996,0.0306319832898162,7.7232443184138e-14,5.24130252424834e-11,"Gml2","Car1",0.2,0.04
3.52981575148098,3.58857468961676,8.74578487307497e-14,5.70696100602269e-11,"Jam3","Car1",0.2,0.04
-4.27345283622129,1.30752771534532,9.87519111500019e-14,6.20527749841086e-11,"Dcaf12l1","Car1",0.2,0.04
4.14739146241108,1.64434767839606,1.0246956736262e-13,6.20892385669359e-11,"Sox6os","Car1",0.2,0.04
-3.5872494185945,3.10880399585569,1.15657226331919e-13,6.7663465584391e-11,"Aldh1a1","Car1",0.2,0.04
4.6574756631991,0.940899583644768,1.37110383958694e-13,7.75404924747732e-11,"Zfpm2","Car1",0.2,0.04
-3.7507063388887,2.33588403980285,1.58585515139329e-13,8.6792317737221e-11,"Khdrbs3","Car1",0.2,0.04
