"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
-5.5706305125171,2.87976824067241,2.91149468644704e-12,3.10848558529614e-08,"Cd72","Fcnb",0.2,0.04
-3.96533777252604,3.83849640150448,5.81147532209336e-12,3.10848558529614e-08,"Afap1","Fcnb",0.2,0.04
-3.76454044368295,4.06255987863185,6.81201109225792e-12,3.10848558529614e-08,"Ncam1","Fcnb",0.2,0.04
-3.59462729536051,4.36223386964731,8.79469680378028e-12,3.10848558529614e-08,"Car1","Fcnb",0.2,0.04
-3.4120767456653,4.12801769821097,2.17221479294841e-10,6.14215454854093e-07,"Retnlg","Fcnb",0.2,0.04
2.89546496100119,5.6271145544541,9.47139632499838e-10,2.23177668738045e-06,"Prg2","Fcnb",0.2,0.04
5.46886047419928,2.50484582558009,6.45278038883549e-09,1.3032772733908e-05,"C4b","Fcnb",0.2,0.04
2.7783556865008,4.91481001530881,1.30594289421312e-08,2.30792757979814e-05,"Prdx4","Fcnb",0.2,0.04
-2.38051261209623,8.2564631934703,4.52070465851533e-08,7.10152471800997e-05,"Ly6c2","Fcnb",0.2,0.04
2.22544881782238,6.43893270116141,5.77201082971547e-07,0.000751894884371824,"Gm10036","Fcnb",0.2,0.04
-2.31572679379131,5.16491624782537,5.8500804414274e-07,0.000751894884371824,"Ngp","Fcnb",0.2,0.04
-4.95321713266488,1.43029304843798,7.40189314449982e-07,0.00087206637730782,"Il17rb","Fcnb",0.2,0.04
-7.80194596759413,1.2772796580482,2.40376685247575e-06,0.00261418890463863,"Olfm4","Fcnb",0.2,0.04
2.09935035530276,6.01760198694563,2.73091081027229e-06,0.00275782978825926,"F13a1","Fcnb",0.2,0.04
3.34875554904177,2.381870947578,4.1087545761681e-06,0.0038726381465243,"Myof","Fcnb",0.2,0.04
-4.63277570766386,1.15248405575715,8.2813447302768e-06,0.00731760323729084,"Mmp8","Fcnb",0.2,0.04
-2.75282038758659,2.63078780203609,1.15475851803932e-05,0.00943995400824082,"B3gnt5","Fcnb",0.2,0.04
-3.45337546274411,1.85021296626194,1.25995084354442e-05,0.00943995400824082,"Adgrl2","Fcnb",0.2,0.04
7.47984926705595,1.25088367032349,1.26863153314879e-05,0.00943995400824082,"Thbs1","Fcnb",0.2,0.04
-2.72539373882833,2.60786703613663,1.41028416501618e-05,0.00996929876249939,"Atp1b1","Fcnb",0.2,0.04
-4.48159788044423,1.0255912717609,1.95810519246877e-05,0.013182710100535,"Gm28086","Fcnb",0.2,0.04
3.39363940218399,2.05471967856052,2.41466979102478e-05,0.0155175461388674,"Grap","Fcnb",0.2,0.04
-2.42542378168541,2.96974752670367,2.70266395884205e-05,0.0166131578478734,"Arap2","Fcnb",0.2,0.04
-2.40309181486248,2.95156043703205,3.18019708801599e-05,0.0187340110126542,"Jun","Fcnb",0.2,0.04
