"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
5.89299017884569,5.88425247751785,9.80363100715597e-27,1.41387966385203e-22,"Camp","Hba-a2",0.2,0.04
6.4565194656934,4.40179501339286,8.22129254703004e-24,5.92837405566336e-20,"Lcn2","Hba-a2",0.2,0.04
4.84205944698257,7.4688669510878,7.96557940814784e-23,3.82931954081027e-19,"S100a8","Hba-a2",0.2,0.04
4.47447719599996,7.73285014451343,1.37320049219024e-20,4.95107437459192e-17,"S100a9","Hba-a2",0.2,0.04
6.92642793822093,3.60469521621808,3.2137657661934e-20,9.26978597600824e-17,"Ltf","Hba-a2",0.2,0.04
4.80543141695663,4.52387971474966,2.80690892883418e-18,6.74687342860776e-15,"Ngp","Hba-a2",0.2,0.04
5.39778406910265,3.36761574118725,6.36955880061568e-17,1.31231110032113e-13,"Treml1","Hba-a2",0.2,0.04
4.40027508402827,4.43801059849937,1.24272161430286e-16,2.24031639018449e-13,"Itga2b","Hba-a2",0.2,0.04
4.81046581025634,3.77501168775097,2.20377100661386e-16,3.53142060637612e-13,"Chil3","Hba-a2",0.2,0.04
-6.8715963553207,2.84338149798091,2.45693863489677e-16,3.54339689924812e-13,"Gja1","Hba-a2",0.2,0.04
5.98272418931614,2.68357808429434,1.85151260986438e-14,2.42750135086037e-11,"Plek","Hba-a2",0.2,0.04
4.28077847359196,3.40651332009566,1.44200733384927e-13,1.73305248073119e-10,"Serpina3g","Hba-a2",0.2,0.04
3.65796103345808,4.59026153007332,1.9952180586193e-13,2.21346421856981e-10,"Pbx1","Hba-a2",0.2,0.04
3.86587859720353,3.93559520471316,2.44206038123672e-13,2.51567105844257e-10,"Mcts2","Hba-a2",0.2,0.04
-9.30777487715674,2.05470916609503,5.03537158787779e-13,4.8413419360249e-10,"Gml2","Hba-a2",0.2,0.04
-6.17074724893009,2.17980782411537,1.9456089946344e-12,1.75372330753859e-09,"Lmcd1","Hba-a2",0.2,0.04
