"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
4.28785222090248,7.96454650114181,2.49124428153754e-16,3.16313286426821e-12,"Stfa3","Ltf",0.2,0.04
3.11228893373871,8.17156032121472,6.19226843366096e-11,3.93116161510966e-07,"Stfa2","Ltf",0.2,0.04
-4.89337376871148,4.27578571132661,1.70322163434668e-10,5.92479110369843e-07,"Tex15","Ltf",0.2,0.04
-4.85497317275902,4.23720461353177,2.24221582243107e-10,5.92479110369843e-07,"Ncam1","Ltf",0.2,0.04
2.8906080254317,9.04016451358799,2.33314605958038e-10,5.92479110369843e-07,"Ifi27l2a","Ltf",0.2,0.04
-4.64595644409805,4.02952554684258,2.27370864056048e-09,4.81154643486608e-06,"Lmo1","Ltf",0.2,0.04
-6.07759605626426,3.97363615971853,3.08574744076069e-09,5.59710503647693e-06,"Prg3","Ltf",0.2,0.04
-8.75703803342653,3.896748848472,5.74927624192876e-09,8.2740793802153e-06,"Ear2","Ltf",0.2,0.04
2.57467496819507,9.80296426264835,6.42816821208819e-09,8.2740793802153e-06,"BC100530","Ltf",0.2,0.04
2.67026936676486,8.34275392006837,6.5165624794954e-09,8.2740793802153e-06,"Wfdc17","Ltf",0.2,0.04
2.33427440880327,8.56637221013374,2.0577756658668e-07,0.000237523432995553,"Asprv1","Ltf",0.2,0.04
2.25798992136427,9.46634093202957,2.733840966353e-07,0.0002892631562482,"Gm5483","Ltf",0.2,0.04
-3.01104630137667,4.24393471052365,6.74687246951605e-06,0.00658961844195733,"Gpr141","Ltf",0.2,0.04
-3.52775142341521,3.70348605948573,7.6263064895858e-06,0.0069165152498765,"Stk39","Ltf",0.2,0.04
1.9755818175885,7.51030354823128,1.75149258837819e-05,0.0148258009297586,"Ceacam10","Ltf",0.2,0.04
-2.33050486279821,5.07512839306033,2.53322944981375e-05,0.0201027589526783,"Hvcn1","Ltf",0.2,0.04
-2.40960665495616,4.6772361349755,2.96899061157505e-05,0.0221748669383343,"Tnfsf13b","Ltf",0.2,0.04
7.54074240834721,3.41395012648858,0.000109595668558131,0.0773075668712546,"Steap4","Ltf",0.2,0.04
1.6543091338417,8.81280044541601,0.000137340476666317,0.0917795806438017,"Stfa2l1","Ltf",0.2,0.04
7.45104437832518,3.34019766983531,0.000164370520381886,0.0993815474899434,"Hbb-bt","Ltf",0.2,0.04
7.45104437832518,3.34019766983531,0.000164370520381886,0.0993815474899434,"Hbb-bs","Ltf",0.2,0.04
2.0144798050452,5.8619897620541,0.000175415668248786,0.101238760897947,"Tgfbi","Ltf",0.2,0.04
2.01540077994482,5.54444708458318,0.00027119192596353,0.148222124839846,"Rtp4","Ltf",0.2,0.04
3.34355345847948,4.03627444339179,0.000280170984969387,0.148222124839846,"Slfn5","Ltf",0.2,0.04
1.91003019121912,5.63092650563891,0.000410665746519507,0.208568919342327,"Hist1h2bc","Ltf",0.2,0.04
-1.80152814326714,5.4347403561556,0.000433814951908346,0.211851863245395,"Lgals1","Ltf",0.2,0.04
1.46688241399827,13.4433312761922,0.000464515615420724,0.218442769222108,"Retnlg","Ltf",0.2,0.04
2.64475752788354,4.32562822280875,0.000521035186177458,0.236270848531971,"Slc22a20","Ltf",0.2,0.04
-1.49813490719681,7.62601822169808,0.000654904034993331,0.286735052838287,"Cpne3","Ltf",0.2,0.04
-1.87277802561893,4.87767080846202,0.000726765937375752,0.307591570228664,"Cd34","Ltf",0.2,0.04
1.5096433612203,6.99237266363801,0.00106294675945971,0.435362419511609,"Gclm","Ltf",0.2,0.04
2.21989825421093,4.50372456629002,0.00114296790308631,0.451367692508161,"Sirpb1b","Ltf",0.2,0.04
