"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
-5.17152428169957,3.54879592298427,2.62978428179384e-19,4.16689319450233e-15,"Asns","Pf4",0.2,0.04
-4.6534979719888,3.57098675049202,2.28374837242081e-17,1.80929964805039e-13,"Khdrbs3","Pf4",0.2,0.04
-5.57384509990644,2.14293603235288,3.15684239012751e-15,1.66733892238568e-11,"Aldh1a1","Pf4",0.2,0.04
-5.46702118202484,2.0223052491307,1.35073943042654e-14,5.35061656877713e-11,"Arap2","Pf4",0.2,0.04
-5.06772392091821,1.8706085494665,9.44718278234554e-14,2.9938122237253e-10,"Gm10419","Pf4",0.2,0.04
-4.81171119315909,1.28781428634734,5.8403035208522e-11,1.54232682146505e-07,"Epdr1","Pf4",0.2,0.04
-3.65048956951349,2.47236463054327,7.62277565421607e-11,1.72546971772934e-07,"Il1b","Pf4",0.2,0.04
-9.4410621852672,1.12607660271389,2.24221582243107e-10,4.44098871330254e-07,"Kcnc1","Pf4",0.2,0.04
3.21818636451187,4.4372228435775,3.20549797201048e-10,5.64345726294513e-07,"Hbb-bt","Pf4",0.2,0.04
-3.98255653450226,1.68782970928693,1.1626723136298e-09,1.84225428094642e-06,"Hspa1b","Pf4",0.2,0.04
-3.07819703818063,2.74099970606288,4.24963332570899e-09,6.12140364053263e-06,"Bex1","Pf4",0.2,0.04
-3.09705505963553,2.7156178464085,5.39728159716434e-09,7.12666057558907e-06,"Csrp3","Pf4",0.2,0.04
3.20184825903277,3.6634957375215,8.85775731654388e-09,1.07962434369721e-05,"5330439M10Rik","Pf4",0.2,0.04
-2.48400251797335,6.47615067977738,1.58111983268252e-08,1.78948883920389e-05,"C1galt1","Pf4",0.2,0.04
-2.8703158934552,2.92269567683038,2.06733864231354e-08,2.18379871916387e-05,"4930519L02Rik","Pf4",0.2,0.04
3.49847756825244,3.00077378999231,2.42192216844644e-08,2.39845979743961e-05,"C5ar2","Pf4",0.2,0.04
-2.76253013632234,3.32702193483831,2.74679758436591e-08,2.56017692495752e-05,"Ccnd1","Pf4",0.2,0.04
-4.53561981617124,0.633982732063198,2.92755434508164e-08,2.57706103321215e-05,"Maoa","Pf4",0.2,0.04
-2.63241070259553,3.50983582357076,4.94638798869754e-08,4.12502724636381e-05,"Emid1","Pf4",0.2,0.04
-3.75237889668396,1.12590693137991,6.64090001295126e-08,5.26125303526064e-05,"Cabcoco1","Pf4",0.2,0.04
2.42927025672519,5.9433601914428,7.28412323534622e-08,5.49604441257433e-05,"Alox12","Pf4",0.2,0.04
2.77351414686762,3.98981433132508,8.2685228317907e-08,5.9552156486238e-05,"Ckb","Pf4",0.2,0.04
2.53695841394676,4.71031981307689,1.15262364920456e-07,7.94057466158533e-05,"Ppp1r14c","Pf4",0.2,0.04
-6.2024336003994,0.373583909703795,1.67165323717247e-07,0.000110363939762491,"4930447C04Rik","Pf4",0.2,0.04
-3.42408043727051,1.39640052153789,1.79102021724828e-07,0.000113514861369196,"Olfr1369-ps1","Pf4",0.2,0.04
-2.58294763451608,3.21365407790186,1.90101006283297e-07,0.000115654960526054,"Rgcc","Pf4",0.2,0.04
2.99497691037467,3.24514604388567,1.97076928633856e-07,0.000115654960526054,"Il1rl1","Pf4",0.2,0.04
-4.32459200045121,0.419405144035411,2.40483448154636e-07,0.000135071053668527,"Hspa1a","Pf4",0.2,0.04
-2.30176978554644,5.10317889413506,2.47211142719298e-07,0.000135071053668527,"Bex4","Pf4",0.2,0.04
2.34711031845272,5.37113910941827,2.84715260832012e-07,0.000150377110262774,"Col18a1","Pf4",0.2,0.04
-2.4540777833337,3.5011225678586,3.12277809357157e-07,0.000159614254492392,"Actn1","Pf4",0.2,0.04
2.36064966855935,4.96516496282196,4.12800217454747e-07,0.000204400607674077,"Csf2rb","Pf4",0.2,0.04
-3.69631714745789,0.882044886574128,6.39567536952393e-07,0.000307089321909414,"Car3","Pf4",0.2,0.04
2.13268618512542,8.09092668770898,7.4005456154143e-07,0.00034488719198894,"Clec1b","Pf4",0.2,0.04
2.13540150280602,7.68800070065035,8.02383093293435e-07,0.000363250288949556,"Thbs1","Pf4",0.2,0.04
-3.44036122095787,0.990998615091571,1.25988322143099e-06,0.000553311340128911,"Cercam","Pf4",0.2,0.04
-2.129978291702,5.51539104578025,1.29204920067969e-06,0.000553311340128911,"Hmgn3","Pf4",0.2,0.04
-2.54480668791197,2.37857561025892,1.57570620596712e-06,0.000657028021935502,"Tcf15","Pf4",0.2,0.04
-3.29297413174955,1.1426064085331,1.63985607649535e-06,0.000666244090565869,"Hmox1","Pf4",0.2,0.04
3.20786278733484,2.51982353847351,2.0733573851947e-06,0.000816821097571368,"C1qtnf7","Pf4",0.2,0.04
2.54816909709608,3.41414118505212,2.11357936260184e-06,0.000816821097571368,"Trib2","Pf4",0.2,0.04
4.63812509066079,1.72678741341494,2.28665489858905e-06,0.000862667782574846,"1700016F12Rik","Pf4",0.2,0.04
2.16238361763729,4.83029537535858,3.28415756390303e-06,0.00121017387441962,"Chst1","Pf4",0.2,0.04
-3.68533603831477,0.423551859401284,3.67596127893513e-06,0.00132376378328925,"Gm42517","Pf4",0.2,0.04
2.48468962951005,3.4487745668409,3.91357581683103e-06,0.00137801352928195,"Lilrb4a","Pf4",0.2,0.04
8.46809469262456,1.12507162905681,4.01499138766693e-06,0.00138298996820832,"Sgsh","Pf4",0.2,0.04
2.07990843667447,5.25106784599725,4.42316440287498e-06,0.00149117106305434,"Hs3st1","Pf4",0.2,0.04
1.96257933982645,7.24857786628467,5.38294842831512e-06,0.00174290617961484,"Gm15915","Pf4",0.2,0.04
-2.01720617900431,4.91130616505302,5.38986448729108e-06,0.00174290617961484,"Adgrl2","Pf4",0.2,0.04
-3.62136768128969,0.600820127958336,5.522929579612e-06,0.00175021638377904,"Sh3pxd2b","Pf4",0.2,0.04
3.01342139936921,2.35834438950939,7.47396735746499e-06,0.00232205907409868,"1700001C19Rik","Pf4",0.2,0.04
2.56058515947269,3.01151181091863,8.90669638865258e-06,0.00271397315919616,"Gm6093","Pf4",0.2,0.04
3.14421291095991,2.18244712742094,1.06246985487827e-05,0.00317638393406532,"Kcnj15","Pf4",0.2,0.04
-2.48805616989222,1.8242467465195,1.11365380780249e-05,0.0032677489971538,"Hdgfl3","Pf4",0.2,0.04
2.14617128750339,4.02884604462942,1.19345435311539e-05,0.00343159054222396,"Dusp10","Pf4",0.2,0.04
1.91422683314112,6.23690751019687,1.22440145287677e-05,0.00343159054222396,"St3gal6","Pf4",0.2,0.04
1.90873460685904,6.30828344736282,1.25815147529306e-05,0.00343159054222396,"Gm10036","Pf4",0.2,0.04
-5.68928172890564,-0.165923340690662,1.26863153314879e-05,0.00343159054222396,"B3gnt5","Pf4",0.2,0.04
1.91862735392562,6.05640266729557,1.27777748180002e-05,0.00343159054222396,"Fcgr2b","Pf4",0.2,0.04
1.94750268089047,5.44930623148804,1.35367549178354e-05,0.00357483136121836,"Jam3","Pf4",0.2,0.04
2.13602838002483,3.92617402756282,1.59174962647242e-05,0.00413463489040255,"Clec9a","Pf4",0.2,0.04
1.97391147895395,4.85354592033025,1.64421084190916e-05,0.00420201948226622,"Sapcd1","Pf4",0.2,0.04
-1.87388387086806,5.50635406282926,1.7624663594803e-05,0.00443274277237545,"Glipr1","Pf4",0.2,0.04
2.013449982715,4.51400236550683,1.84564327043733e-05,0.00456940900313741,"Nrg3","Pf4",0.2,0.04
-4.71038572125986,-0.206101472903434,1.95810519246877e-05,0.00477325796533349,"Cep126","Pf4",0.2,0.04
2.04516937454613,4.23732272231732,2.02331864424381e-05,0.00485749756333988,"Csf3r","Pf4",0.2,0.04
1.93139463027027,5.09527865402913,2.09459336338593e-05,0.00495355699147017,"Npr1","Pf4",0.2,0.04
-3.11909687951981,0.69818639838737,2.31155418189713e-05,0.00530819942205218,"Aim2","Pf4",0.2,0.04
-2.98421649106245,0.72872714394816,2.31155418189713e-05,0.00530819942205218,"Nrxn1","Pf4",0.2,0.04
-2.88445517598012,0.902135096236661,2.41466979102478e-05,0.00545472545898804,"Gprasp2","Pf4",0.2,0.04
-2.4795940487195,1.64548481671786,2.44421273327959e-05,0.00545472545898804,"Pdzph1","Pf4",0.2,0.04
-2.02831266182874,3.23124886763652,2.58839885800229e-05,0.00569627498681197,"Rcor2","Pf4",0.2,0.04
-2.27978083681948,2.11448898380421,2.76637806399931e-05,0.00600455622247521,"Epb41l4b","Pf4",0.2,0.04
2.37941384433716,2.97974418945785,2.92103508912705e-05,0.00609457447227093,"Gm34084","Pf4",0.2,0.04
2.15382082797615,3.54860135387719,2.9859868847675e-05,0.00609457447227093,"Synpo2","Pf4",0.2,0.04
2.71199016720602,2.3447919656652,2.9972838685931e-05,0.00609457447227093,"Plxna4os1","Pf4",0.2,0.04
-4.05556226463925,-0.245898810489936,3.04594141050698e-05,0.00609457447227093,"Acot1","Pf4",0.2,0.04
-4.05556226463925,-0.245898810489936,3.04594141050698e-05,0.00609457447227093,"Haao","Pf4",0.2,0.04
1.80362651063023,6.57394326209485,3.0516346012332e-05,0.00609457447227093,"Fam189b","Pf4",0.2,0.04
2.37948146328442,2.86481006951382,3.1145736245673e-05,0.00609457447227093,"Csf2rb2","Pf4",0.2,0.04
2.11395554069475,3.64032145431595,3.11556031715964e-05,0.00609457447227093,"Ston2","Pf4",0.2,0.04
-3.67662093191633,0.143662480900825,3.36527359346604e-05,0.00650277562054506,"Phlda2","Pf4",0.2,0.04
2.28715118721808,3.11038131296112,3.42816625055351e-05,0.00654449328193016,"Hmga2","Pf4",0.2,0.04
2.81642817015759,2.1965171034864,4.05405750468861e-05,0.00764720728116559,"Zfpm2","Pf4",0.2,0.04
2.55558549807729,2.41657225828991,4.53232017351116e-05,0.00844877801756285,"Tspan18","Pf4",0.2,0.04
-3.8852660891845,0.00567851350244736,4.95960875072039e-05,0.00893011371081416,"Ptpn3","Pf4",0.2,0.04
-3.8852660891845,0.00567851350244736,4.95960875072039e-05,0.00893011371081416,"C1qb","Pf4",0.2,0.04
-3.8852660891845,0.00567851350244736,4.95960875072039e-05,0.00893011371081416,"Lmo1","Pf4",0.2,0.04
1.8794874464399,4.60619715906121,5.26747927564766e-05,0.00937788866546485,"Mylk3","Pf4",0.2,0.04
3.12101659390776,1.80169449682052,5.36018823509306e-05,0.00943690917611662,"Trap1a","Pf4",0.2,0.04
2.12112863377014,3.31459819235159,5.50726975428324e-05,0.00958930651171626,"Cdkn2a","Pf4",0.2,0.04
2.77924418352026,2.16617169132276,5.56786273388564e-05,0.00958943315417587,"Echdc3","Pf4",0.2,0.04
2.93874923160987,2.01331057947229,5.74145556509048e-05,0.00978208208912459,"Pcnx2","Pf4",0.2,0.04
2.01660187129843,3.67687229093089,5.89004451599125e-05,0.00992848461232781,"Mcts2","Pf4",0.2,0.04
1.72226110005882,6.95625961518423,6.08786046046418e-05,0.0101539104206374,"Gadd45g","Pf4",0.2,0.04
2.25445245213936,2.87960874917295,6.21808757004208e-05,0.0102630830778455,"Clnk","Pf4",0.2,0.04
-1.75050008132265,5.04489779815494,6.37896970370181e-05,0.010420079892284,"Nt5dc2","Pf4",0.2,0.04
2.08905560080642,3.43126176247724,6.52160663736066e-05,0.0104717210374521,"Tgm2","Pf4",0.2,0.04
3.10865450567097,1.79154247015703,6.54276038313509e-05,0.0104717210374521,"Acod1","Pf4",0.2,0.04
-8.02947978289066,-0.45433499812479,7.55367711316004e-05,0.0117204589226902,"Nespas","Pf4",0.2,0.04
-5.46767831480623,-0.380547057734293,7.55367711316004e-05,0.0117204589226902,"Gja1","Pf4",0.2,0.04
-4.47030428912567,-0.421571564906228,7.55367711316004e-05,0.0117204589226902,"Bfsp2","Pf4",0.2,0.04
-1.93351050933696,3.10569655884864,7.73177057448394e-05,0.0117204589226902,"Clstn3","Pf4",0.2,0.04
1.84146686831942,4.49546277342526,7.74467170122768e-05,0.0117204589226902,"Rhoj","Pf4",0.2,0.04
1.85002401425742,4.35557166033381,7.7667919651781e-05,0.0117204589226902,"Cmah","Pf4",0.2,0.04
1.84750658896156,4.25792166776869,9.48636634060286e-05,0.0141803277987597,"Col4a1","Pf4",0.2,0.04
1.75739583623485,4.96021689431652,9.77772132842888e-05,0.0144438993564789,"Tanc2","Pf4",0.2,0.04
-1.6893027397823,5.50794933621065,9.84500555695624e-05,0.0144438993564789,"Ehd3","Pf4",0.2,0.04
1.74666078805444,5.16622766447313,0.000100014916651001,0.0145117481141939,"Phlda1","Pf4",0.2,0.04
1.86374952189324,4.05740542813564,0.000100744227993773,0.0145117481141939,"2610528J11Rik","Pf4",0.2,0.04
1.72942852788062,5.29506649514942,0.00010642213367056,0.0151915198919822,"Pde4d","Pf4",0.2,0.04
-3.77871509607423,-0.0872263151820034,0.000109595668558131,0.0153676404274653,"Col28a1","Pf4",0.2,0.04
-3.47084998901146,-0.0322022008766589,0.000109595668558131,0.0153676404274653,"Tnfsf13os","Pf4",0.2,0.04
2.41821747794222,2.4789779542652,0.000112314038265372,0.0154790503132046,"4932435O22Rik","Pf4",0.2,0.04
1.65289444329199,7.02135100743479,0.000112344006690977,0.0154790503132046,"Lyl1","Pf4",0.2,0.04
1.78499925402155,4.60995140242767,0.000114112007625658,0.0155446962568519,"Serpina3b","Pf4",0.2,0.04
-1.65680149827344,5.99612578097347,0.000114782547305249,0.0155446962568519,"Ckap2l","Pf4",0.2,0.04
1.96238978410209,3.52101495720582,0.000120063974413731,0.016034177899733,"Socs3","Pf4",0.2,0.04
-2.17998859988558,1.82046015810226,0.000120420774381081,0.016034177899733,"Ldhb","Pf4",0.2,0.04
-1.66984745884482,5.12305351311352,0.00012734911286991,0.0168153891118644,"Timp3","Pf4",0.2,0.04
-2.58907813921612,0.978016171571465,0.000137515185580609,0.0180076703762376,"Fam184a","Pf4",0.2,0.04
1.9761268445545,3.4084735263402,0.000144387547556777,0.0186753032664051,"Nbea","Pf4",0.2,0.04
1.70230522202231,5.09878834419395,0.000144970798470674,0.0186753032664051,"Podxl","Pf4",0.2,0.04
1.81403531595539,4.12951128548774,0.000147552496500618,0.0188545911859056,"Abca4","Pf4",0.2,0.04
1.78476954515469,4.27405266659461,0.000149183884767041,0.0189105492330701,"Col4a2","Pf4",0.2,0.04
-1.59566779971145,7.44243479946835,0.000160851411534589,0.0202277032997266,"Nkg7","Pf4",0.2,0.04
1.61732233797368,6.36573582985565,0.000179461862297333,0.0223903402212696,"Slpi","Pf4",0.2,0.04
1.81769618665637,3.90203112905456,0.000185887264166954,0.0228761143182561,"Lifr","Pf4",0.2,0.04
1.73635579099744,4.4422226185006,0.000186242899782584,0.0228761143182561,"Fhdc1","Pf4",0.2,0.04
1.76773087666767,4.19649140363786,0.000190205241421322,0.0229367273943942,"Tgfbi","Pf4",0.2,0.04
2.71144831188087,1.82827877952707,0.000192772116387731,0.0229367273943942,"Sox6os","Pf4",0.2,0.04
2.71144831188087,1.82827877952707,0.000192772116387731,0.0229367273943942,"Mapk11","Pf4",0.2,0.04
2.05537366574052,2.92657978202826,0.000193402451563847,0.0229367273943942,"Pak6","Pf4",0.2,0.04
-5.20574779467502,-0.618344070439314,0.000193974217156757,0.0229367273943942,"Ak4","Pf4",0.2,0.04
1.83010445273452,3.82573028759856,0.000196801261465855,0.0230986369476034,"Bcl3","Pf4",0.2,0.04
2.04289201596729,3.00869801624812,0.000211462878027471,0.0246369801643035,"Ect2","Pf4",0.2,0.04
-1.64932277777802,4.41937109593609,0.000213416027356309,0.0246828516202562,"Lim2","Pf4",0.2,0.04
-2.79799804723534,0.431373030059252,0.000214972137809742,0.0246828516202562,"Col16a1","Pf4",0.2,0.04
1.76850324016532,4.0218362032573,0.000221741132214415,0.0252768938124993,"Ndrg2","Pf4",0.2,0.04
-2.52210760277554,0.924379915565767,0.000231228602128592,0.0261701228623396,"Ces2g","Pf4",0.2,0.04
-1.5865888048102,5.4073530405332,0.000248356558156602,0.0279092883971019,"Fkbp11","Pf4",0.2,0.04
1.59854175704007,5.55332366028292,0.000272304113993675,0.0303117921171369,"Lmna","Pf4",0.2,0.04
1.6284147983664,5.05971665493262,0.000273561771710355,0.0303117921171369,"Otos","Pf4",0.2,0.04
1.57919547025855,5.94472081022925,0.000275804603311716,0.0303480829130149,"Pcdh7","Pf4",0.2,0.04
-2.18888227131749,1.47019189158065,0.000277866244055164,0.0303640733589936,"Tmem98","Pf4",0.2,0.04
-2.56810434358607,0.756752504378081,0.000280170984969387,0.0304062277865749,"Rilpl1","Pf4",0.2,0.04
1.78812816039948,3.79345388291931,0.00028520226727306,0.030687938354774,"Glipr2","Pf4",0.2,0.04
1.67679985544606,4.47660731173205,0.000286640257274001,0.030687938354774,"Chd7","Pf4",0.2,0.04
1.55536463458232,6.52019712103775,0.000291550495886059,0.0310041450155343,"Clca3a1","Pf4",0.2,0.04
-4.18213514152863,-0.660036342908821,0.00031520810287973,0.0328583709876929,"Slco2b1","Pf4",0.2,0.04
-4.18213514152863,-0.660036342908821,0.00031520810287973,0.0328583709876929,"Zfp827","Pf4",0.2,0.04
-3.64236410589715,-0.578470055592116,0.00031520810287973,0.0328583709876929,"Camsap3","Pf4",0.2,0.04
1.60886417444748,5.09448569452552,0.000327633000481752,0.0339303587753815,"Syngr1","Pf4",0.2,0.04
1.58619747619636,5.35656264717895,0.000337613377357561,0.0343391330193789,"Mtss1l","Pf4",0.2,0.04
-1.83114803289134,2.47628248221107,0.000338463543372352,0.0343391330193789,"Btnl9","Pf4",0.2,0.04
-1.54137021661394,5.62660509267893,0.000339328368445077,0.0343391330193789,"Map4k1","Pf4",0.2,0.04
1.53915583135282,6.49044454152185,0.000341973775867209,0.0343391330193789,"Tmem158","Pf4",0.2,0.04
-2.6269953619487,0.569998754365505,0.000342416094481657,0.0343391330193789,"Sik1","Pf4",0.2,0.04
7.79246513592795,0.559667457617625,0.00034853392949239,0.0345157507050432,"Chsy3","Pf4",0.2,0.04
-2.81413298368544,0.118296374319553,0.00034853392949239,0.0345157507050432,"Bok","Pf4",0.2,0.04
1.90164460415847,3.14270190606852,0.0003660361075415,0.0359075941733208,"Hbb-bs","Pf4",0.2,0.04
1.83554869789239,3.29943514787865,0.000367120874476363,0.0359075941733208,"Ltb4r1","Pf4",0.2,0.04
1.61011839256529,4.76931409852807,0.000396938917530639,0.038463652971017,"Gp1ba","Pf4",0.2,0.04
2.52223130386204,1.95818234114684,0.000398109125102353,0.038463652971017,"Wtip","Pf4",0.2,0.04
1.60933485290898,4.74824232831728,0.00040138300576998,0.038544931675305,"Cxcr2","Pf4",0.2,0.04
1.49722276813651,7.56997756891621,0.000404869502075621,0.0386455256649893,"Abhd17b","Pf4",0.2,0.04
3.23507325158572,1.39473215492774,0.000411666944616562,0.0390590583080804,"Gm30074","Pf4",0.2,0.04
2.2061590388821,2.30999270499753,0.000420059965453682,0.039618155670319,"Pcp4l1","Pf4",0.2,0.04
1.6330071014118,4.36386568684087,0.000451323237684558,0.0423148917225552,"Ccl2","Pf4",0.2,0.04
1.78070514449199,3.38053876871139,0.00046167384277054,0.0430307178747012,"Ripor3","Pf4",0.2,0.04
1.97103766761341,2.76225957225847,0.000478947466122283,0.0443796643316232,"Itga9","Pf4",0.2,0.04
-1.57824089666591,3.93259117900529,0.000502250270340063,0.0461258658279904,"Ptpn22","Pf4",0.2,0.04
7.72717943322177,0.505654898170401,0.000506525759171368,0.0461258658279904,"Stap2","Pf4",0.2,0.04
-3.00166481668566,0.0703445784064892,0.000506525759171368,0.0461258658279904,"Itga8","Pf4",0.2,0.04
-1.64487470828551,3.24604602329368,0.000511168638724788,0.0462145967560811,"Cbr1","Pf4",0.2,0.04
-2.1358346153077,1.31127019823983,0.000513333482427912,0.0462145967560811,"Pnck","Pf4",0.2,0.04
-2.3542010907162,0.973876800956378,0.00051943113414673,0.0464993577432482,"Ncs1","Pf4",0.2,0.04
2.3592767607179,2.06054899577735,0.000530163546567231,0.047193490985156,"Mgst2","Pf4",0.2,0.04
1.89334442737662,2.8922199566171,0.00053479128610993,0.0473394856335857,"AC102815.1","Pf4",0.2,0.04
2.46483907755163,1.91215955103833,0.000558248775962527,0.0491413991951458,"Thbs2","Pf4",0.2,0.04
-1.65493669197541,3.18549513225964,0.000569802729548189,0.0496919040837875,"Sh2d3c","Pf4",0.2,0.04
