"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
-5.09149181793641,7.77688857813533,3.3622261687164e-14,3.93985662450188e-10,"Mcpt8","Prg2",0.2,0.04
-5.63624225246767,7.36610988281359,1.42043695700064e-13,8.32234013106677e-10,"Prss34","Prg2",0.2,0.04
-3.94484096837296,8.21877200341381,1.60439098811153e-12,6.26675119956364e-09,"Pf4","Prg2",0.2,0.04
-3.4612762654966,8.55864281422367,2.75966107778799e-11,8.08442712737992e-08,"Ifitm1","Prg2",0.2,0.04
3.17106810714086,5.89354208099867,2.12165007583693e-06,0.00497229911773143,"Gm10036","Prg2",0.2,0.04
-2.39675943856027,7.50928378836094,6.30296148547867e-06,0.0123096837811398,"Rnase12","Prg2",0.2,0.04
-2.27657644079696,7.26063608705393,3.56682035639862e-05,0.0597085727661129,"Fcer1g","Prg2",0.2,0.04
-7.26422508267661,4.80410304447696,4.77658993920414e-05,0.0699651011344926,"Fcer1a","Prg2",0.2,0.04
-3.26043989748773,5.79535688984831,7.02462030895964e-05,0.0870775646269308,"Fgf3","Prg2",0.2,0.04
3.56589171478527,5.09566618589624,8.17420388202969e-05,0.0870775646269308,"Rbms1","Prg2",0.2,0.04
3.168918982404,5.13840291285487,8.17420388202969e-05,0.0870775646269308,"Csf2rb2","Prg2",0.2,0.04
-7.07292006749488,4.64924770254013,0.00012049913490041,0.11766740523025,"Chdh","Prg2",0.2,0.04
2.366502329165,6.08891346475649,0.00013896585357236,0.125261682473917,"Rhoj","Prg2",0.2,0.04
-3.35173187788747,5.3749647322551,0.000154712059366703,0.129493993689931,"Serpine2","Prg2",0.2,0.04
-1.59696119986735,9.49651427556674,0.000313592740389717,0.244978648792447,"Elane","Prg2",0.2,0.04
1.77226431605004,7.29694532498333,0.000397087571826217,0.283158659120427,"Serpina3g","Prg2",0.2,0.04
-1.80367153752581,7.47195821293282,0.000410795119051652,0.283158659120427,"Napsa","Prg2",0.2,0.04
-2.93964135831941,5.53571933794789,0.00049536340128543,0.288633635129254,"Car1","Prg2",0.2,0.04
-6.85231246245218,4.47422054752816,0.000517264579084685,0.288633635129254,"Rcn3","Prg2",0.2,0.04
-6.77058458530722,4.41042550016326,0.000517264579084685,0.288633635129254,"Tmem215","Prg2",0.2,0.04
-6.77058458530722,4.41042550016326,0.000517264579084685,0.288633635129254,"Cd72","Prg2",0.2,0.04
-6.68394736601245,4.34345646615868,0.000857570223219348,0.434484113532015,"Il17rb","Prg2",0.2,0.04
3.46677354169532,4.52100603420014,0.000884859318970173,0.434484113532015,"Pcp4l1","Prg2",0.2,0.04
1.87705413325326,6.45274137074089,0.000889880416860247,0.434484113532015,"Grb10","Prg2",0.2,0.04
1.9373537856277,6.21494933473137,0.00102771708034801,0.48171154990072,"Mylk3","Prg2",0.2,0.04
1.59351032843902,7.32614348359152,0.00130368628771674,0.587561381517875,"Pim1","Prg2",0.2,0.04
-6.5917730956779,4.27298252667676,0.00143700956323242,0.62366215044287,"Ets1","Prg2",0.2,0.04
-3.6462777768776,4.81514618041445,0.0023648225458361,0.951084779425377,"Spns2","Prg2",0.2,0.04
-2.88465616867035,5.00721162363477,0.00237037140205092,0.951084779425377,"1700006J14Rik","Prg2",0.2,0.04
-6.49330540507728,4.19861860136806,0.00243493287103271,0.951084779425377,"Smpd2","Prg2",0.2,0.04
-1.81726259891943,6.32159932181393,0.00263887189685936,0.997493577012839,"4930519L02Rik","Prg2",0.2,0.04
-2.82841928772413,4.96420693548324,0.00338513180761866,1,"Usp11","Prg2",0.2,0.04
2.71175945122411,4.78375058435622,0.00338513180761866,1,"Tmem246","Prg2",0.2,0.04
2.2482303159892,5.1579885573742,0.00390491865910473,1,"Ptgs1","Prg2",0.2,0.04
2.00511415851028,5.45578977862694,0.00406587048258616,1,"S100a9","Prg2",0.2,0.04
-6.38762150758522,4.11991300371143,0.00417417063605608,1,"Ptms","Prg2",0.2,0.04
-6.38762150758522,4.11991300371143,0.00417417063605608,1,"Rhebl1","Prg2",0.2,0.04
-6.27357948737569,4.03633121223927,0.00417417063605608,1,"Ncam1","Prg2",0.2,0.04
3.56508487905302,3.86346526606925,0.00417417063605608,1,"Kif18b","Prg2",0.2,0.04
-2.76990103940726,4.91977299150117,0.00484911421090813,1,"Ldhb","Prg2",0.2,0.04
2.61920490216045,4.71627103927474,0.00484911421090813,1,"Fam160a2","Prg2",0.2,0.04
1.62112152945136,6.32989931303888,0.00503206907649119,1,"Il1rl1","Prg2",0.2,0.04
