"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
5.95488320230929,9.51259012203912,3.4778788272631e-11,2.93393857867915e-07,"Ube2c","Siglech",0.2,0.04
8.77965142748604,9.30225351792579,2.96087473987693e-10,1.24889696528009e-06,"Cenpf","Siglech",0.2,0.04
8.44348005986183,8.98264688321036,7.89452857100667e-09,2.21994143416707e-05,"Apoe","Siglech",0.2,0.04
3.25522611474541,9.5886081510968,1.46378036668316e-06,0.00308711279333479,"Tubb4b","Siglech",0.2,0.04
-7.69599747722792,8.4780705630043,2.40376685247575e-06,0.00405563543349709,"Cd74","Siglech",0.2,0.04
7.37007480846535,8.01491936481147,3.04594141050698e-05,0.0428259362317281,"Dapp1","Siglech",0.2,0.04
3.04761487692681,8.96067065769483,4.26832547310322e-05,0.0514394195587125,"Ifi27l2a","Siglech",0.2,0.04
4.6372473622249,8.31569922761559,4.95960875072039e-05,0.0522990742763465,"Vamp5","Siglech",0.2,0.04
7.20123950699022,7.8725955473072,7.55367711316004e-05,0.0637228201266181,"Cdc20","Siglech",0.2,0.04
7.20123950699022,7.8725955473072,7.55367711316004e-05,0.0637228201266181,"Tspan32","Siglech",0.2,0.04
-4.14171330149075,8.34982769466501,0.000109595668558131,0.0726093358585614,"Ms4a6c","Siglech",0.2,0.04
7.10878352772182,7.79605909437492,0.00012049913490041,0.0726093358585614,"Cenpa","Siglech",0.2,0.04
-7.08960115820194,7.97249044958728,0.00012049913490041,0.0726093358585614,"S100a11","Siglech",0.2,0.04
-7.08960115820194,7.97249044958728,0.00012049913490041,0.0726093358585614,"Emb","Siglech",0.2,0.04
-1.82958506002839,11.310565597688,0.000154123207991929,0.0866788921746606,"Plac8","Siglech",0.2,0.04
-7.01218698957966,7.91014358023787,0.000193974217156757,0.0999044218867057,"Ccr2","Siglech",0.2,0.04
-2.891279116207,8.98920890943569,0.000211448139687593,0.0999044218867057,"Sox4","Siglech",0.2,0.04
-1.86517597805919,10.8208695804048,0.000213167329772487,0.0999044218867057,"Tyrobp","Siglech",0.2,0.04
